,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
9001,1,-0.0051,1.8713,-0.879,18.717,1.4026,358.6822,P25_V1,H4,1
9002,2,-0.0071,1.8714,-0.8795,18.7607,1.266,358.7955,P25_V1,H4,2
9003,3,-0.0077,1.8714,-0.8796,18.8051,1.2553,358.8142,P25_V1,H4,3
9004,4,-0.0089,1.8714,-0.88,18.8902,1.1894,358.8393,P25_V1,H4,4
9005,5,-0.01,1.8714,-0.8804,18.9299,1.1241,358.8816,P25_V1,H4,5
9006,6,-0.0113,1.8714,-0.8809,18.9227,1.0985,358.9361,P25_V1,H4,6
9007,7,-0.0121,1.8714,-0.8813,18.891,1.0839,358.9674,P25_V1,H4,7
9008,8,-0.0135,1.8714,-0.8818,18.8508,1.0897,358.9484,P25_V1,H4,8
9009,9,-0.0151,1.8714,-0.8825,18.8332,1.1491,358.9955,P25_V1,H4,9
9010,10,-0.0158,1.8714,-0.8828,18.8509,1.1836,359.031,P25_V1,H4,10
9011,11,-0.0179,1.8714,-0.8837,18.8455,1.2502,359.1663,P25_V1,H4,11
9012,12,-0.0185,1.8715,-0.8839,18.8503,1.2439,359.2034,P25_V1,H4,12
9013,13,-0.0206,1.8715,-0.8846,18.742,1.1648,359.3679,P25_V1,H4,13
9014,14,-0.0209,1.8714,-0.8847,18.7513,1.1358,359.3514,P25_V1,H4,14
9015,16,-0.0234,1.8712,-0.8853,18.8546,1.1859,359.426,P25_V1,H4,15
9016,18,-0.026,1.8709,-0.8859,18.9643,1.055,359.4916,P25_V1,H4,16
9017,20,-0.0289,1.8707,-0.8866,19.0071,0.6022,359.5506,P25_V1,H4,17
9018,21,-0.03,1.8707,-0.8869,19.0357,0.5045,359.4658,P25_V1,H4,18
9019,22,-0.0305,1.8707,-0.8871,19.0459,0.4852,359.4418,P25_V1,H4,19
9020,23,-0.0318,1.8708,-0.8876,19.0715,0.4054,359.3946,P25_V1,H4,20
9021,24,-0.0326,1.8708,-0.888,19.0777,0.3556,359.3616,P25_V1,H4,21
9022,25,-0.0339,1.8708,-0.8886,19.0261,0.238,359.3012,P25_V1,H4,22
9023,26,-0.0351,1.8707,-0.8892,18.9991,0.1401,359.2386,P25_V1,H4,23
9024,27,-0.0356,1.8707,-0.8894,19.0241,0.1174,359.2305,P25_V1,H4,24
9025,28,-0.0369,1.8706,-0.8901,19.0771,0.124,359.1511,P25_V1,H4,25
9026,29,-0.0372,1.8706,-0.8902,19.0794,0.1115,359.1439,P25_V1,H4,26
9027,30,-0.0394,1.8713,-0.8917,18.5496,0.0044,359.1343,P25_V1,H4,27
9028,31,-0.0403,1.8719,-0.8925,17.9802,359.8507,359.0336,P25_V1,H4,28
9029,33,-0.0413,1.8752,-0.8951,15.4817,359.963,358.8852,P25_V1,H4,29
9030,35,-0.0417,1.8795,-0.8997,12.1918,0.616,358.74,P25_V1,H4,30
9031,37,-0.0416,1.8833,-0.906,9.4815,1.2214,357.8933,P25_V1,H4,31
9032,38,-0.0416,1.8857,-0.9124,7.727,1.8226,357.1015,P25_V1,H4,32
9033,39,-0.0415,1.886,-0.9144,7.7626,1.9266,357.024,P25_V1,H4,33
9034,40,-0.0418,1.8863,-0.9178,7.6374,2.2486,356.7334,P25_V1,H4,34
9035,41,-0.0418,1.8857,-0.9172,8.2165,2.0872,356.925,P25_V1,H4,35
9036,42,-0.0421,1.8855,-0.9183,8.487,2.1108,356.889,P25_V1,H4,36
9037,43,-0.0426,1.8853,-0.9195,8.729,2.0314,356.9149,P25_V1,H4,37
9038,44,-0.0437,1.8847,-0.9214,9.2706,1.4785,357.0647,P25_V1,H4,38
9039,45,-0.0447,1.884,-0.9223,9.7793,0.9801,357.1834,P25_V1,H4,39
9040,46,-0.046,1.8836,-0.923,10.227,0.5902,357.3227,P25_V1,H4,40
9041,47,-0.047,1.8832,-0.9233,10.3487,0.3677,357.4983,P25_V1,H4,41
9042,48,-0.0488,1.883,-0.9236,10.6105,0.1759,357.8878,P25_V1,H4,42
9043,49,-0.0509,1.883,-0.9237,10.532,0.2817,358.1455,P25_V1,H4,43
9044,50,-0.0517,1.883,-0.9237,10.5528,0.3179,358.1973,P25_V1,H4,44
9045,52,-0.0559,1.8826,-0.9237,10.787,0.5067,358.2354,P25_V1,H4,45
9046,53,-0.06,1.8814,-0.9227,11.4948,0.8695,358.3565,P25_V1,H4,46
9047,54,-0.0629,1.8797,-0.9216,12.689,1.0398,358.4745,P25_V1,H4,47
9048,56,-0.0661,1.8772,-0.9198,13.5521,0.9199,358.3927,P25_V1,H4,48
9049,57,-0.0705,1.875,-0.9177,14.6579,0.8743,358.3713,P25_V1,H4,49
9050,58,-0.0716,1.8746,-0.9171,14.5853,0.8753,358.4058,P25_V1,H4,50
9051,59,-0.074,1.8736,-0.9161,15.0121,0.7914,358.4868,P25_V1,H4,51
9052,60,-0.0756,1.8733,-0.9155,15.1912,0.6004,358.4661,P25_V1,H4,52
9053,61,-0.0781,1.873,-0.9143,15.2992,0.3621,358.7122,P25_V1,H4,53
9054,62,-0.0797,1.8727,-0.9134,15.2676,0.304,358.8569,P25_V1,H4,54
9055,63,-0.082,1.8721,-0.9117,15.3576,0.3182,359.0483,P25_V1,H4,55
9056,64,-0.0839,1.8716,-0.9103,15.5584,0.4158,359.1281,P25_V1,H4,56
9057,65,-0.0862,1.8707,-0.9081,15.6502,0.5311,359.3349,P25_V1,H4,57
9058,66,-0.0902,1.8693,-0.9042,15.9974,0.7371,359.5795,P25_V1,H4,58
9059,67,-0.0913,1.8687,-0.903,16.0974,0.8344,359.5885,P25_V1,H4,59
9060,68,-0.0953,1.8665,-0.8979,16.5454,2.3037,359.3124,P25_V1,H4,60
9061,69,-0.0964,1.8657,-0.8962,16.8767,3.046,359.4693,P25_V1,H4,61
