,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
8072,1,-0.171,1.8825,-0.6237,14.8572,7.6753,358.1126,P25_V1,H1,1
8073,2,-0.1704,1.8822,-0.6239,15.0095,7.6289,358.0584,P25_V1,H1,2
8074,3,-0.17,1.8821,-0.6241,15.0753,7.5802,357.988,P25_V1,H1,3
8075,4,-0.1693,1.8819,-0.6244,15.1531,7.5206,357.9039,P25_V1,H1,4
8076,5,-0.1687,1.8817,-0.6246,15.2435,7.5077,357.8399,P25_V1,H1,5
8077,6,-0.1684,1.8816,-0.6248,15.2862,7.4611,357.8309,P25_V1,H1,6
8078,7,-0.1674,1.8813,-0.6254,15.396,7.3683,357.7408,P25_V1,H1,7
8079,8,-0.1672,1.8813,-0.6255,15.4168,7.3421,357.7431,P25_V1,H1,8
8080,9,-0.1665,1.881,-0.6259,15.5525,7.3073,357.6428,P25_V1,H1,9
8081,10,-0.1655,1.8808,-0.6266,15.7165,7.3713,357.545,P25_V1,H1,10
8082,11,-0.1648,1.8807,-0.6271,15.8414,7.4339,357.4371,P25_V1,H1,11
8083,12,-0.1635,1.8806,-0.628,16.0354,7.7425,357.2151,P25_V1,H1,12
8084,13,-0.1631,1.8805,-0.6283,16.0132,7.8517,357.2157,P25_V1,H1,13
8085,14,-0.162,1.8805,-0.629,15.9682,8.237,357.2537,P25_V1,H1,14
8086,15,-0.1617,1.8805,-0.6293,16.0052,8.2705,357.2465,P25_V1,H1,15
8087,16,-0.161,1.8804,-0.6299,16.0183,8.4013,357.2003,P25_V1,H1,16
8088,17,-0.1607,1.8804,-0.6302,16.0235,8.4191,357.165,P25_V1,H1,17
8089,19,-0.1598,1.8803,-0.631,16.0504,8.4765,357.0994,P25_V1,H1,18
8090,20,-0.1589,1.8803,-0.6317,16.0533,8.5132,357.0312,P25_V1,H1,19
8091,21,-0.1588,1.8803,-0.6318,16.063,8.5244,357.0221,P25_V1,H1,20
8092,22,-0.1579,1.8803,-0.6325,15.9186,8.5439,356.9567,P25_V1,H1,21
8093,23,-0.1579,1.8804,-0.6326,15.9178,8.5445,356.9492,P25_V1,H1,22
8094,24,-0.1572,1.8806,-0.633,15.6352,8.5976,356.9056,P25_V1,H1,23
8095,25,-0.1566,1.881,-0.6336,15.3429,8.6815,356.9252,P25_V1,H1,24
8096,26,-0.1563,1.8812,-0.6338,15.184,8.7459,356.9295,P25_V1,H1,25
8097,27,-0.1558,1.8816,-0.6343,14.8298,8.8286,356.92,P25_V1,H1,26
8098,28,-0.1555,1.8817,-0.6344,14.6844,8.8185,356.9669,P25_V1,H1,27
8099,29,-0.1551,1.8818,-0.6346,14.5604,8.81,356.8922,P25_V1,H1,28
8100,30,-0.155,1.8819,-0.6347,14.555,8.7931,356.8566,P25_V1,H1,29
8101,31,-0.1545,1.882,-0.6347,14.4338,8.7956,356.8242,P25_V1,H1,30
8102,32,-0.1543,1.882,-0.6347,14.3531,8.8038,356.8358,P25_V1,H1,31
8103,33,-0.154,1.8821,-0.6347,14.3279,8.7633,356.8506,P25_V1,H1,32
8104,34,-0.1537,1.8821,-0.6345,14.3261,8.6947,356.8378,P25_V1,H1,33
8105,35,-0.1532,1.8819,-0.6342,14.4183,8.5388,356.8169,P25_V1,H1,34
8106,37,-0.1524,1.8813,-0.6333,14.7547,8.2837,356.7429,P25_V1,H1,35
8107,38,-0.1522,1.8812,-0.6329,14.8843,8.1869,356.711,P25_V1,H1,36
