,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
3023,1,-0.1537,1.8233,-0.5318,18.805,3.5339,347.6845,P09_V1,H1,1
3024,2,-0.1533,1.8235,-0.5317,18.6951,3.5584,347.7277,P09_V1,H1,2
3025,3,-0.1531,1.8236,-0.5316,18.6605,3.5885,347.7352,P09_V1,H1,3
3026,4,-0.1528,1.8236,-0.5315,18.6569,3.622,347.7353,P09_V1,H1,4
3027,5,-0.1523,1.8235,-0.5312,18.743,3.7181,347.6982,P09_V1,H1,5
3028,6,-0.152,1.8235,-0.531,18.7861,3.8416,347.685,P09_V1,H1,6
3029,7,-0.1519,1.8235,-0.5309,18.775,3.9265,347.7234,P09_V1,H1,7
3030,8,-0.1513,1.8238,-0.5305,18.7133,4.256,347.8109,P09_V1,H1,8
3031,9,-0.1511,1.8239,-0.5304,18.6426,4.3801,347.8405,P09_V1,H1,9
3032,10,-0.1507,1.8241,-0.5301,18.5348,4.6521,347.8651,P09_V1,H1,10
3033,11,-0.1504,1.8242,-0.5301,18.4513,4.7628,347.9,P09_V1,H1,11
3034,12,-0.1503,1.8243,-0.5301,18.4184,4.8406,347.9554,P09_V1,H1,12
3035,13,-0.1501,1.8245,-0.5301,18.3073,5.0031,348.0608,P09_V1,H1,13
3036,14,-0.1499,1.8248,-0.5302,18.0898,5.2339,348.1628,P09_V1,H1,14
3037,15,-0.1499,1.8249,-0.5304,18.0298,5.2859,348.1844,P09_V1,H1,15
3038,16,-0.1499,1.825,-0.5306,17.9802,5.4707,348.2536,P09_V1,H1,16
3039,17,-0.1499,1.825,-0.5308,17.9714,5.5756,348.2767,P09_V1,H1,17
3040,18,-0.15,1.825,-0.5311,17.9037,5.7216,348.3447,P09_V1,H1,18
3041,19,-0.1501,1.825,-0.5312,17.9041,5.7655,348.3751,P09_V1,H1,19
3042,20,-0.1504,1.825,-0.5317,17.8775,5.8852,348.3909,P09_V1,H1,20
3043,21,-0.1505,1.8249,-0.5319,17.838,5.9315,348.3943,P09_V1,H1,21
3044,22,-0.1509,1.825,-0.5325,17.7436,6.0842,348.426,P09_V1,H1,22
