,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
2653,1,0.1978,1.7793,-0.6486,30.052,350.6743,349.9765,P09_V1,H2,1
2654,2,0.1978,1.7792,-0.6483,30.0845,350.5744,349.9378,P09_V1,H2,2
2655,3,0.1977,1.7791,-0.6481,30.1129,350.5544,349.91,P09_V1,H2,3
2656,4,0.1977,1.7789,-0.6479,30.1778,350.5357,349.9077,P09_V1,H2,4
2657,5,0.1975,1.7788,-0.6478,30.2185,350.5196,349.9052,P09_V1,H2,5
2658,6,0.1974,1.7788,-0.6476,30.248,350.475,349.9006,P09_V1,H2,6
2659,7,0.1971,1.7788,-0.6473,30.2811,350.4386,349.9208,P09_V1,H2,7
2660,8,0.1967,1.7787,-0.6469,30.3354,350.3312,349.9224,P09_V1,H2,8
2661,9,0.1965,1.7787,-0.6468,30.3597,350.3013,349.9427,P09_V1,H2,9
2662,10,0.1963,1.7788,-0.6466,30.3818,350.2936,349.9548,P09_V1,H2,10
2663,11,0.196,1.7787,-0.6463,30.4364,350.3017,350.0029,P09_V1,H2,11
2664,12,0.1957,1.7787,-0.6461,30.4829,350.2731,350.0138,P09_V1,H2,12
2665,13,0.1953,1.7787,-0.6458,30.5662,350.2542,350.0519,P09_V1,H2,13
2666,14,0.1951,1.7787,-0.6456,30.5844,350.2372,350.0844,P09_V1,H2,14
2667,15,0.1948,1.7787,-0.6454,30.6011,350.2018,350.0915,P09_V1,H2,15
2668,16,0.1945,1.7788,-0.6451,30.5517,350.1341,350.1235,P09_V1,H2,16
2669,17,0.1944,1.7789,-0.6449,30.5237,350.1232,350.1118,P09_V1,H2,17
2670,18,0.1942,1.7792,-0.6447,30.3702,350.1604,350.1645,P09_V1,H2,18
2671,19,0.1941,1.7793,-0.6446,30.2763,350.2209,350.194,P09_V1,H2,19
2672,20,0.194,1.7804,-0.6445,29.6718,350.1357,350.1917,P09_V1,H2,20
2673,21,0.194,1.7812,-0.6444,29.2233,350.1349,350.1617,P09_V1,H2,21
2674,22,0.1937,1.7838,-0.6442,27.4673,349.8538,349.9026,P09_V1,H2,22
2675,23,0.1934,1.785,-0.6444,27.0667,349.7633,349.8394,P09_V1,H2,23
2676,24,0.1931,1.787,-0.645,25.9338,349.4023,349.9523,P09_V1,H2,24
2677,25,0.1925,1.7892,-0.6456,24.5072,349.2716,349.9092,P09_V1,H2,25
2678,26,0.1921,1.7905,-0.646,23.7888,349.1662,349.9484,P09_V1,H2,26
