,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
6177,1,0.2394,1.8192,-0.3763,12.2482,357.2293,358.8933,P18_V1,H1,1
6178,2,0.2502,1.8182,-0.3797,12.3418,356.8153,358.9414,P18_V1,H1,2
6179,3,0.2603,1.8173,-0.3832,12.4392,356.6859,358.777,P18_V1,H1,3
6180,4,0.2668,1.817,-0.3861,12.5013,356.6681,358.8055,P18_V1,H1,4
6181,5,0.2726,1.817,-0.3889,12.5315,356.5265,358.8313,P18_V1,H1,5
6182,6,0.2777,1.8172,-0.3917,12.5007,356.4132,358.8642,P18_V1,H1,6
6183,7,0.2818,1.8178,-0.3943,12.3937,356.1685,359.0078,P18_V1,H1,7
6184,8,0.2854,1.8181,-0.3967,12.1758,355.8049,359.1028,P18_V1,H1,8
6185,9,0.2888,1.8183,-0.3992,11.9553,355.3698,359.2342,P18_V1,H1,9
6186,10,0.2935,1.8185,-0.4034,11.7887,354.5616,359.4018,P18_V1,H1,10
6187,11,0.2955,1.8194,-0.4059,11.8011,354.1143,359.2043,P18_V1,H1,11
6188,12,0.2967,1.8197,-0.4074,11.6303,353.847,359.3708,P18_V1,H1,12
6189,13,0.2977,1.8199,-0.4089,11.6018,353.5415,359.572,P18_V1,H1,13
6190,14,0.3004,1.8204,-0.413,11.7135,352.7056,359.6517,P18_V1,H1,14
6191,15,0.3014,1.8208,-0.415,11.6262,352.3738,359.4603,P18_V1,H1,15
6192,16,0.3023,1.8212,-0.417,11.4405,351.995,359.4022,P18_V1,H1,16
6193,17,0.3033,1.822,-0.42,11.1658,351.2583,359.3221,P18_V1,H1,17
6194,18,0.3038,1.8221,-0.4215,10.9185,350.8608,359.1235,P18_V1,H1,18
6195,19,0.3044,1.8225,-0.4244,10.8684,350.1052,358.5319,P18_V1,H1,19
6196,20,0.3044,1.8225,-0.4255,10.8769,349.9657,358.4406,P18_V1,H1,20
6197,21,0.3041,1.8224,-0.4284,10.7448,349.6617,358.2676,P18_V1,H1,21
6198,22,0.304,1.8225,-0.4294,10.7435,349.605,358.3407,P18_V1,H1,22
6199,23,0.3035,1.8228,-0.4328,10.5193,349.3048,358.3705,P18_V1,H1,23
6200,24,0.3028,1.8232,-0.4361,10.2306,349.1161,358.5373,P18_V1,H1,24
6201,25,0.3021,1.8233,-0.439,9.9103,348.8503,358.8136,P18_V1,H1,25
6202,26,0.3019,1.8233,-0.4396,9.8838,348.8146,358.8417,P18_V1,H1,26
6203,27,0.3009,1.8233,-0.4422,9.5997,348.5016,358.849,P18_V1,H1,27
6204,28,0.3008,1.8233,-0.4425,9.6111,348.4674,358.8938,P18_V1,H1,28
6205,29,0.2999,1.8233,-0.444,9.5826,348.325,359.0276,P18_V1,H1,29
6206,31,0.2981,1.8234,-0.4465,9.4815,348.0303,359.4908,P18_V1,H1,30
6207,32,0.2971,1.8233,-0.4474,9.5106,347.9804,359.596,P18_V1,H1,31
6208,33,0.2965,1.8232,-0.448,9.4666,347.949,359.7228,P18_V1,H1,32
6209,34,0.2955,1.823,-0.4487,9.2688,347.9083,359.8661,P18_V1,H1,33
6210,35,0.2949,1.8229,-0.4489,9.2318,347.9275,359.9216,P18_V1,H1,34
6211,36,0.2939,1.8228,-0.4491,9.1925,347.8743,359.957,P18_V1,H1,35
6212,37,0.2929,1.8226,-0.4492,9.1831,347.8315,-0.0036,P18_V1,H1,36
6213,38,0.2908,1.8225,-0.449,9.1583,347.7523,0.0904,P18_V1,H1,37
6214,39,0.2893,1.8225,-0.4486,9.0989,347.6711,0.1141,P18_V1,H1,38
6215,40,0.2865,1.8227,-0.4478,9.0613,347.5753,0.2218,P18_V1,H1,39
6216,41,0.2807,1.8229,-0.4456,9.184,347.528,0.9137,P18_V1,H1,40
6217,42,0.2781,1.8228,-0.4443,9.257,347.7943,0.8466,P18_V1,H1,41
6218,43,0.2753,1.8228,-0.4431,9.3582,348.1003,0.6804,P18_V1,H1,42
6219,44,0.2699,1.8227,-0.4413,9.5202,348.2089,0.6738,P18_V1,H1,43
6220,45,0.2675,1.8227,-0.4407,9.5459,348.2536,0.6478,P18_V1,H1,44
6221,46,0.2559,1.8227,-0.4383,9.4172,348.4196,0.631,P18_V1,H1,45
6222,47,0.2546,1.8227,-0.438,9.3464,348.4085,0.5961,P18_V1,H1,46
6223,48,0.244,1.8225,-0.4368,9.3605,348.7467,0.7544,P18_V1,H1,47
6224,49,0.2291,1.8225,-0.4359,9.3797,349.3138,0.6232,P18_V1,H1,48
6225,50,0.2224,1.8229,-0.4358,9.4105,349.6297,0.7625,P18_V1,H1,49
6226,51,0.2072,1.8237,-0.4356,9.1531,350.099,1.3679,P18_V1,H1,50
6227,52,0.1996,1.8237,-0.4356,8.9982,350.4176,1.6821,P18_V1,H1,51
6228,53,0.1834,1.8242,-0.4356,8.723,351.1615,1.8156,P18_V1,H1,52
6229,54,0.1748,1.8245,-0.4357,8.5153,351.6178,1.8136,P18_V1,H1,53
6230,55,0.1573,1.8245,-0.4358,8.1304,352.3185,2.0179,P18_V1,H1,54
6231,56,0.1484,1.8242,-0.4358,8.0217,352.4583,2.3007,P18_V1,H1,55
6232,57,0.1301,1.8234,-0.4356,7.8412,352.9352,2.3176,P18_V1,H1,56
6233,58,0.1207,1.8227,-0.4355,7.9177,353.2473,2.4656,P18_V1,H1,57
6234,59,0.1113,1.8224,-0.4354,8.016,353.3416,2.4472,P18_V1,H1,58
6235,60,0.0842,1.8224,-0.4348,8.1997,354.0439,2.3219,P18_V1,H1,59
6236,61,0.0749,1.8223,-0.4345,8.2066,354.3015,2.125,P18_V1,H1,60
6237,62,0.0565,1.8216,-0.4341,8.3021,354.8329,2.0134,P18_V1,H1,61
6238,63,0.0478,1.8214,-0.4339,8.4362,355.0585,1.9336,P18_V1,H1,62
6239,64,0.0304,1.8207,-0.4333,8.5607,355.8777,1.8998,P18_V1,H1,63
6240,65,0.0218,1.8205,-0.4331,8.8316,356.2256,1.9179,P18_V1,H1,64
6241,66,0.0055,1.8203,-0.4326,9.2374,356.9937,2.0393,P18_V1,H1,65
6242,67,-0.0026,1.8203,-0.4323,9.3185,357.3762,2.1913,P18_V1,H1,66
6243,68,-0.0179,1.8214,-0.4314,9.7402,357.9649,2.3548,P18_V1,H1,67
6244,69,-0.0254,1.8219,-0.431,9.7863,358.2364,2.3158,P18_V1,H1,68
6245,70,-0.0398,1.8225,-0.4305,10.117,358.9319,2.538,P18_V1,H1,69
6246,71,-0.0468,1.8228,-0.4301,10.1969,359.2313,2.589,P18_V1,H1,70
6247,73,-0.0598,1.8235,-0.4298,10.4469,0.0316,2.8643,P18_V1,H1,71
6248,74,-0.0788,1.8246,-0.4295,10.8253,1.1153,3.5557,P18_V1,H1,72
6249,75,-0.0847,1.8251,-0.4293,11.0483,1.4194,3.8449,P18_V1,H1,73
6250,76,-0.095,1.8261,-0.4296,10.9347,1.9645,4.3661,P18_V1,H1,74
6251,77,-0.1,1.8266,-0.4295,11.1532,2.1569,4.653,P18_V1,H1,75
6252,78,-0.1086,1.8269,-0.4297,11.2973,2.613,5.0405,P18_V1,H1,76
6253,79,-0.1121,1.8267,-0.43,11.3742,2.6567,4.934,P18_V1,H1,77
6254,80,-0.1186,1.8264,-0.4309,11.6889,3.1613,5.0648,P18_V1,H1,78
6255,81,-0.1242,1.826,-0.4322,11.727,3.7818,5.0971,P18_V1,H1,79
6256,82,-0.1266,1.8258,-0.4327,11.7351,4.1099,5.0935,P18_V1,H1,80
6257,83,-0.1312,1.8254,-0.4338,11.4726,4.716,5.4107,P18_V1,H1,81
6258,84,-0.1328,1.8253,-0.4341,11.4096,4.8903,5.4518,P18_V1,H1,82
6259,85,-0.1363,1.8247,-0.4346,11.3625,5.3714,5.6614,P18_V1,H1,83
6260,86,-0.1382,1.8243,-0.4349,11.3257,5.6015,5.6981,P18_V1,H1,84
6261,87,-0.1408,1.8237,-0.435,11.3746,5.8717,5.8958,P18_V1,H1,85
6262,88,-0.1425,1.8232,-0.4351,11.4311,6.0141,6.0493,P18_V1,H1,86
6263,89,-0.1453,1.8225,-0.4353,11.558,6.2187,5.9793,P18_V1,H1,87
6264,90,-0.1472,1.8223,-0.4353,11.5603,6.3145,6.0657,P18_V1,H1,88
6265,91,-0.1502,1.8219,-0.4351,11.4996,6.3733,6.2555,P18_V1,H1,89
6266,92,-0.1522,1.8216,-0.435,11.4768,6.4003,6.3033,P18_V1,H1,90
6267,93,-0.1558,1.8211,-0.4342,11.3392,6.4563,6.4047,P18_V1,H1,91
6268,94,-0.1583,1.8206,-0.4333,11.214,6.5291,6.4336,P18_V1,H1,92
6269,95,-0.1613,1.82,-0.4323,11.1648,6.6108,6.409,P18_V1,H1,93
6270,96,-0.1664,1.8188,-0.4303,11.1274,6.8288,6.3827,P18_V1,H1,94
6271,97,-0.1685,1.8183,-0.4295,11.0633,6.8931,6.392,P18_V1,H1,95
