,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
5582,0,-0.4047,1.7993,0.0799,28.3007,53.3659,358.0432,P18_V1,H4,0
5583,1,-0.3889,1.8014,0.0737,28.1414,52.5849,357.925,P18_V1,H4,1
5584,2,-0.3773,1.803,0.0689,27.978,51.9841,357.8046,P18_V1,H4,2
5585,3,-0.3624,1.8051,0.0625,27.692,51.2079,357.7563,P18_V1,H4,3
5586,4,-0.3553,1.806,0.0593,27.4251,50.7471,357.7755,P18_V1,H4,4
5587,5,-0.3383,1.8081,0.0512,26.9108,49.6717,357.8198,P18_V1,H4,5
5588,6,-0.3165,1.8099,0.0403,26.2875,48.3101,357.9387,P18_V1,H4,6
5589,7,-0.3132,1.81,0.0386,26.2719,48.0134,358.0292,P18_V1,H4,7
5590,8,-0.3021,1.8099,0.0328,25.8634,46.9773,358.0103,P18_V1,H4,8
5591,9,-0.2967,1.8101,0.0299,25.8448,46.4976,358.0644,P18_V1,H4,9
5592,11,-0.2879,1.81,0.025,25.7378,45.0397,357.754,P18_V1,H4,10
5593,12,-0.2754,1.8099,0.0172,25.2921,43.4776,357.4576,P18_V1,H4,11
5594,13,-0.2719,1.8096,0.015,25.1409,43.0414,357.4264,P18_V1,H4,12
5595,14,-0.2653,1.8093,0.0107,25.0172,42.2542,357.1963,P18_V1,H4,13
5596,15,-0.2624,1.8092,0.0088,24.8698,41.9249,357.2101,P18_V1,H4,14
5597,16,-0.2574,1.8096,0.0051,24.7908,41.3904,357.1215,P18_V1,H4,15
5598,17,-0.2537,1.8099,0.0021,24.5049,41.0076,357.111,P18_V1,H4,16
5599,18,-0.2529,1.81,0.0012,24.4274,40.9562,357.1617,P18_V1,H4,17
5600,19,-0.25,1.8104,-0.0016,24.1577,40.5713,357.1598,P18_V1,H4,18
5601,20,-0.249,1.8105,-0.0027,23.9687,40.4362,357.205,P18_V1,H4,19
