,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
4472,1,-0.0763,1.9758,-0.8572,12.5336,4.7077,2.3029,P14_V1,H2,1
4473,2,-0.0748,1.9759,-0.858,12.5788,4.8303,2.0927,P14_V1,H2,2
4474,3,-0.0739,1.9759,-0.8584,12.5246,4.9064,2.0325,P14_V1,H2,3
4475,4,-0.0733,1.9759,-0.8588,12.5072,4.9455,1.9504,P14_V1,H2,4
4476,5,-0.0723,1.976,-0.8593,12.5004,4.9653,1.8401,P14_V1,H2,5
4477,6,-0.0711,1.9759,-0.8598,12.4287,5.0155,1.7399,P14_V1,H2,6
4478,7,-0.0701,1.976,-0.8604,12.4821,5.0405,1.5958,P14_V1,H2,7
4479,8,-0.068,1.9761,-0.8616,12.4454,5.2348,1.3854,P14_V1,H2,8
4480,9,-0.0675,1.9762,-0.862,12.4366,5.2554,1.3615,P14_V1,H2,9
4481,10,-0.0663,1.9765,-0.863,12.3422,5.4003,1.2681,P14_V1,H2,10
4482,11,-0.0654,1.9769,-0.864,12.2076,5.5089,1.2018,P14_V1,H2,11
4483,12,-0.0654,1.977,-0.8641,12.2032,5.5077,1.1978,P14_V1,H2,12
4484,13,-0.0646,1.9773,-0.8652,12.0451,5.5387,1.149,P14_V1,H2,13
4485,14,-0.0645,1.9774,-0.8653,12.0174,5.5335,1.1372,P14_V1,H2,14
4486,15,-0.0643,1.9775,-0.8659,11.9366,5.5249,1.1168,P14_V1,H2,15
4487,16,-0.0641,1.9776,-0.8664,11.8784,5.5328,1.1135,P14_V1,H2,16
4488,17,-0.0641,1.9776,-0.8665,11.8661,5.5434,1.1172,P14_V1,H2,17
4489,18,-0.0643,1.9776,-0.8668,11.8726,5.5671,1.1877,P14_V1,H2,18
4490,19,-0.0644,1.9777,-0.8669,11.8635,5.5869,1.2253,P14_V1,H2,19
4491,20,-0.0649,1.9778,-0.8669,11.8569,5.543,1.2973,P14_V1,H2,20
4492,21,-0.0651,1.9778,-0.8669,11.8366,5.4977,1.3219,P14_V1,H2,21
4493,22,-0.0657,1.9778,-0.8667,11.8403,5.4605,1.3883,P14_V1,H2,22
4494,23,-0.0658,1.9778,-0.8665,11.8648,5.4683,1.4047,P14_V1,H2,23
4495,24,-0.0665,1.9776,-0.8661,11.9494,5.4689,1.5222,P14_V1,H2,24
4496,25,-0.0671,1.9776,-0.8655,12.0253,5.4294,1.6108,P14_V1,H2,25
4497,26,-0.0674,1.9775,-0.8652,12.0395,5.4007,1.6386,P14_V1,H2,26
4498,27,-0.0681,1.9774,-0.8644,12.115,5.2995,1.7024,P14_V1,H2,27
4499,28,-0.0683,1.9774,-0.8641,12.1322,5.2801,1.7404,P14_V1,H2,28
4500,29,-0.0688,1.9773,-0.8634,12.201,5.2371,1.79,P14_V1,H2,29
4501,30,-0.0693,1.9771,-0.8628,12.3058,5.1593,1.8342,P14_V1,H2,30
4502,31,-0.0693,1.9771,-0.8627,12.3395,5.1387,1.8265,P14_V1,H2,31
4503,32,-0.0696,1.9769,-0.8624,12.3941,5.0686,1.8534,P14_V1,H2,32
4504,33,-0.0696,1.9769,-0.8622,12.3783,4.9898,1.8834,P14_V1,H2,33
4505,34,-0.0695,1.977,-0.8621,12.3525,4.9518,1.8656,P14_V1,H2,34
4506,35,-0.069,1.977,-0.8621,12.3093,4.9492,1.8167,P14_V1,H2,35
4507,36,-0.0687,1.977,-0.8622,12.2978,4.9818,1.7859,P14_V1,H2,36
4508,37,-0.0678,1.977,-0.8625,12.2747,5.0731,1.7392,P14_V1,H2,37
4509,38,-0.0674,1.9771,-0.8626,12.2493,5.0878,1.7039,P14_V1,H2,38
4510,40,-0.0661,1.9774,-0.8631,12.1275,5.1604,1.6223,P14_V1,H2,39
4511,41,-0.0655,1.9776,-0.8634,12.058,5.1946,1.5894,P14_V1,H2,40
4512,42,-0.0648,1.9777,-0.8635,12.0052,5.2058,1.568,P14_V1,H2,41
4513,43,-0.0646,1.9777,-0.8635,12.0063,5.1925,1.5502,P14_V1,H2,42
4514,44,-0.0641,1.9776,-0.8634,12.0342,5.1766,1.5234,P14_V1,H2,43
4515,45,-0.0638,1.9776,-0.8632,12.0976,5.1288,1.5364,P14_V1,H2,44
4516,46,-0.0638,1.9776,-0.8632,12.0834,5.1245,1.5345,P14_V1,H2,45
4517,47,-0.0637,1.9775,-0.863,12.1218,4.9885,1.5503,P14_V1,H2,46
