,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
4333,1,-0.0827,1.9351,-0.7206,30.5786,2.2053,2.0869,P14_V1,H4,1
4334,2,-0.0841,1.9345,-0.7205,30.9003,2.3734,2.1181,P14_V1,H4,2
4335,3,-0.0852,1.9341,-0.7204,31.1632,2.5524,2.2128,P14_V1,H4,3
4336,4,-0.0857,1.9341,-0.7202,31.2121,2.4989,2.2451,P14_V1,H4,4
4337,5,-0.0864,1.934,-0.72,31.2475,2.5098,2.3236,P14_V1,H4,5
4338,6,-0.0873,1.9339,-0.7199,31.3149,2.4151,2.3181,P14_V1,H4,6
4339,7,-0.0878,1.9338,-0.7198,31.3772,2.3775,2.2944,P14_V1,H4,7
4340,8,-0.0884,1.9333,-0.7195,31.5575,2.3469,2.265,P14_V1,H4,8
4341,9,-0.089,1.9321,-0.719,32.0128,2.3827,2.3029,P14_V1,H4,9
4342,10,-0.0891,1.9318,-0.7188,32.0878,2.3309,2.2519,P14_V1,H4,10
4343,11,-0.0893,1.9316,-0.7184,32.2002,2.2737,2.2488,P14_V1,H4,11
4344,12,-0.0893,1.9315,-0.7183,32.2217,2.2479,2.2381,P14_V1,H4,12
4345,14,-0.0897,1.9319,-0.7177,32.185,2.1651,2.333,P14_V1,H4,13
4346,16,-0.0902,1.9319,-0.7164,32.1791,1.984,2.4795,P14_V1,H4,14
4347,17,-0.0905,1.9316,-0.7151,32.2446,1.8051,2.4877,P14_V1,H4,15
4348,18,-0.0905,1.9311,-0.7139,32.3614,1.6884,2.4632,P14_V1,H4,16
4349,19,-0.0905,1.9302,-0.7117,32.7939,1.5714,2.4176,P14_V1,H4,17
4350,20,-0.0904,1.93,-0.7107,32.8172,1.56,2.4372,P14_V1,H4,18
4351,21,-0.0903,1.9298,-0.709,32.7528,1.4297,2.4167,P14_V1,H4,19
4352,22,-0.0903,1.93,-0.7073,32.6222,1.2549,2.3621,P14_V1,H4,20
4353,23,-0.0906,1.9325,-0.7029,31.1943,0.5742,2.1079,P14_V1,H4,21
4354,24,-0.0909,1.9352,-0.7011,29.694,0.0786,1.9827,P14_V1,H4,22
4355,25,-0.0912,1.9393,-0.6987,27.7517,359.2775,1.4488,P14_V1,H4,23
4356,26,-0.0916,1.9417,-0.6967,26.6664,358.7845,1.4272,P14_V1,H4,24
4357,27,-0.0919,1.9424,-0.6958,26.4243,358.5407,1.3763,P14_V1,H4,25
4358,28,-0.0926,1.9424,-0.6936,26.5641,358.2566,1.4362,P14_V1,H4,26
4359,29,-0.0928,1.9426,-0.6928,26.5258,358.2312,1.4786,P14_V1,H4,27
4360,30,-0.0937,1.944,-0.6894,25.6042,357.9317,1.5831,P14_V1,H4,28
4361,31,-0.0938,1.9439,-0.6889,25.6096,357.9802,1.5727,P14_V1,H4,29
4362,33,-0.094,1.9438,-0.6872,25.7941,358.1009,1.5938,P14_V1,H4,30
4363,35,-0.0948,1.9447,-0.6841,25.4675,358.1776,1.7239,P14_V1,H4,31
4364,37,-0.0956,1.9454,-0.6814,25.3411,358.1172,1.7675,P14_V1,H4,32
4365,38,-0.0962,1.9454,-0.6798,25.3224,358.1677,1.8577,P14_V1,H4,33
4366,39,-0.0967,1.9453,-0.6789,25.3481,358.2191,1.93,P14_V1,H4,34
4367,40,-0.0972,1.9453,-0.6779,25.4098,358.2397,1.9801,P14_V1,H4,35
4368,41,-0.0977,1.9453,-0.6773,25.4161,358.2455,2.0391,P14_V1,H4,36
4369,42,-0.0983,1.9455,-0.6767,25.3152,358.1813,2.0794,P14_V1,H4,37
4370,43,-0.0986,1.9455,-0.6764,25.2583,358.1501,2.0695,P14_V1,H4,38
4371,44,-0.099,1.9455,-0.6761,25.2291,358.1473,2.0533,P14_V1,H4,39
4372,45,-0.0993,1.9456,-0.676,25.2409,358.1723,2.0338,P14_V1,H4,40
4373,46,-0.0996,1.9457,-0.6759,25.215,358.261,2.0375,P14_V1,H4,41
4374,47,-0.0998,1.9461,-0.676,25.0349,358.4104,2.0456,P14_V1,H4,42
4375,48,-0.0999,1.9462,-0.6759,24.9931,358.4252,2.0299,P14_V1,H4,43
4376,49,-0.1,1.9466,-0.6759,24.8344,358.484,2.0243,P14_V1,H4,44
4377,50,-0.1,1.9467,-0.6759,24.8342,358.5163,2.0349,P14_V1,H4,45
4378,52,-0.1002,1.9474,-0.6762,24.6515,358.5454,1.9557,P14_V1,H4,46
4379,53,-0.1002,1.9477,-0.6765,24.5621,358.6049,1.9552,P14_V1,H4,47
4380,54,-0.1001,1.9479,-0.6769,24.4455,358.6484,1.9322,P14_V1,H4,48
4381,55,-0.1001,1.9481,-0.6773,24.3883,358.6696,1.9206,P14_V1,H4,49
4382,56,-0.1,1.9483,-0.6776,24.3429,358.6945,1.9206,P14_V1,H4,50
4383,57,-0.1,1.9485,-0.6784,24.2461,358.7462,1.9365,P14_V1,H4,51
4384,58,-0.0999,1.9487,-0.6787,24.228,358.7462,1.94,P14_V1,H4,52
