,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
8585,1,-0.1131,1.6845,-0.7218,5.2381,7.6522,357.8524,P22_V1,H2,1
8586,2,-0.1139,1.6848,-0.7223,5.2479,8.0142,358.0385,P22_V1,H2,2
8587,3,-0.1144,1.6848,-0.7228,5.2702,8.3974,358.1237,P22_V1,H2,3
8588,4,-0.1148,1.6847,-0.7232,5.2235,8.9734,358.1602,P22_V1,H2,4
8589,5,-0.1149,1.6843,-0.7235,5.3163,9.6484,358.1629,P22_V1,H2,5
8590,6,-0.1152,1.6842,-0.7235,5.4174,10.3666,358.1287,P22_V1,H2,6
8591,7,-0.1156,1.6842,-0.7237,5.4879,10.7217,358.0199,P22_V1,H2,7
8592,8,-0.1163,1.6844,-0.7238,5.5162,10.822,357.9759,P22_V1,H2,8
8593,9,-0.1167,1.6845,-0.7238,5.5342,10.7412,357.9657,P22_V1,H2,9
8594,10,-0.1193,1.6849,-0.7235,5.3252,10.2713,358.0912,P22_V1,H2,10
8595,11,-0.1209,1.6849,-0.7227,5.2112,9.7104,358.2722,P22_V1,H2,11
8596,12,-0.1237,1.6845,-0.7215,5.9639,8.5754,358.7081,P22_V1,H2,12
8597,13,-0.1251,1.6837,-0.7209,6.5953,7.8239,358.7392,P22_V1,H2,13
8598,14,-0.127,1.6832,-0.7201,7.2629,6.7123,358.6812,P22_V1,H2,14
8599,15,-0.1279,1.6828,-0.7196,7.4771,6.2423,358.5238,P22_V1,H2,15
8600,16,-0.1295,1.682,-0.7184,8.0719,5.0362,358.3438,P22_V1,H2,16
8601,17,-0.1311,1.6812,-0.7172,8.7954,3.7332,357.8752,P22_V1,H2,17
8602,18,-0.1318,1.6807,-0.7168,9.3536,3.4713,357.6114,P22_V1,H2,18
8603,19,-0.1321,1.6805,-0.7163,9.613,3.2465,357.7255,P22_V1,H2,19
8604,20,-0.1327,1.6808,-0.7152,9.4392,3.0153,357.8447,P22_V1,H2,20
8605,21,-0.1333,1.6818,-0.7142,8.7813,2.4895,357.8495,P22_V1,H2,21
8606,22,-0.1336,1.682,-0.7138,8.6843,2.3786,357.8416,P22_V1,H2,22
8607,23,-0.1338,1.6823,-0.713,8.6042,1.9752,357.8562,P22_V1,H2,23
8608,24,-0.1339,1.6825,-0.7124,8.7267,1.8289,357.769,P22_V1,H2,24
8609,25,-0.1339,1.6826,-0.712,8.7123,1.7454,357.7762,P22_V1,H2,25
8610,26,-0.134,1.6829,-0.7111,8.7222,1.5455,357.6676,P22_V1,H2,26
8611,27,-0.134,1.6833,-0.71,8.4063,1.36,357.5682,P22_V1,H2,27
8612,28,-0.134,1.6834,-0.7097,8.3454,1.322,357.5029,P22_V1,H2,28
8613,29,-0.134,1.6834,-0.7092,8.3943,1.277,357.4343,P22_V1,H2,29
8614,30,-0.1341,1.6834,-0.709,8.458,1.2251,357.3725,P22_V1,H2,30
8615,31,-0.1342,1.6835,-0.7087,8.5405,1.1604,357.3322,P22_V1,H2,31
8616,32,-0.1343,1.6836,-0.7086,8.6028,1.1052,357.3465,P22_V1,H2,32
8617,33,-0.1345,1.6834,-0.7084,8.7796,1.0024,357.3144,P22_V1,H2,33
8618,34,-0.1345,1.6833,-0.7083,8.8798,0.9882,357.2784,P22_V1,H2,34
8619,35,-0.1346,1.6828,-0.708,9.249,0.9573,357.14,P22_V1,H2,35
8620,36,-0.1346,1.6828,-0.7079,9.2737,0.9077,357.0906,P22_V1,H2,36
8621,37,-0.1346,1.6827,-0.7077,9.4224,0.9178,356.9927,P22_V1,H2,37
