,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
9020,1,0.2054,1.6657,-0.6156,1.5622,349.0271,356.749,P23_V1,H2,1
9021,2,0.2051,1.6657,-0.6155,1.6578,348.9907,356.9359,P23_V1,H2,2
9022,3,0.2049,1.6656,-0.6155,1.701,348.9388,357.052,P23_V1,H2,3
9023,4,0.2048,1.6656,-0.6155,1.6757,348.8425,357.1678,P23_V1,H2,4
9024,5,0.2048,1.6655,-0.6156,1.6575,348.7553,357.2112,P23_V1,H2,5
9025,6,0.2048,1.6654,-0.6157,1.6455,348.6432,357.2746,P23_V1,H2,6
9026,7,0.2049,1.6653,-0.6159,1.6397,348.5559,357.3336,P23_V1,H2,7
9027,8,0.2049,1.6653,-0.6163,1.6687,348.1536,357.6024,P23_V1,H2,8
9028,9,0.2049,1.6652,-0.6164,1.6435,348.0599,357.6216,P23_V1,H2,9
9029,10,0.2048,1.6651,-0.6168,1.7327,347.6256,357.9204,P23_V1,H2,10
9030,11,0.2046,1.6651,-0.6172,1.8165,346.9724,358.0665,P23_V1,H2,11
9031,12,0.2047,1.665,-0.6173,1.7715,346.6718,358.1097,P23_V1,H2,12
9032,13,0.2046,1.6649,-0.6174,1.7665,346.3665,358.0194,P23_V1,H2,13
9033,14,0.2047,1.6648,-0.6176,1.8282,346.0342,358.0828,P23_V1,H2,14
9034,15,0.2049,1.6648,-0.6177,1.8985,345.6966,358.1522,P23_V1,H2,15
9035,16,0.2049,1.6647,-0.6177,1.9336,345.5421,358.1162,P23_V1,H2,16
9036,17,0.2051,1.6646,-0.6177,2.0841,345.2787,358.1481,P23_V1,H2,17
9037,18,0.2052,1.6645,-0.6177,2.2032,345.1307,358.1402,P23_V1,H2,18
9038,19,0.2057,1.6641,-0.6176,2.5577,344.8758,358.2675,P23_V1,H2,19
9039,20,0.2057,1.6639,-0.6175,2.6708,344.8547,358.261,P23_V1,H2,20
9040,21,0.206,1.6631,-0.617,3.0382,344.6084,358.378,P23_V1,H2,21
9041,22,0.2059,1.6627,-0.6167,3.2366,344.5396,358.4286,P23_V1,H2,22
9042,23,0.2051,1.6609,-0.6148,3.7322,344.2971,358.5943,P23_V1,H2,23
9043,24,0.2049,1.6607,-0.6145,3.8029,344.2808,358.6542,P23_V1,H2,24
9044,25,0.2021,1.6593,-0.6096,4.8075,344.1508,358.4473,P23_V1,H2,25
9045,26,0.201,1.6589,-0.608,5.357,344.1182,358.3671,P23_V1,H2,26
9046,27,0.1975,1.6572,-0.6029,7.1175,344.2117,358.1787,P23_V1,H2,27
9047,28,0.1951,1.6561,-0.5996,8.3714,344.1944,358.0313,P23_V1,H2,28
9048,29,0.1897,1.6534,-0.5931,10.8283,344.1907,357.9082,P23_V1,H2,29
9049,30,0.183,1.6494,-0.585,13.1807,343.9563,357.786,P23_V1,H2,30
9050,31,0.1795,1.6472,-0.5807,14.2736,343.8418,357.6605,P23_V1,H2,31
9051,32,0.1713,1.6428,-0.5712,16.5602,343.732,357.135,P23_V1,H2,32
9052,33,0.1671,1.6411,-0.5661,17.2208,343.7346,356.9611,P23_V1,H2,33
9053,34,0.1574,1.6381,-0.5547,18.4844,344.1204,356.6544,P23_V1,H2,34
9054,35,0.1523,1.637,-0.5486,19.1688,344.3486,356.7092,P23_V1,H2,35
9055,36,0.1406,1.6357,-0.5348,19.7469,345.2853,356.9935,P23_V1,H2,36
9056,37,0.1346,1.6351,-0.5276,19.9675,345.7802,357.1994,P23_V1,H2,37
9057,38,0.1213,1.6352,-0.5111,19.1986,346.6023,357.793,P23_V1,H2,38
9058,39,0.1146,1.635,-0.5027,18.7027,346.8958,358.0182,P23_V1,H2,39
9059,40,0.0997,1.6358,-0.4836,16.6145,347.6617,358.5499,P23_V1,H2,40
9060,41,0.0917,1.6366,-0.4734,15.8818,348.0321,358.6086,P23_V1,H2,41
9061,42,0.0754,1.6372,-0.4521,13.8625,348.9653,358.9224,P23_V1,H2,42
9062,43,0.0575,1.6369,-0.4289,13.3593,350.2482,359.2327,P23_V1,H2,43
9063,44,0.0486,1.6366,-0.4169,13.3678,350.7415,359.3239,P23_V1,H2,44
9064,45,0.0389,1.6358,-0.4038,13.9439,351.3517,359.3452,P23_V1,H2,45
9065,46,0.02,1.6336,-0.3773,16.1507,352.4958,359.2207,P23_V1,H2,46
9066,47,0.0023,1.6299,-0.3493,20.8569,353.1541,358.9779,P23_V1,H2,47
9067,48,-0.0058,1.6274,-0.3356,23.2057,353.4037,358.5983,P23_V1,H2,48
9068,49,-0.0201,1.6228,-0.3081,27.0936,353.5136,357.8148,P23_V1,H2,49
9069,50,-0.0267,1.621,-0.2944,28.1543,353.541,357.4075,P23_V1,H2,50
9070,51,-0.0381,1.6181,-0.2674,28.7466,353.8698,356.0963,P23_V1,H2,51
9071,52,-0.0433,1.616,-0.2543,28.9847,354.2681,355.9961,P23_V1,H2,52
9072,53,-0.0513,1.6108,-0.2303,30.3764,354.8151,355.7137,P23_V1,H2,53
9073,54,-0.0546,1.6079,-0.2186,30.9837,355.311,355.7516,P23_V1,H2,54
9074,56,-0.0606,1.5982,-0.1866,32.6252,356.8532,356.3365,P23_V1,H2,55
9075,57,-0.0621,1.5929,-0.1667,32.6451,357.6819,356.7168,P23_V1,H2,56
9076,58,-0.0622,1.5879,-0.1481,31.3177,358.5143,357.3203,P23_V1,H2,57
9077,59,-0.062,1.5851,-0.1398,31.0453,358.8156,357.6911,P23_V1,H2,58
9078,60,-0.0609,1.5825,-0.1333,30.8596,358.8923,357.9475,P23_V1,H2,59
9079,61,-0.0586,1.5781,-0.1206,30.1193,359.2259,358.3611,P23_V1,H2,60
9080,62,-0.0541,1.5793,-0.1103,26.2684,359.716,359.1086,P23_V1,H2,61
9081,63,-0.0516,1.5836,-0.1051,21.8448,359.9009,359.6695,P23_V1,H2,62
9082,64,-0.0459,1.5965,-0.0998,13.8432,0.6894,1.0286,P23_V1,H2,63
9083,65,-0.0431,1.6019,-0.1003,11.6826,1.2456,1.399,P23_V1,H2,64
9084,66,-0.038,1.6124,-0.106,9.3055,1.6916,1.6441,P23_V1,H2,65
9085,67,-0.0356,1.6169,-0.1092,8.4116,2.1795,1.8442,P23_V1,H2,66
9086,68,-0.0312,1.6258,-0.1182,7.1314,3.1268,2.1681,P23_V1,H2,67
9087,69,-0.029,1.6304,-0.1234,6.7783,3.4632,2.3389,P23_V1,H2,68
9088,70,-0.0251,1.6384,-0.134,5.4416,3.7906,2.6794,P23_V1,H2,69
9089,71,-0.0234,1.6422,-0.1395,4.7416,3.9226,2.5559,P23_V1,H2,70
9090,73,-0.0208,1.6493,-0.1512,3.0646,3.637,2.372,P23_V1,H2,71
9091,74,-0.0177,1.6573,-0.167,1.7831,3.6784,2.0144,P23_V1,H2,72
9092,75,-0.0166,1.6597,-0.1721,1.4406,3.6508,1.8588,P23_V1,H2,73
9093,77,-0.0172,1.6635,-0.1824,1.4089,3.6686,1.5841,P23_V1,H2,74
9094,78,-0.0183,1.668,-0.196,1.6459,3.5322,1.3376,P23_V1,H2,75
9095,79,-0.0193,1.6692,-0.2004,1.8153,3.4014,1.4042,P23_V1,H2,76
9096,80,-0.0212,1.6715,-0.2081,1.5442,3.2531,1.3345,P23_V1,H2,77
9097,81,-0.0244,1.6736,-0.2173,1.8762,3.0752,1.1906,P23_V1,H2,78
9098,82,-0.026,1.6741,-0.2204,2.0453,3.1508,1.0949,P23_V1,H2,79
9099,83,-0.0304,1.675,-0.2273,2.2594,3.0445,0.6811,P23_V1,H2,80
9100,84,-0.0323,1.675,-0.2295,2.3664,2.8952,0.5675,P23_V1,H2,81
9101,85,-0.0371,1.6742,-0.2337,2.7177,2.5635,0.3491,P23_V1,H2,82
9102,86,-0.0389,1.6737,-0.2349,2.8195,2.4119,0.3426,P23_V1,H2,83
9103,87,-0.0432,1.6716,-0.2398,3.5147,1.7005,0.1228,P23_V1,H2,84
9104,88,-0.0445,1.6713,-0.2422,3.8851,1.5213,0.0482,P23_V1,H2,85
9105,89,-0.0445,1.6713,-0.249,4.1442,0.719,359.6869,P23_V1,H2,86
9106,90,-0.0437,1.6718,-0.2531,4.1006,0.278,359.5266,P23_V1,H2,87
9107,91,-0.0405,1.6744,-0.2634,3.3392,359.5311,359.4472,P23_V1,H2,88
9108,92,-0.0389,1.6758,-0.2688,2.8556,359.0511,359.5458,P23_V1,H2,89
9109,94,-0.0328,1.6778,-0.282,2.3201,358.0306,359.7237,P23_V1,H2,90
9110,95,-0.023,1.6777,-0.3,2.4196,357.3167,359.2011,P23_V1,H2,91
9111,96,-0.0198,1.6776,-0.3059,2.4557,357.1062,359.0551,P23_V1,H2,92
9112,97,-0.0105,1.6753,-0.3184,3.0263,357.3428,359.0287,P23_V1,H2,93
9113,98,-0.0064,1.6745,-0.3244,3.2192,357.293,358.9285,P23_V1,H2,94
9114,99,0.0033,1.6725,-0.3366,3.6468,357.5604,359.1295,P23_V1,H2,95
9115,100,0.0088,1.6725,-0.3424,3.2377,357.6007,359.499,P23_V1,H2,96
9116,101,0.0197,1.6725,-0.3537,2.5784,357.3777,359.9239,P23_V1,H2,97
9117,102,0.0317,1.6723,-0.3649,3.0583,356.8111,0.4337,P23_V1,H2,98
9118,103,0.0378,1.6725,-0.37,3.3026,356.651,0.4193,P23_V1,H2,99
9119,104,0.0511,1.6713,-0.3804,4.1482,356.3366,0.0393,P23_V1,H2,100
9120,105,0.0576,1.6703,-0.3855,4.4202,356.3218,359.694,P23_V1,H2,101
9121,106,0.0709,1.6684,-0.3949,4.4405,356.4917,359.3204,P23_V1,H2,102
9122,107,0.0774,1.6677,-0.3997,4.7807,356.5735,359.274,P23_V1,H2,103
9123,108,0.0898,1.666,-0.4084,4.8447,356.8232,359.5877,P23_V1,H2,104
9124,109,0.0956,1.665,-0.4123,4.5415,356.949,359.6896,P23_V1,H2,105
9125,110,0.1065,1.6613,-0.4199,4.167,356.7652,0.0471,P23_V1,H2,106
9126,111,0.1117,1.6589,-0.4234,3.7627,356.529,0.4014,P23_V1,H2,107
9127,112,0.1206,1.6578,-0.4292,4.0063,355.6577,0.4088,P23_V1,H2,108
9128,113,0.1251,1.6574,-0.432,3.9893,355.3269,0.3512,P23_V1,H2,109
9129,114,0.1328,1.6618,-0.4369,4.119,354.7884,359.8786,P23_V1,H2,110
9130,115,0.1367,1.6632,-0.4391,3.9925,354.594,359.7859,P23_V1,H2,111
9131,116,0.1443,1.6677,-0.4433,2.5731,354.3745,0.126,P23_V1,H2,112
9132,117,0.1479,1.6688,-0.4455,1.571,353.9374,0.3392,P23_V1,H2,113
9133,118,0.1553,1.6685,-0.4501,0.301,353.475,0.1655,P23_V1,H2,114
9134,119,0.1628,1.6665,-0.4543,359.5136,353.2038,359.6418,P23_V1,H2,115
9135,120,0.1664,1.6664,-0.4562,359.4664,353.1534,359.4829,P23_V1,H2,116
9136,121,0.1725,1.6665,-0.4597,359.686,353.05,358.4972,P23_V1,H2,117
9137,122,0.1752,1.6667,-0.4611,359.5835,353.0726,358.2257,P23_V1,H2,118
9138,123,0.1792,1.6669,-0.4627,359.3651,353.0747,358.4344,P23_V1,H2,119
9139,124,0.1813,1.6668,-0.4633,359.2069,352.962,358.4193,P23_V1,H2,120
9140,125,0.1852,1.6666,-0.4636,358.7693,352.896,358.4986,P23_V1,H2,121
9141,126,0.1862,1.6666,-0.4637,358.7829,352.7462,358.4333,P23_V1,H2,122
9142,127,0.1885,1.6665,-0.4639,358.8701,352.4977,358.3643,P23_V1,H2,123
9143,128,0.1899,1.6666,-0.464,358.9758,352.2565,358.275,P23_V1,H2,124
9144,129,0.1926,1.6668,-0.4639,358.8739,351.5179,358.1773,P23_V1,H2,125
9145,130,0.1941,1.667,-0.4631,358.3998,350.7329,358.055,P23_V1,H2,126
9146,131,0.1948,1.6672,-0.4623,358.1315,350.5293,358.1544,P23_V1,H2,127
9147,132,0.1951,1.6673,-0.4621,358.0295,350.3918,358.2061,P23_V1,H2,128
9148,133,0.1956,1.6676,-0.4614,357.9014,349.9997,358.2665,P23_V1,H2,129
9149,134,0.1957,1.6678,-0.4611,357.9522,349.9878,358.3748,P23_V1,H2,130
9150,135,0.1958,1.6681,-0.4602,357.6737,349.8366,358.4202,P23_V1,H2,131
9151,136,0.1957,1.6682,-0.4597,357.5892,349.8447,358.4975,P23_V1,H2,132
9152,137,0.1953,1.6681,-0.4589,357.6391,349.8009,358.8606,P23_V1,H2,133
9153,138,0.1946,1.6679,-0.458,357.8969,349.5588,359.1524,P23_V1,H2,134
9154,139,0.1945,1.6679,-0.4578,357.9285,349.506,359.0908,P23_V1,H2,135
9155,140,0.1933,1.6679,-0.4568,358.0954,349.3274,358.8729,P23_V1,H2,136
9156,141,0.1929,1.6679,-0.4564,358.1684,349.2399,358.9105,P23_V1,H2,137
9157,142,0.1911,1.6678,-0.4552,358.4232,348.9555,358.8564,P23_V1,H2,138
9158,143,0.1904,1.6677,-0.4547,358.4654,348.7639,358.8275,P23_V1,H2,139
9159,144,0.188,1.6676,-0.4534,358.8027,348.1513,358.7024,P23_V1,H2,140
9160,145,0.1869,1.6675,-0.453,358.943,347.9077,358.6563,P23_V1,H2,141
9161,146,0.1845,1.6674,-0.4523,359.2254,347.2376,358.6696,P23_V1,H2,142
9162,147,0.1822,1.6673,-0.4518,359.4666,346.4829,358.7058,P23_V1,H2,143
9163,148,0.1813,1.6674,-0.4513,359.3628,346.1841,358.6801,P23_V1,H2,144
9164,149,0.1806,1.6674,-0.4512,359.3966,346.0153,358.7753,P23_V1,H2,145
9165,0,0.1795,1.6675,-0.4509,359.3023,345.74,358.6756,P23_V1,H2,146
9166,1,0.1789,1.6676,-0.4507,359.3113,345.5795,358.6852,P23_V1,H2,147
9167,2,0.1777,1.6677,-0.45,359.2611,345.2593,358.5907,P23_V1,H2,148
9168,3,0.1776,1.6677,-0.45,359.2435,345.2044,358.5888,P23_V1,H2,149
9169,4,0.1771,1.6677,-0.4496,359.2839,345.144,358.5392,P23_V1,H2,150
9170,5,0.1766,1.6674,-0.4491,359.3812,345.0724,358.4871,P23_V1,H2,151
9171,6,0.1764,1.6672,-0.4489,359.4932,345.0782,358.4207,P23_V1,H2,152
9172,7,0.1763,1.6668,-0.4487,359.7065,345.1952,358.3387,P23_V1,H2,153
9173,8,0.1764,1.6666,-0.4486,359.7963,345.2764,358.3204,P23_V1,H2,154
9174,9,0.1767,1.6662,-0.4487,-0.0033,345.4594,358.3125,P23_V1,H2,155
9175,10,0.1768,1.6661,-0.4488,0.0831,345.4803,358.3933,P23_V1,H2,156
9176,11,0.1772,1.6659,-0.4491,0.1318,345.5059,358.6768,P23_V1,H2,157
9177,12,0.1774,1.6658,-0.4492,0.1391,345.4518,358.7656,P23_V1,H2,158
9178,13,0.1779,1.6654,-0.4495,0.19,345.3276,358.8506,P23_V1,H2,159
9179,14,0.1788,1.6652,-0.4499,0.2393,345.2282,358.886,P23_V1,H2,160
9180,15,0.1797,1.6649,-0.4501,0.2274,345.192,358.8732,P23_V1,H2,161
9181,16,0.18,1.6649,-0.4502,0.2295,345.1861,358.8655,P23_V1,H2,162
9182,17,0.182,1.6645,-0.4506,0.2468,345.2525,358.7464,P23_V1,H2,163
9183,18,0.1823,1.6645,-0.4506,0.2428,345.2795,358.7491,P23_V1,H2,164
9184,19,0.1836,1.6642,-0.4508,0.337,345.3634,358.742,P23_V1,H2,165
9185,20,0.1854,1.6637,-0.4511,0.547,345.4385,358.8033,P23_V1,H2,166
9186,21,0.1858,1.6636,-0.4511,0.5474,345.4319,358.8213,P23_V1,H2,167
9187,22,0.1874,1.6632,-0.4515,0.6626,345.3765,358.9117,P23_V1,H2,168
9188,23,0.188,1.6631,-0.4516,0.6937,345.3202,358.9432,P23_V1,H2,169
9189,24,0.1896,1.6629,-0.4521,0.7565,345.1292,358.9279,P23_V1,H2,170
9190,25,0.1903,1.6629,-0.4523,0.7432,345.0241,358.9155,P23_V1,H2,171
9191,26,0.1917,1.6628,-0.4527,0.6974,344.8802,358.8437,P23_V1,H2,172
9192,27,0.1923,1.6628,-0.4529,0.6437,344.7993,358.8141,P23_V1,H2,173
9193,28,0.1938,1.6629,-0.4534,0.5367,344.6201,358.7108,P23_V1,H2,174
9194,29,0.1943,1.6629,-0.4536,0.5531,344.5532,358.6595,P23_V1,H2,175
9195,30,0.1954,1.6629,-0.454,0.4747,344.4505,358.5128,P23_V1,H2,176
9196,31,0.1957,1.6629,-0.4541,0.4507,344.4315,358.4877,P23_V1,H2,177
9197,32,0.1965,1.6629,-0.4545,0.3694,344.4074,358.3879,P23_V1,H2,178
9198,33,0.1971,1.663,-0.4548,0.2773,344.4441,358.3433,P23_V1,H2,179
9199,34,0.1974,1.6631,-0.455,0.2157,344.4998,358.3142,P23_V1,H2,180
9200,35,0.1974,1.6631,-0.4551,0.1862,344.5173,358.3076,P23_V1,H2,181
9201,36,0.1975,1.6633,-0.4552,0.0672,344.5687,358.274,P23_V1,H2,182
9202,37,0.1975,1.6634,-0.4552,359.9817,344.6354,358.3095,P23_V1,H2,183
9203,38,0.1974,1.6635,-0.4552,359.953,344.6661,358.3019,P23_V1,H2,184
9204,39,0.1971,1.6637,-0.455,359.8967,344.7654,358.2946,P23_V1,H2,185
9205,40,0.197,1.6637,-0.4549,359.8937,344.7802,358.3103,P23_V1,H2,186
9206,41,0.1965,1.6638,-0.4547,359.916,344.8484,358.3161,P23_V1,H2,187
