,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
8593,1,0.1005,1.6781,-0.4113,358.421,351.6478,358.971,P23_V1,H3,1
8594,2,0.0981,1.6782,-0.41,358.24,351.6723,358.9901,P23_V1,H3,2
8595,3,0.0979,1.6779,-0.4098,358.4003,351.6024,358.9832,P23_V1,H3,3
8596,4,0.0955,1.6776,-0.4084,358.4831,351.4024,358.9863,P23_V1,H3,4
8597,5,0.0933,1.6768,-0.4068,358.7519,350.955,359.028,P23_V1,H3,5
8598,6,0.0923,1.6763,-0.4063,359.1146,350.5658,359.0523,P23_V1,H3,6
8599,7,0.0917,1.676,-0.4064,359.4785,350.095,359.0647,P23_V1,H3,7
8600,8,0.0916,1.6759,-0.4066,359.5307,349.6312,359.2105,P23_V1,H3,8
8601,9,0.0918,1.676,-0.4069,359.3537,349.2594,359.4757,P23_V1,H3,9
8602,10,0.0925,1.6759,-0.4072,359.2489,348.9962,359.6313,P23_V1,H3,10
8603,11,0.0936,1.6757,-0.4074,359.3521,348.7846,359.7411,P23_V1,H3,11
8604,12,0.095,1.6754,-0.4077,359.472,348.6558,359.7769,P23_V1,H3,12
8605,13,0.0968,1.6751,-0.408,359.5735,348.5966,359.7314,P23_V1,H3,13
8606,14,0.0986,1.6749,-0.4082,359.5387,348.606,359.7002,P23_V1,H3,14
8607,15,0.1015,1.6747,-0.4085,359.5316,348.6816,359.6582,P23_V1,H3,15
8608,16,0.1068,1.6742,-0.409,359.4771,348.956,359.5517,P23_V1,H3,16
8609,17,0.1098,1.6739,-0.4091,359.4572,349.0802,359.6085,P23_V1,H3,17
8610,18,0.1136,1.6735,-0.4089,359.3745,349.123,359.7678,P23_V1,H3,18
8611,19,0.1171,1.6731,-0.4085,359.3387,349.1171,359.951,P23_V1,H3,19
8612,20,0.1203,1.6728,-0.4078,359.3281,349.0882,0.1094,P23_V1,H3,20
8613,21,0.1244,1.6723,-0.4066,359.4125,348.9954,0.3582,P23_V1,H3,21
8614,22,0.1283,1.6717,-0.4049,359.6667,348.8937,0.4897,P23_V1,H3,22
8615,23,0.1323,1.6711,-0.4027,0.0596,348.785,0.618,P23_V1,H3,23
8616,24,0.1362,1.6703,-0.3999,0.415,348.6801,0.7551,P23_V1,H3,24
8617,25,0.1401,1.6691,-0.3964,0.526,348.4638,0.8513,P23_V1,H3,25
8618,26,0.1452,1.6674,-0.3909,0.9489,348.2665,0.9701,P23_V1,H3,26
8619,27,0.1482,1.6658,-0.3861,1.3908,348.2531,0.7726,P23_V1,H3,27
8620,28,0.1507,1.6644,-0.3809,2.5335,348.1878,0.3022,P23_V1,H3,28
8621,29,0.1528,1.6629,-0.3756,3.9067,348.1762,359.8145,P23_V1,H3,29
8622,30,0.1539,1.6612,-0.3696,5.6319,348.1265,359.2034,P23_V1,H3,30
8623,31,0.1542,1.6594,-0.3628,7.4934,348.1652,358.74,P23_V1,H3,31
8624,32,0.1534,1.6561,-0.3527,10.2377,348.4478,358.4214,P23_V1,H3,32
8625,33,0.1524,1.6541,-0.3469,11.1372,348.6269,358.0351,P23_V1,H3,33
8626,34,0.15,1.6499,-0.3347,13.0243,349.1035,357.4103,P23_V1,H3,34
8627,35,0.1456,1.645,-0.321,14.3209,350.0122,356.8714,P23_V1,H3,35
8628,36,0.1437,1.6426,-0.3145,15.1584,350.363,356.5741,P23_V1,H3,36
8629,37,0.138,1.6376,-0.3005,16.7507,351.5428,356.0284,P23_V1,H3,37
8630,38,0.1302,1.6326,-0.2852,18.9166,352.7444,355.3565,P23_V1,H3,38
8631,39,0.1254,1.6301,-0.2771,20.0423,353.5024,355.2755,P23_V1,H3,39
8632,40,0.1196,1.6282,-0.2677,21.1719,354.0698,355.1692,P23_V1,H3,40
8633,41,0.1045,1.6222,-0.2409,24.3123,355.56,354.5533,P23_V1,H3,41
8634,42,0.0985,1.6214,-0.2303,25.265,355.8683,354.2682,P23_V1,H3,42
8635,43,0.0932,1.6209,-0.2202,26.3526,356.1859,354.0641,P23_V1,H3,43
8636,44,0.0824,1.6187,-0.2002,27.8389,356.831,353.8229,P23_V1,H3,44
8637,45,0.0773,1.6171,-0.1908,28.6355,357.0613,353.6054,P23_V1,H3,45
