,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
2892,1,0.1331,1.7882,-0.8359,7.5358,347.274,0.2147,P10_V1,H2,1
2893,2,0.134,1.7885,-0.8367,7.2824,347.4797,0.1254,P10_V1,H2,2
2894,3,0.1346,1.7887,-0.8373,7.1987,347.6339,0.0973,P10_V1,H2,3
2895,4,0.1352,1.7888,-0.8378,7.0502,347.7579,0.084,P10_V1,H2,4
2896,5,0.1356,1.7889,-0.8383,6.9717,347.8296,0.0283,P10_V1,H2,5
2897,6,0.1362,1.7891,-0.8388,6.7929,347.976,359.9886,P10_V1,H2,6
2898,7,0.1369,1.7895,-0.8395,6.5088,348.0999,359.9106,P10_V1,H2,7
2899,8,0.1374,1.79,-0.8401,6.156,348.2495,359.8893,P10_V1,H2,8
2900,9,0.1376,1.7901,-0.8403,6.1705,348.289,359.8543,P10_V1,H2,9
2901,10,0.1379,1.7903,-0.8406,5.9575,348.4104,359.8061,P10_V1,H2,10
2902,11,0.1382,1.7906,-0.8409,5.8062,348.5692,359.7704,P10_V1,H2,11
2903,12,0.1384,1.7906,-0.841,5.7335,348.6257,359.7975,P10_V1,H2,12
2904,13,0.1386,1.7907,-0.8412,5.6814,348.7018,359.7694,P10_V1,H2,13
2905,14,0.1388,1.7906,-0.8413,5.6639,348.8465,359.7667,P10_V1,H2,14
2906,15,0.1388,1.7906,-0.8413,5.6868,348.8737,359.7715,P10_V1,H2,15
2907,16,0.1388,1.7906,-0.8413,5.7195,348.8976,359.7532,P10_V1,H2,16
2908,17,0.1388,1.7905,-0.8412,5.7298,348.9105,359.7585,P10_V1,H2,17
2909,18,0.1387,1.7905,-0.841,5.7725,348.9128,359.7657,P10_V1,H2,18
2910,19,0.1386,1.7905,-0.8409,5.7951,348.9173,359.7727,P10_V1,H2,19
2911,20,0.1383,1.7905,-0.8405,5.8347,348.9675,359.7948,P10_V1,H2,20
2912,21,0.1382,1.7905,-0.8404,5.8389,348.9753,359.8092,P10_V1,H2,21
2913,22,0.1378,1.7905,-0.8399,5.9008,348.9998,359.8504,P10_V1,H2,22
2914,23,0.1376,1.7905,-0.8397,5.9422,349.0129,359.8653,P10_V1,H2,23
2915,24,0.1372,1.7905,-0.8391,6.0186,348.9918,359.9109,P10_V1,H2,24
2916,25,0.1367,1.7904,-0.8386,6.1051,348.9687,359.9353,P10_V1,H2,25
2917,26,0.1366,1.7903,-0.8385,6.1311,348.9672,359.9356,P10_V1,H2,26
2918,27,0.1361,1.7903,-0.8381,6.1578,349.0094,359.9426,P10_V1,H2,27
2919,28,0.136,1.7904,-0.838,6.1546,349.0239,359.955,P10_V1,H2,28
2920,29,0.1358,1.7904,-0.8378,6.1364,349.052,359.9704,P10_V1,H2,29
2921,30,0.1354,1.7905,-0.8374,6.0888,349.0848,359.9785,P10_V1,H2,30
2922,31,0.1352,1.7905,-0.8371,6.039,349.0994,359.9892,P10_V1,H2,31
2923,32,0.1349,1.7904,-0.8368,6.067,349.1225,359.9853,P10_V1,H2,32
2924,33,0.1344,1.7904,-0.8364,6.0604,349.2148,359.9711,P10_V1,H2,33
2925,34,0.1343,1.7904,-0.8363,6.0599,349.221,359.9757,P10_V1,H2,34
2926,35,0.134,1.7904,-0.836,6.0599,349.3283,359.9472,P10_V1,H2,35
2927,36,0.1339,1.7904,-0.8358,6.065,349.3814,359.9296,P10_V1,H2,36
2928,37,0.1337,1.7904,-0.8355,6.0615,349.5063,359.9248,P10_V1,H2,37
2929,38,0.1336,1.7904,-0.8353,6.0635,349.5356,359.9026,P10_V1,H2,38
2930,39,0.1335,1.7903,-0.8349,6.1063,349.6666,359.8519,P10_V1,H2,39
2931,40,0.1334,1.7903,-0.8347,6.113,349.694,359.8342,P10_V1,H2,40
2932,41,0.1333,1.7903,-0.8342,6.1652,349.7932,359.7964,P10_V1,H2,41
2933,42,0.1333,1.7902,-0.8336,6.2219,349.9223,359.7625,P10_V1,H2,42
2934,43,0.1333,1.7901,-0.8334,6.2265,349.9694,359.7395,P10_V1,H2,43
2935,44,0.1332,1.7901,-0.833,6.26,350.0596,359.7276,P10_V1,H2,44
2936,45,0.1331,1.79,-0.8324,6.3965,350.1826,359.6851,P10_V1,H2,45
2937,46,0.1331,1.7899,-0.8321,6.438,350.2209,359.6966,P10_V1,H2,46
2938,47,0.133,1.7898,-0.8314,6.5969,350.3289,359.6629,P10_V1,H2,47
2939,48,0.133,1.7897,-0.8308,6.767,350.4175,359.6315,P10_V1,H2,48
2940,49,0.133,1.7897,-0.8305,6.8742,350.4597,359.6079,P10_V1,H2,49
2941,50,0.1329,1.7895,-0.8299,6.9676,350.5697,359.6154,P10_V1,H2,50
2942,51,0.1329,1.7894,-0.8296,7.0379,350.6193,359.614,P10_V1,H2,51
2943,52,0.1329,1.7892,-0.829,7.2488,350.7449,359.5788,P10_V1,H2,52
2944,53,0.1329,1.7891,-0.8288,7.3694,350.8092,359.5956,P10_V1,H2,53
2945,54,0.1329,1.7889,-0.8282,7.5873,350.9926,359.5884,P10_V1,H2,54
2946,55,0.1329,1.7886,-0.8278,7.7993,351.1425,359.5945,P10_V1,H2,55
2947,56,0.133,1.7883,-0.8273,8.0676,351.2478,359.5242,P10_V1,H2,56
2948,57,0.133,1.7881,-0.827,8.2116,351.3125,359.4723,P10_V1,H2,57
2949,58,0.1333,1.7877,-0.8265,8.5534,351.5199,359.46,P10_V1,H2,58
2950,59,0.1337,1.7871,-0.8258,8.9935,351.8028,359.2057,P10_V1,H2,59
2951,60,0.134,1.7869,-0.8254,9.2864,351.9977,359.1844,P10_V1,H2,60
2952,61,0.1342,1.7864,-0.8249,9.5749,352.2929,359.0478,P10_V1,H2,61
2953,62,0.1347,1.7856,-0.8243,10.0795,352.6053,358.9557,P10_V1,H2,62
2954,63,0.1353,1.7849,-0.8237,10.6653,352.8276,358.72,P10_V1,H2,63
2955,64,0.1357,1.784,-0.8228,11.4695,353.2813,358.5198,P10_V1,H2,64
2956,65,0.136,1.7836,-0.8224,11.7934,353.4484,358.4608,P10_V1,H2,65
2957,66,0.1365,1.7828,-0.8217,12.2848,353.8329,358.3955,P10_V1,H2,66
2958,67,0.1369,1.7823,-0.8213,12.6665,354.1942,358.323,P10_V1,H2,67
2959,68,0.1371,1.7821,-0.8211,12.9334,354.3718,358.2386,P10_V1,H2,68
2960,69,0.1378,1.7816,-0.8205,13.3676,354.7271,357.9783,P10_V1,H2,69
2961,70,0.1382,1.7812,-0.8203,13.7615,355.0077,357.9326,P10_V1,H2,70
2962,71,0.1387,1.7807,-0.8198,14.0702,355.6452,357.8252,P10_V1,H2,71
2963,72,0.1389,1.7808,-0.8197,13.9731,355.6976,357.8195,P10_V1,H2,72
2964,73,0.1392,1.7807,-0.8196,13.9647,356.0057,357.7413,P10_V1,H2,73
2965,74,0.1393,1.7806,-0.8196,14.0719,356.1561,357.7575,P10_V1,H2,74
2966,75,0.1397,1.7805,-0.8198,14.0351,356.3229,357.6914,P10_V1,H2,75
2967,76,0.14,1.7806,-0.82,14.0115,356.5148,357.691,P10_V1,H2,76
2968,77,0.1402,1.7806,-0.8201,13.9804,356.6461,357.7043,P10_V1,H2,77
2969,78,0.1405,1.7808,-0.8205,13.8759,356.8589,357.7201,P10_V1,H2,78
2970,79,0.1407,1.7808,-0.8207,13.8358,356.9017,357.7102,P10_V1,H2,79
2971,80,0.1411,1.7809,-0.8211,13.7511,357.0577,357.6784,P10_V1,H2,80
2972,81,0.1412,1.7809,-0.8213,13.7207,357.0767,357.6969,P10_V1,H2,81
