,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
3334,1,-0.1003,1.7855,-0.6118,1.1406,359.8114,358.7942,P10_V1,H1,1
3335,2,-0.1003,1.7856,-0.6129,1.0684,359.7188,358.8693,P10_V1,H1,2
3336,3,-0.1002,1.7856,-0.6137,1.0451,359.546,358.9321,P10_V1,H1,3
3337,4,-0.1001,1.7856,-0.6144,1.0209,359.381,358.9532,P10_V1,H1,4
3338,5,-0.0998,1.7855,-0.6151,1.0234,359.2883,358.9011,P10_V1,H1,5
3339,6,-0.0996,1.7854,-0.6155,1.0482,359.3106,358.8518,P10_V1,H1,6
3340,7,-0.0989,1.7851,-0.6162,1.2015,359.3882,358.6561,P10_V1,H1,7
3341,8,-0.0985,1.7849,-0.6166,1.1993,359.4849,358.5699,P10_V1,H1,8
3342,9,-0.0982,1.7849,-0.6169,1.1798,359.5863,358.5019,P10_V1,H1,9
3343,10,-0.0979,1.7849,-0.6172,1.2056,359.6986,358.4913,P10_V1,H1,10
3344,11,-0.0974,1.7848,-0.6175,1.1506,359.9108,358.4547,P10_V1,H1,11
3345,12,-0.0971,1.7847,-0.6177,1.1797,-0.0052,358.4559,P10_V1,H1,12
3346,13,-0.0966,1.7846,-0.618,1.2338,0.1688,358.4425,P10_V1,H1,13
3347,14,-0.0962,1.7845,-0.6182,1.2905,0.4306,358.3744,P10_V1,H1,14
3348,15,-0.0957,1.7845,-0.6186,1.3264,0.6691,358.3241,P10_V1,H1,15
3349,16,-0.0953,1.7845,-0.6187,1.2268,0.9894,358.2929,P10_V1,H1,16
3350,17,-0.0952,1.7844,-0.6187,1.2247,1.0219,358.3059,P10_V1,H1,17
3351,18,-0.0948,1.7844,-0.6187,1.213,1.1797,358.3141,P10_V1,H1,18
3352,19,-0.0946,1.7843,-0.6186,1.1991,1.2245,358.2739,P10_V1,H1,19
3353,20,-0.0941,1.7841,-0.6185,1.2639,1.251,358.1946,P10_V1,H1,20
3354,21,-0.0939,1.7839,-0.6185,1.2984,1.2622,358.1739,P10_V1,H1,21
3355,22,-0.0932,1.7834,-0.6184,1.4964,1.3056,358.0502,P10_V1,H1,22
3356,23,-0.0925,1.7831,-0.6184,1.6387,1.4354,358.007,P10_V1,H1,23
3357,24,-0.0921,1.7829,-0.6183,1.6684,1.5022,357.9704,P10_V1,H1,24
3358,25,-0.091,1.7826,-0.6182,1.691,1.6752,357.8257,P10_V1,H1,25
3359,26,-0.0905,1.7825,-0.618,1.693,1.7732,357.7809,P10_V1,H1,26
3360,27,-0.0894,1.7823,-0.6175,1.6477,1.9446,357.7205,P10_V1,H1,27
3361,28,-0.089,1.7822,-0.6172,1.6259,1.9598,357.6898,P10_V1,H1,28
3362,29,-0.0883,1.782,-0.6165,1.5943,2.0088,357.6553,P10_V1,H1,29
3363,30,-0.0873,1.7819,-0.6155,1.5718,2.0148,357.6237,P10_V1,H1,30
3364,31,-0.0856,1.7814,-0.6133,1.6147,1.9772,357.5258,P10_V1,H1,31
3365,32,-0.0851,1.7812,-0.6127,1.6375,1.9969,357.5148,P10_V1,H1,32
3366,33,-0.083,1.7805,-0.6097,1.9091,1.907,357.3879,P10_V1,H1,33
3367,34,-0.0821,1.7802,-0.6082,1.9872,1.8634,357.3729,P10_V1,H1,34
3368,35,-0.0807,1.7798,-0.6057,2.2178,1.7732,357.2915,P10_V1,H1,35
3369,36,-0.0798,1.7796,-0.6038,2.3495,1.7131,357.207,P10_V1,H1,36
3370,37,-0.0787,1.7793,-0.601,2.5159,1.6682,357.1499,P10_V1,H1,37
3371,38,-0.078,1.7792,-0.5992,2.6143,1.6262,357.1299,P10_V1,H1,38
3372,39,-0.0771,1.7788,-0.5957,2.8158,1.4709,357.1103,P10_V1,H1,39
3373,40,-0.0766,1.7784,-0.5933,2.9396,1.3918,357.2298,P10_V1,H1,40
3374,41,-0.0757,1.7778,-0.5895,3.1315,1.086,357.2448,P10_V1,H1,41
3375,42,-0.075,1.7772,-0.5865,3.3047,0.8744,357.251,P10_V1,H1,42
3376,43,-0.074,1.7767,-0.5824,3.5688,0.6602,357.0546,P10_V1,H1,43
3377,44,-0.0733,1.7762,-0.5797,3.6608,0.5478,356.9816,P10_V1,H1,44
3378,45,-0.072,1.7757,-0.5753,3.8502,0.4355,356.7877,P10_V1,H1,45
3379,46,-0.071,1.7751,-0.5722,3.9832,0.3331,356.7545,P10_V1,H1,46
3380,47,-0.0694,1.7741,-0.5656,4.6913,0.0756,356.5596,P10_V1,H1,47
3381,48,-0.0688,1.7734,-0.5625,4.8852,359.8406,356.5861,P10_V1,H1,48
3382,49,-0.068,1.7729,-0.5579,5.3321,359.5868,356.5759,P10_V1,H1,49
3383,50,-0.0673,1.7722,-0.5543,5.2951,359.4902,356.664,P10_V1,H1,50
3384,51,-0.0669,1.7721,-0.5525,5.3312,359.4431,356.6177,P10_V1,H1,51
3385,52,-0.0658,1.7716,-0.5484,5.3483,359.3436,356.6374,P10_V1,H1,52
3386,53,-0.0653,1.7715,-0.5466,5.3078,359.4247,356.6089,P10_V1,H1,53
3387,54,-0.0642,1.7711,-0.5413,5.1451,359.4982,356.609,P10_V1,H1,54
3388,55,-0.0637,1.771,-0.5382,5.0224,359.5467,356.6864,P10_V1,H1,55
3389,56,-0.0629,1.7712,-0.5334,4.6723,359.6434,356.8692,P10_V1,H1,56
3390,57,-0.0623,1.7718,-0.5294,3.9865,359.8471,357.103,P10_V1,H1,57
3391,58,-0.0623,1.7722,-0.5265,3.5578,0.0107,357.3028,P10_V1,H1,58
3392,59,-0.0626,1.7723,-0.5247,3.6229,0.0313,357.4549,P10_V1,H1,59
3393,60,-0.0628,1.7723,-0.5234,3.5361,0.0754,357.5594,P10_V1,H1,60
3394,61,-0.0632,1.7723,-0.5213,3.5608,0.0714,357.7047,P10_V1,H1,61
3395,62,-0.0635,1.7721,-0.5197,3.5282,0.0301,357.8377,P10_V1,H1,62
3396,63,-0.064,1.7721,-0.5171,3.5349,0.0644,358.0409,P10_V1,H1,63
3397,64,-0.0641,1.7721,-0.516,3.5421,0.108,358.1172,P10_V1,H1,64
3398,65,-0.0644,1.7721,-0.5138,3.8738,0.3311,358.3886,P10_V1,H1,65
3399,66,-0.0645,1.772,-0.5135,4.0228,0.3681,358.4179,P10_V1,H1,66
3400,67,-0.0646,1.7717,-0.5134,5.0909,0.6035,358.6093,P10_V1,H1,67
3401,68,-0.0646,1.7718,-0.5134,5.0612,0.6856,358.5881,P10_V1,H1,68
3402,69,-0.0646,1.7721,-0.5137,5.2668,0.9134,358.5222,P10_V1,H1,69
3403,70,-0.0644,1.7723,-0.514,5.4403,1.008,358.6816,P10_V1,H1,70
