,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
2252,1,-0.3505,1.8747,-0.478,17.7057,18.7716,358.4728,P07_V1,H1,1
2253,2,-0.342,1.8753,-0.4824,17.3316,19.1165,358.2099,P07_V1,H1,2
2254,3,-0.3321,1.8757,-0.4873,16.845,19.6957,358.0571,P07_V1,H1,3
2255,4,-0.3269,1.876,-0.4896,16.569,19.9622,358.0564,P07_V1,H1,4
2256,5,-0.3106,1.8764,-0.4966,16.3831,20.9121,358.1894,P07_V1,H1,5
2257,6,-0.3048,1.8766,-0.499,16.3978,21.1776,358.2937,P07_V1,H1,6
2258,7,-0.2928,1.8779,-0.5041,16.431,21.3251,358.771,P07_V1,H1,7
2259,8,-0.2877,1.8788,-0.5062,16.3305,20.9277,358.8357,P07_V1,H1,8
2260,9,-0.2762,1.8812,-0.5118,15.9508,20.032,358.9006,P07_V1,H1,9
2261,10,-0.2711,1.8821,-0.5146,15.5943,19.3938,358.8374,P07_V1,H1,10
2262,11,-0.2614,1.8834,-0.5201,14.7123,17.9502,358.6044,P07_V1,H1,11
2263,12,-0.2567,1.8837,-0.5228,14.4116,17.2366,358.4438,P07_V1,H1,12
2264,13,-0.2476,1.884,-0.5285,14.0729,16.0975,358.0671,P07_V1,H1,13
2265,14,-0.2431,1.8841,-0.5312,13.8565,15.683,357.9188,P07_V1,H1,14
2266,15,-0.2342,1.885,-0.5365,12.745,14.9435,357.6507,P07_V1,H1,15
2267,16,-0.2299,1.8851,-0.5392,12.3405,14.7394,357.5592,P07_V1,H1,16
2268,17,-0.2219,1.8854,-0.5444,11.4494,14.5332,357.6285,P07_V1,H1,17
2269,18,-0.218,1.8858,-0.547,10.9801,14.431,357.6475,P07_V1,H1,18
2270,19,-0.2106,1.8863,-0.5522,10.2167,14.2563,357.6653,P07_V1,H1,19
2271,20,-0.2036,1.8871,-0.5566,9.0855,13.8022,357.7367,P07_V1,H1,20
2272,21,-0.2002,1.8875,-0.5586,8.4963,13.623,357.8152,P07_V1,H1,21
2273,22,-0.1937,1.8881,-0.5627,7.5089,13.031,357.6566,P07_V1,H1,22
2274,23,-0.1907,1.8884,-0.5647,7.0606,12.715,357.6065,P07_V1,H1,23
2275,24,-0.1849,1.8883,-0.569,6.5744,11.8922,357.3917,P07_V1,H1,24
2276,25,-0.1822,1.8883,-0.571,6.3413,11.5386,357.3889,P07_V1,H1,25
2277,26,-0.177,1.8884,-0.5748,5.8402,10.9096,357.1833,P07_V1,H1,26
2278,27,-0.1743,1.8886,-0.5768,5.5095,10.5788,357.0207,P07_V1,H1,27
2279,28,-0.169,1.8892,-0.5808,5.0628,10.2976,356.8204,P07_V1,H1,28
2280,29,-0.1666,1.8893,-0.5827,4.7222,10.1105,356.629,P07_V1,H1,29
2281,30,-0.1616,1.8899,-0.5863,4.1806,9.702,356.5029,P07_V1,H1,30
2282,31,-0.1592,1.8903,-0.588,4.056,9.5944,356.4951,P07_V1,H1,31
2283,32,-0.1554,1.8908,-0.591,3.8145,9.2399,356.3615,P07_V1,H1,32
2284,33,-0.1534,1.8908,-0.5923,3.7472,9.1476,356.2436,P07_V1,H1,33
2285,34,-0.149,1.891,-0.5952,3.3755,8.886,356.0341,P07_V1,H1,34
2286,35,-0.1449,1.8913,-0.5976,2.9388,8.7201,355.8505,P07_V1,H1,35
2287,36,-0.1427,1.8917,-0.599,2.582,8.6217,355.6891,P07_V1,H1,36
2288,37,-0.1395,1.8919,-0.6009,2.2441,8.4371,355.3826,P07_V1,H1,37
2289,38,-0.1374,1.892,-0.6021,2.1081,8.3448,355.1602,P07_V1,H1,38
2290,39,-0.1343,1.8924,-0.6034,1.969,8.17,354.9204,P07_V1,H1,39
2291,40,-0.1315,1.893,-0.6044,1.6889,8.0656,354.686,P07_V1,H1,40
2292,41,-0.1306,1.8931,-0.6046,1.6903,8.0187,354.6596,P07_V1,H1,41
2293,42,-0.1278,1.8936,-0.6046,1.4155,7.8714,354.4343,P07_V1,H1,42
2294,43,-0.1268,1.8938,-0.6045,1.2274,7.7725,354.4374,P07_V1,H1,43
2295,44,-0.1248,1.8941,-0.6032,1.0516,7.6215,354.2956,P07_V1,H1,44
2296,45,-0.1234,1.8946,-0.6014,0.9815,7.4199,354.2091,P07_V1,H1,45
2297,46,-0.123,1.8949,-0.6004,0.9059,7.3408,354.2039,P07_V1,H1,46
2298,47,-0.1224,1.8956,-0.5969,0.708,6.8913,354.1965,P07_V1,H1,47
2299,48,-0.1226,1.8956,-0.5953,0.6642,6.7735,354.2009,P07_V1,H1,48
2300,49,-0.1235,1.8961,-0.5906,0.4276,6.4084,354.1815,P07_V1,H1,49
