,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
1706,1,-0.1704,1.7103,-0.6209,8.9774,11.0492,359.2685,P05_V1,H4,1
1707,2,-0.1707,1.7114,-0.6218,8.423,11.214,359.3291,P05_V1,H4,2
1708,3,-0.1709,1.7125,-0.6225,7.8716,11.4877,359.4915,P05_V1,H4,3
1709,4,-0.1708,1.7134,-0.623,7.416,11.5896,359.6442,P05_V1,H4,4
1710,5,-0.1708,1.7139,-0.6234,6.9331,11.7495,359.6637,P05_V1,H4,5
1711,6,-0.1705,1.7146,-0.6241,6.4475,12.0269,359.7449,P05_V1,H4,6
1712,7,-0.1704,1.715,-0.6243,6.1486,12.2631,359.7244,P05_V1,H4,7
1713,8,-0.1698,1.7156,-0.625,5.5485,12.5186,359.6939,P05_V1,H4,8
1714,9,-0.1693,1.7156,-0.6257,5.2932,12.4449,359.5676,P05_V1,H4,9
1715,10,-0.1693,1.7156,-0.6259,5.2822,12.5205,359.4831,P05_V1,H4,10
1716,11,-0.1687,1.7153,-0.6264,5.175,12.3554,359.4164,P05_V1,H4,11
1717,12,-0.1683,1.7152,-0.6267,5.1187,12.223,359.3631,P05_V1,H4,12
1718,13,-0.1668,1.7147,-0.6275,5.0651,11.8181,359.2674,P05_V1,H4,13
1719,14,-0.1662,1.7144,-0.6278,5.0393,11.61,359.2119,P05_V1,H4,14
1720,15,-0.164,1.7136,-0.6284,5.0228,10.9191,358.9904,P05_V1,H4,15
1721,16,-0.1617,1.7129,-0.6289,5.0333,10.1944,358.8721,P05_V1,H4,16
1722,17,-0.1611,1.7127,-0.6289,5.0006,10.0199,358.7399,P05_V1,H4,17
1723,18,-0.1598,1.7123,-0.6292,4.9437,9.6599,358.7444,P05_V1,H4,18
1724,19,-0.1579,1.7118,-0.6295,4.8086,9.1231,358.7403,P05_V1,H4,19
1725,20,-0.1566,1.7115,-0.6298,4.7447,8.7894,358.6563,P05_V1,H4,20
1726,21,-0.155,1.7113,-0.63,4.6823,8.506,358.538,P05_V1,H4,21
1727,22,-0.1536,1.7109,-0.6301,4.7547,8.3077,358.5682,P05_V1,H4,22
1728,23,-0.1513,1.7097,-0.6301,5.1404,8.1809,358.6467,P05_V1,H4,23
1729,24,-0.1484,1.7081,-0.6299,5.9103,7.9734,358.6422,P05_V1,H4,24
1730,25,-0.1452,1.7045,-0.6289,7.9895,7.75,358.3408,P05_V1,H4,25
1731,26,-0.1425,1.6999,-0.6279,11.0677,7.5906,358.4254,P05_V1,H4,26
1732,27,-0.1409,1.6972,-0.627,12.712,7.557,358.4806,P05_V1,H4,27
1733,28,-0.1375,1.6921,-0.6247,16.3742,7.6541,358.3767,P05_V1,H4,28
1734,29,-0.136,1.69,-0.6232,17.4925,7.8054,358.1846,P05_V1,H4,29
1735,30,-0.1334,1.6864,-0.6196,19.1062,7.6024,357.6817,P05_V1,H4,30
1736,31,-0.1324,1.6849,-0.6182,20.1069,7.4178,357.7786,P05_V1,H4,31
1737,32,-0.1307,1.6832,-0.6157,21.0276,6.9279,358.1742,P05_V1,H4,32
1738,33,-0.1301,1.6831,-0.6149,21.3152,6.6336,358.3056,P05_V1,H4,33
1739,34,-0.129,1.6821,-0.6133,22.1367,6.372,358.5297,P05_V1,H4,34
1740,35,-0.1285,1.6817,-0.6127,22.5537,6.172,358.7889,P05_V1,H4,35
1741,36,-0.1278,1.6812,-0.6109,23.2588,5.8054,358.5414,P05_V1,H4,36
1742,37,-0.1278,1.6811,-0.6095,23.2372,5.4658,358.271,P05_V1,H4,37
1743,38,-0.1275,1.6806,-0.6071,23.885,4.7365,358.1593,P05_V1,H4,38
1744,39,-0.1276,1.68,-0.6057,24.1977,4.5876,358.2267,P05_V1,H4,39
1745,40,-0.1272,1.6791,-0.6029,25.1351,3.9613,357.8638,P05_V1,H4,40
1746,41,-0.1271,1.6786,-0.6013,25.8845,3.7538,357.6766,P05_V1,H4,41
1747,42,-0.1267,1.6775,-0.5983,27.0443,3.3904,357.4008,P05_V1,H4,42
1748,43,-0.1263,1.6765,-0.5948,28.2248,2.7962,357.0245,P05_V1,H4,43
1749,44,-0.1263,1.6759,-0.593,28.7633,2.669,357.0074,P05_V1,H4,44
1750,45,-0.1258,1.6749,-0.5895,29.8843,2.6693,356.9152,P05_V1,H4,45
1751,46,-0.1252,1.6746,-0.5878,30.4184,2.6007,356.8949,P05_V1,H4,46
1752,47,-0.1242,1.6741,-0.5843,31.0847,2.7744,356.73,P05_V1,H4,47
1753,48,-0.1237,1.6738,-0.5828,31.681,2.9148,356.7232,P05_V1,H4,48
1754,49,-0.123,1.6726,-0.5803,32.5939,3.292,356.4735,P05_V1,H4,49
