,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
0,1,0.05,1.7868,-1.0947,6.9163,350.8206,359.9912,P01_V1,H1,1
1,2,0.0498,1.7871,-1.0951,6.9116,351.1272,0.0094,P01_V1,H1,2
2,3,0.0498,1.7872,-1.0955,6.8915,351.3081,0.0221,P01_V1,H1,3
3,4,0.0498,1.787,-1.0961,6.9375,351.5385,359.9731,P01_V1,H1,4
4,5,0.0497,1.7865,-1.0969,7.1456,351.7421,359.8803,P01_V1,H1,5
5,6,0.0497,1.7859,-1.0978,7.4949,352.0079,359.7759,P01_V1,H1,6
6,7,0.0497,1.7856,-1.0985,7.7919,352.2592,359.6596,P01_V1,H1,7
7,8,0.0499,1.7854,-1.0994,7.9643,352.6494,359.5823,P01_V1,H1,8
8,9,0.0503,1.7854,-1.1012,8.0204,353.4785,359.483,P01_V1,H1,9
9,10,0.0507,1.7854,-1.1017,7.9762,354.0697,359.4836,P01_V1,H1,10
10,11,0.0509,1.7853,-1.1023,7.9384,354.4638,359.4601,P01_V1,H1,11
11,12,0.0513,1.785,-1.1033,8.0358,355.2939,359.5251,P01_V1,H1,12
12,13,0.0516,1.7848,-1.1044,8.1985,356.0902,359.6234,P01_V1,H1,13
13,14,0.0519,1.7847,-1.105,8.2689,356.4002,359.6369,P01_V1,H1,14
14,15,0.0523,1.7846,-1.1058,8.4128,357.0914,359.7309,P01_V1,H1,15
15,16,0.0526,1.7846,-1.1064,8.3867,357.4137,359.6144,P01_V1,H1,16
16,17,0.0528,1.7848,-1.1066,8.4217,357.5842,359.6322,P01_V1,H1,17
17,18,0.0531,1.7849,-1.1069,8.3096,357.8822,359.4953,P01_V1,H1,18
18,19,0.0535,1.7849,-1.107,8.3279,357.9981,359.4037,P01_V1,H1,19
19,20,0.0536,1.7848,-1.107,8.3049,358.0811,359.3705,P01_V1,H1,20
20,21,0.054,1.7844,-1.1073,8.463,358.3727,359.2001,P01_V1,H1,21
21,22,0.0543,1.7841,-1.1073,8.5759,358.4818,359.1973,P01_V1,H1,22
22,23,0.0548,1.7837,-1.1071,8.8444,358.7077,359.1118,P01_V1,H1,23
23,24,0.0554,1.7831,-1.1069,9.3004,358.9841,358.9865,P01_V1,H1,24
24,25,0.0557,1.7828,-1.1066,9.4422,359.0381,358.9193,P01_V1,H1,25
25,26,0.0566,1.782,-1.1061,10.0458,359.1685,358.9653,P01_V1,H1,26
26,27,0.0574,1.7807,-1.1051,10.8093,359.2333,358.8598,P01_V1,H1,27
27,28,0.0576,1.7801,-1.1045,11.2923,359.289,358.8927,P01_V1,H1,28
28,29,0.058,1.779,-1.1034,11.909,359.1183,358.7503,P01_V1,H1,29
29,30,0.0584,1.778,-1.1023,12.4817,359.0073,358.6636,P01_V1,H1,30
30,31,0.0587,1.7773,-1.1013,13.0987,358.8602,358.6914,P01_V1,H1,31
31,32,0.0592,1.776,-1.0996,13.933,358.7233,358.518,P01_V1,H1,32
32,33,0.0595,1.7754,-1.0987,14.4581,358.6239,358.3633,P01_V1,H1,33
