,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
874,1,0.3695,1.9237,-0.3831,29.6293,357.4539,353.9985,P03_V1,H4,1
875,2,0.3744,1.9229,-0.3761,30.1391,356.9246,353.7218,P03_V1,H4,2
876,3,0.3791,1.9225,-0.3693,30.3139,356.1978,353.5598,P03_V1,H4,3
877,4,0.3842,1.9226,-0.3606,30.1881,354.8177,352.9012,P03_V1,H4,4
878,5,0.3876,1.9224,-0.352,29.7014,352.841,352.1698,P03_V1,H4,5
879,6,0.3892,1.9218,-0.3479,29.7019,351.8262,351.9421,P03_V1,H4,6
880,7,0.393,1.9212,-0.3399,29.9153,350.4099,351.7623,P03_V1,H4,7
881,8,0.396,1.9209,-0.3344,29.7963,349.606,351.6444,P03_V1,H4,8
882,9,0.4001,1.9216,-0.3271,29.6125,348.7512,351.9528,P03_V1,H4,9
883,10,0.4025,1.923,-0.3196,28.6032,345.6066,351.7809,P03_V1,H4,10
884,11,0.4039,1.9237,-0.3159,28.4756,344.03,351.6436,P03_V1,H4,11
885,12,0.4081,1.9245,-0.3084,28.336,342.0824,351.5637,P03_V1,H4,12
886,13,0.4145,1.9237,-0.3006,28.2742,340.3228,351.7147,P03_V1,H4,13
887,14,0.4177,1.9235,-0.2969,28.3441,339.272,351.3537,P03_V1,H4,14
888,15,0.4261,1.9235,-0.2895,27.8776,336.8508,350.8416,P03_V1,H4,15
889,16,0.4358,1.9238,-0.2821,27.1084,334.7611,351.7352,P03_V1,H4,16
890,17,0.4412,1.9236,-0.2785,26.9094,333.6511,351.9802,P03_V1,H4,17
891,18,0.4481,1.9227,-0.2752,27.0549,332.5392,351.9351,P03_V1,H4,18
892,19,0.462,1.9214,-0.2684,27.2822,330.4428,352.3819,P03_V1,H4,19
893,20,0.4704,1.9201,-0.2643,27.4248,329.8261,352.9954,P03_V1,H4,20
894,21,0.4871,1.9166,-0.2574,28.3148,328.4508,353.5019,P03_V1,H4,21
895,22,0.4965,1.9148,-0.2534,29.0011,328.0002,353.7931,P03_V1,H4,22
896,23,0.5145,1.9122,-0.2454,29.4584,327.4107,354.7388,P03_V1,H4,23
897,24,0.5242,1.9105,-0.2413,29.8676,327.3256,355.1569,P03_V1,H4,24
898,25,0.5431,1.9078,-0.2344,31.0587,326.8195,355.5989,P03_V1,H4,25
899,26,0.5613,1.905,-0.2285,31.164,326.191,355.8262,P03_V1,H4,26
900,27,0.5704,1.9035,-0.2256,31.3439,325.5872,355.9304,P03_V1,H4,27
901,28,0.5871,1.899,-0.2205,32.0594,323.6538,354.8895,P03_V1,H4,28
902,29,0.5955,1.8968,-0.2189,32.622,322.5806,354.2505,P03_V1,H4,29
903,30,0.6104,1.8925,-0.2169,33.6235,320.1477,352.6186,P03_V1,H4,30
904,31,0.6177,1.8909,-0.2161,33.9893,319.0305,351.7466,P03_V1,H4,31
905,32,0.6316,1.8899,-0.2144,34.4715,318.3951,351.2616,P03_V1,H4,32
906,33,0.6384,1.8896,-0.2143,34.7684,318.0591,351.6171,P03_V1,H4,33
907,34,0.6504,1.8884,-0.2136,34.8448,317.7872,352.2252,P03_V1,H4,34
908,35,0.6555,1.8873,-0.2135,35.3404,317.5454,352.296,P03_V1,H4,35
909,36,0.6659,1.8846,-0.2153,36.5326,316.7528,352.3725,P03_V1,H4,36
910,37,0.6702,1.8843,-0.2159,36.9367,316.5605,352.7242,P03_V1,H4,37
911,38,0.6798,1.8839,-0.2185,37.5828,316.4162,353.1346,P03_V1,H4,38
912,39,0.684,1.8843,-0.2201,37.5874,316.4291,353.3413,P03_V1,H4,39
913,40,0.6929,1.8848,-0.2235,37.3586,315.8868,353.6667,P03_V1,H4,40
914,41,0.697,1.885,-0.2251,37.5594,315.523,353.6181,P03_V1,H4,41
915,42,0.7056,1.8857,-0.2294,37.8611,314.8367,353.9068,P03_V1,H4,42
916,43,0.7097,1.8867,-0.231,37.6326,314.4536,353.7987,P03_V1,H4,43
917,44,0.7182,1.8876,-0.2353,37.0473,314.1346,353.8147,P03_V1,H4,44
918,45,0.7253,1.8883,-0.2389,35.9935,313.5222,353.6697,P03_V1,H4,45
919,46,0.7291,1.8881,-0.2411,35.8469,313.2956,353.6854,P03_V1,H4,46
920,47,0.736,1.8866,-0.2448,35.7113,312.7469,353.1181,P03_V1,H4,47
921,48,0.7395,1.8863,-0.2468,35.4496,312.662,353.1996,P03_V1,H4,48
922,49,0.7452,1.8862,-0.2496,34.0631,312.707,353.4587,P03_V1,H4,49
923,50,0.7481,1.8864,-0.2513,33.6908,312.8479,353.8698,P03_V1,H4,50
924,51,0.7525,1.8888,-0.2541,33.8086,312.4958,353.217,P03_V1,H4,51
925,52,0.7545,1.89,-0.2555,33.3553,312.6739,353.7208,P03_V1,H4,52
926,53,0.7579,1.8922,-0.2577,32.261,312.4187,353.6656,P03_V1,H4,53
927,54,0.7593,1.8929,-0.2587,32.2643,312.5587,353.9008,P03_V1,H4,54
928,55,0.7622,1.8937,-0.2611,31.7386,312.8129,354.7148,P03_V1,H4,55
929,56,0.7631,1.894,-0.2616,31.5435,312.7793,355.0715,P03_V1,H4,56
930,57,0.7653,1.8946,-0.2635,31.0061,312.3678,355.3643,P03_V1,H4,57
931,58,0.7659,1.895,-0.2635,30.7238,311.8151,355.2021,P03_V1,H4,58
932,59,0.7674,1.8957,-0.2642,30.154,310.9818,354.7502,P03_V1,H4,59
933,60,0.7678,1.8957,-0.2642,29.9782,310.7246,354.805,P03_V1,H4,60
934,61,0.769,1.8962,-0.2645,29.8147,310.2776,354.6224,P03_V1,H4,61
935,62,0.7696,1.8967,-0.2643,29.6706,310.2357,354.651,P03_V1,H4,62
936,63,0.7706,1.8977,-0.2644,29.2965,310.1209,354.782,P03_V1,H4,63
937,64,0.7712,1.8983,-0.2638,28.9676,310.1091,354.812,P03_V1,H4,64
938,65,0.7714,1.8983,-0.2635,28.9266,310.0524,354.7844,P03_V1,H4,65
939,66,0.7719,1.8985,-0.263,28.9851,309.8762,354.7105,P03_V1,H4,66
940,67,0.7721,1.8988,-0.2628,28.8596,309.7461,354.7176,P03_V1,H4,67
941,68,0.7723,1.899,-0.2622,28.673,309.3356,354.5804,P03_V1,H4,68
942,69,0.7722,1.8991,-0.262,28.6913,309.3045,354.6303,P03_V1,H4,69
943,70,0.7723,1.8995,-0.261,28.3809,308.9077,354.5439,P03_V1,H4,70
944,71,0.7722,1.8996,-0.2607,28.2418,308.8665,354.5808,P03_V1,H4,71
945,72,0.7719,1.9009,-0.2597,27.2612,308.4636,354.4105,P03_V1,H4,72
946,73,0.7718,1.9016,-0.2592,26.8266,308.3139,354.3206,P03_V1,H4,73
947,74,0.7707,1.9052,-0.2572,24.0821,308.5008,353.9751,P03_V1,H4,74
948,75,0.7704,1.9099,-0.2552,20.5364,309.0058,353.4666,P03_V1,H4,75
949,76,0.7722,1.915,-0.2542,18.6487,309.6352,353.6316,P03_V1,H4,76
950,77,0.7731,1.9164,-0.2539,18.6317,309.5252,353.8078,P03_V1,H4,77
951,78,0.7734,1.919,-0.2529,17.7354,309.5479,354.3835,P03_V1,H4,78
952,79,0.7733,1.9191,-0.2523,18.2123,309.1025,354.8687,P03_V1,H4,79
953,80,0.7735,1.9196,-0.251,18.6624,308.1891,355.0894,P03_V1,H4,80
954,81,0.774,1.9203,-0.2486,18.5026,307.3992,355.0239,P03_V1,H4,81
955,82,0.7744,1.9206,-0.2471,18.5587,307.1156,355.0314,P03_V1,H4,82
956,83,0.7752,1.9215,-0.242,17.7261,306.7033,354.4764,P03_V1,H4,83
957,84,0.7755,1.9217,-0.2403,17.7557,306.6971,354.2205,P03_V1,H4,84
958,85,0.7766,1.9244,-0.2339,17.4455,306.6827,353.8437,P03_V1,H4,85
959,86,0.7775,1.9266,-0.2282,16.6055,306.899,353.3724,P03_V1,H4,86
960,87,0.7786,1.9277,-0.2195,15.8888,307.0453,353.0459,P03_V1,H4,87
961,88,0.7788,1.9279,-0.2149,15.6649,307.1044,352.8759,P03_V1,H4,88
962,89,0.779,1.9291,-0.2048,14.935,307.0443,352.2399,P03_V1,H4,89
963,90,0.779,1.9291,-0.1992,14.2982,306.7878,352.0328,P03_V1,H4,90
964,91,0.7793,1.93,-0.1881,13.5169,306.3778,351.1796,P03_V1,H4,91
965,92,0.7793,1.9306,-0.1816,13.2672,306.1073,350.8047,P03_V1,H4,92
