,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
2614,1,-0.0798,1.7396,-1.0712,353.5981,5.996,358.4815,P08_V1,H1,1
2615,2,-0.0742,1.7383,-1.0715,353.3852,5.7968,358.8242,P08_V1,H1,2
2616,3,-0.0701,1.7373,-1.0717,353.2731,5.7048,359.0366,P08_V1,H1,3
2617,4,-0.0648,1.7359,-1.0716,352.97,5.5465,359.2451,P08_V1,H1,4
2618,5,-0.061,1.7348,-1.0712,352.6216,5.4385,359.3386,P08_V1,H1,5
2619,6,-0.0575,1.7338,-1.0707,352.3642,5.3058,359.3179,P08_V1,H1,6
2620,7,-0.0545,1.733,-1.0699,352.1946,5.1368,359.2969,P08_V1,H1,7
2621,8,-0.0526,1.7324,-1.0691,352.1153,5.0733,359.2643,P08_V1,H1,8
2622,9,-0.0492,1.7316,-1.0674,352.2672,4.8159,359.149,P08_V1,H1,9
2623,10,-0.0456,1.731,-1.065,352.8166,4.606,359.0463,P08_V1,H1,10
2624,11,-0.0438,1.7306,-1.0635,353.2788,4.4918,359.0438,P08_V1,H1,11
2625,12,-0.0412,1.7298,-1.0607,354.3269,4.1739,359.2902,P08_V1,H1,12
2626,13,-0.0404,1.7295,-1.0597,354.7254,4.0569,359.3523,P08_V1,H1,13
2627,14,-0.039,1.7289,-1.0574,355.2882,3.5396,359.568,P08_V1,H1,14
2628,15,-0.0384,1.7288,-1.0563,355.6501,3.3545,359.6584,P08_V1,H1,15
2629,16,-0.0379,1.7286,-1.055,355.9357,3.048,359.6041,P08_V1,H1,16
2630,17,-0.0372,1.7281,-1.0523,356.7697,2.6568,359.357,P08_V1,H1,17
2631,18,-0.0368,1.7279,-1.0496,357.4881,2.4609,359.1046,P08_V1,H1,18
2632,19,-0.037,1.7278,-1.0485,357.6106,2.4327,358.8393,P08_V1,H1,19
2633,20,-0.0375,1.7279,-1.0467,357.7583,2.3241,358.589,P08_V1,H1,20
2634,21,-0.038,1.7279,-1.0459,357.7547,2.333,358.4859,P08_V1,H1,21
2635,22,-0.04,1.728,-1.043,358.1486,2.2438,357.8474,P08_V1,H1,22
2636,23,-0.0413,1.7281,-1.0419,358.3885,2.3321,357.5581,P08_V1,H1,23
2637,24,-0.0443,1.7281,-1.0402,358.576,2.444,357.1086,P08_V1,H1,24
2638,25,-0.0457,1.7284,-1.0397,358.6713,2.5068,357.02,P08_V1,H1,25
2639,26,-0.0517,1.7295,-1.0384,359.0061,3.1123,356.335,P08_V1,H1,26
2640,27,-0.0573,1.7305,-1.0381,359.034,3.6997,356.1161,P08_V1,H1,27
2641,28,-0.0609,1.7312,-1.038,359.048,4.1239,356.0231,P08_V1,H1,28
2642,29,-0.0682,1.7326,-1.038,358.8181,4.5692,355.8547,P08_V1,H1,29
2643,30,-0.0718,1.7331,-1.0379,358.7092,4.7316,355.7207,P08_V1,H1,30
2644,31,-0.0756,1.7335,-1.0381,358.5966,4.7707,355.6737,P08_V1,H1,31
2645,32,-0.0822,1.7343,-1.0382,358.5196,4.7878,355.3752,P08_V1,H1,32
2646,33,-0.0916,1.7348,-1.0382,358.3541,5.0421,355.1971,P08_V1,H1,33
2647,34,-0.0974,1.735,-1.0382,358.2426,5.2229,355.0214,P08_V1,H1,34
2648,35,-0.1054,1.7352,-1.0386,358.1231,5.495,354.9301,P08_V1,H1,35
2649,36,-0.1124,1.7352,-1.0389,357.9358,5.8049,354.7933,P08_V1,H1,36
2650,37,-0.1222,1.7351,-1.0401,358.164,6.3177,354.6288,P08_V1,H1,37
2651,38,-0.1273,1.7349,-1.0412,358.2848,6.5545,354.6705,P08_V1,H1,38
2652,39,-0.1364,1.7345,-1.0435,358.478,6.9296,354.6277,P08_V1,H1,39
2653,40,-0.1463,1.7343,-1.0472,358.8604,7.1085,354.7,P08_V1,H1,40
2654,41,-0.1471,1.7343,-1.0479,358.8997,7.0982,354.7847,P08_V1,H1,41
2655,42,-0.157,1.7345,-1.0522,359.1482,7.1697,354.7647,P08_V1,H1,42
2656,43,-0.1667,1.7351,-1.0573,359.2983,7.1912,354.9003,P08_V1,H1,43
2657,44,-0.1702,1.7353,-1.0594,359.2684,7.2338,354.935,P08_V1,H1,44
2658,45,-0.18,1.7357,-1.0654,359.1578,7.2744,355.2466,P08_V1,H1,45
2659,46,-0.1888,1.7352,-1.0714,359.8077,7.4159,355.3025,P08_V1,H1,46
2660,47,-0.1926,1.7346,-1.074,0.206,7.5715,355.3139,P08_V1,H1,47
2661,48,-0.196,1.7334,-1.0765,1.2132,7.8121,355.0695,P08_V1,H1,48
2662,49,-0.2023,1.7313,-1.0809,3.4887,8.3283,354.7573,P08_V1,H1,49
2663,50,-0.205,1.73,-1.0826,4.8994,8.5276,354.4665,P08_V1,H1,50
2664,51,-0.2104,1.7274,-1.0856,7.0631,9.2584,354.0926,P08_V1,H1,51
2665,52,-0.2152,1.7252,-1.0873,7.408,9.8755,353.7633,P08_V1,H1,52
2666,53,-0.2173,1.7239,-1.0882,7.6597,9.9528,353.4491,P08_V1,H1,53
2667,54,-0.2218,1.7212,-1.0906,8.8597,10.2725,353.1105,P08_V1,H1,54
2668,55,-0.2237,1.7201,-1.0921,9.345,10.3066,353.1661,P08_V1,H1,55
2669,56,-0.2276,1.7187,-1.0955,10.359,10.4919,353.0262,P08_V1,H1,56
2670,57,-0.2295,1.7187,-1.0976,10.8379,10.6,352.9842,P08_V1,H1,57
2671,58,-0.2323,1.7187,-1.1014,10.9033,10.6361,353.0188,P08_V1,H1,58
2672,59,-0.2328,1.7191,-1.1026,10.7016,10.5862,353.0196,P08_V1,H1,59
2673,60,-0.234,1.7191,-1.1045,10.626,10.5189,353.0228,P08_V1,H1,60
2674,61,-0.2355,1.719,-1.1067,10.6598,10.4368,352.9198,P08_V1,H1,61
2675,62,-0.2378,1.7188,-1.1104,10.7854,10.2935,352.7407,P08_V1,H1,62
2676,63,-0.2394,1.7186,-1.1135,10.8255,10.0896,352.6073,P08_V1,H1,63
2677,64,-0.24,1.7186,-1.1149,10.8045,9.9499,352.5459,P08_V1,H1,64
2678,65,-0.2411,1.7186,-1.1182,10.7762,9.5924,352.3308,P08_V1,H1,65
2679,66,-0.2414,1.7186,-1.1192,10.7383,9.5075,352.2926,P08_V1,H1,66
2680,67,-0.2417,1.7199,-1.1232,9.8183,9.1153,351.9129,P08_V1,H1,67
2681,68,-0.2415,1.7209,-1.1247,8.8287,8.9856,351.8633,P08_V1,H1,68
2682,69,-0.2409,1.7247,-1.1266,5.8213,9.0336,351.7045,P08_V1,H1,69
2683,70,-0.2403,1.7263,-1.1278,4.6611,8.925,351.8354,P08_V1,H1,70
2684,71,-0.2393,1.729,-1.13,2.7687,9.0449,352.2444,P08_V1,H1,71
2685,72,-0.2388,1.73,-1.1309,2.0218,9.1314,352.3943,P08_V1,H1,72
2686,73,-0.2372,1.7315,-1.1323,0.8482,9.0761,352.6307,P08_V1,H1,73
2687,74,-0.2361,1.7321,-1.1327,0.4015,9.0848,352.6921,P08_V1,H1,74
2688,75,-0.2339,1.7326,-1.1328,0.1208,9.2563,352.7903,P08_V1,H1,75
2689,76,-0.233,1.7325,-1.1326,0.0752,9.2863,352.7617,P08_V1,H1,76
2690,77,-0.2327,1.7317,-1.1325,0.7719,9.2999,352.6892,P08_V1,H1,77
2691,78,-0.2298,1.7314,-1.1314,1.3323,9.4263,352.6861,P08_V1,H1,78
2692,79,-0.2255,1.7295,-1.1286,3.2386,9.6644,352.9515,P08_V1,H1,79
2693,80,-0.2235,1.7277,-1.1268,4.4784,9.5182,353.067,P08_V1,H1,80
2694,81,-0.2197,1.7241,-1.123,7.286,9.3791,353.276,P08_V1,H1,81
2695,82,-0.2175,1.7218,-1.1207,8.6209,9.4426,353.465,P08_V1,H1,82
2696,83,-0.2129,1.7187,-1.1166,10.6138,9.3179,353.5577,P08_V1,H1,83
2697,84,-0.2079,1.7166,-1.1129,12.1651,9.4092,353.7955,P08_V1,H1,84
2698,85,-0.2049,1.7159,-1.1114,12.7861,9.2972,353.97,P08_V1,H1,85
2699,86,-0.1991,1.7147,-1.1078,13.5068,9.4578,354.2412,P08_V1,H1,86
2700,87,-0.1959,1.7145,-1.1062,13.8012,9.5279,354.3302,P08_V1,H1,87
2701,88,-0.1891,1.7141,-1.1027,14.0573,9.7205,354.465,P08_V1,H1,88
2702,89,-0.182,1.714,-1.0992,14.0205,9.9571,354.7248,P08_V1,H1,89
2703,90,-0.1793,1.714,-1.0979,14.0098,10.005,354.7647,P08_V1,H1,90
2704,91,-0.1731,1.7142,-1.0949,14.0337,9.9945,354.7931,P08_V1,H1,91
2705,92,-0.1703,1.7143,-1.0934,14.0768,9.9891,354.7703,P08_V1,H1,92
2706,93,-0.1654,1.7143,-1.0908,14.0081,10.1593,354.883,P08_V1,H1,93
2707,94,-0.1571,1.7144,-1.0869,14.098,10.2357,354.8773,P08_V1,H1,94
2708,95,-0.1462,1.7157,-1.0813,13.2664,10.5268,354.7135,P08_V1,H1,95
2709,96,-0.1421,1.7165,-1.0792,12.5743,10.6163,354.6265,P08_V1,H1,96
2710,97,-0.1379,1.7175,-1.0774,11.5925,10.6886,354.6841,P08_V1,H1,97
2711,98,-0.13,1.7193,-1.0734,9.7699,10.8807,354.7184,P08_V1,H1,98
2712,99,-0.1261,1.7198,-1.0715,8.8613,10.9583,354.8214,P08_V1,H1,99
2713,100,-0.1183,1.7208,-1.0677,7.4319,11.0006,355.0724,P08_V1,H1,100
2714,101,-0.1108,1.721,-1.0643,6.668,10.9664,355.317,P08_V1,H1,101
2715,102,-0.1072,1.7212,-1.0627,6.3022,10.9376,355.4379,P08_V1,H1,102
2716,103,-0.0998,1.7214,-1.0603,6.0302,10.7072,355.6617,P08_V1,H1,103
2717,104,-0.0961,1.7214,-1.0591,5.6982,10.5799,355.6771,P08_V1,H1,104
2718,105,-0.0889,1.7223,-1.0576,5.1941,10.3067,355.8416,P08_V1,H1,105
2719,106,-0.0854,1.7229,-1.0569,4.8451,10.1959,355.8029,P08_V1,H1,106
2720,107,-0.0786,1.7241,-1.0561,3.7444,10.157,355.8527,P08_V1,H1,107
2721,108,-0.0719,1.726,-1.0555,2.5691,10.0486,355.796,P08_V1,H1,108
2722,109,-0.0688,1.7267,-1.0554,2.2442,10.0769,355.8595,P08_V1,H1,109
2723,110,-0.063,1.7275,-1.0549,1.584,10.0972,355.8458,P08_V1,H1,110
2724,111,-0.0604,1.7278,-1.0547,1.3525,10.137,355.7849,P08_V1,H1,111
2725,112,-0.0551,1.7282,-1.0543,0.9874,10.0748,355.5736,P08_V1,H1,112
2726,113,-0.054,1.7281,-1.0544,1.0388,10.1003,355.6571,P08_V1,H1,113
2727,114,-0.0501,1.7273,-1.0546,0.8309,10.0043,355.5191,P08_V1,H1,114
2728,115,-0.0496,1.7271,-1.0547,0.8926,10.0429,355.4978,P08_V1,H1,115
2729,116,-0.0467,1.7265,-1.055,0.7877,9.905,355.2648,P08_V1,H1,116
2730,117,-0.0429,1.727,-1.0552,0.5086,9.7177,355.0096,P08_V1,H1,117
2731,118,-0.0403,1.7277,-1.0552,0.2212,9.6849,354.8169,P08_V1,H1,118
2732,119,-0.0375,1.7275,-1.055,0.0359,9.8902,354.4882,P08_V1,H1,119
2733,120,-0.0348,1.7263,-1.0546,0.3617,10.2541,354.1054,P08_V1,H1,120
2734,121,-0.0312,1.7236,-1.0544,1.7235,10.7331,354.2163,P08_V1,H1,121
2735,122,-0.0283,1.7215,-1.0548,3.4351,10.4611,354.7738,P08_V1,H1,122
2736,123,-0.0269,1.7209,-1.0549,3.6634,10.1953,354.6961,P08_V1,H1,123
2737,124,-0.0243,1.7203,-1.0555,4.1852,9.5845,354.1295,P08_V1,H1,124
2738,125,-0.0231,1.72,-1.0558,4.4642,9.4125,353.7479,P08_V1,H1,125
2739,126,-0.0207,1.7199,-1.0566,4.7143,9.3921,353.1675,P08_V1,H1,126
2740,127,-0.0201,1.72,-1.0569,4.7267,9.4,353.0793,P08_V1,H1,127
2741,128,-0.0189,1.7197,-1.0573,4.7008,9.5115,353.3201,P08_V1,H1,128
2742,129,-0.017,1.719,-1.0578,4.8809,9.5364,353.296,P08_V1,H1,129
2743,130,-0.0161,1.7187,-1.0582,5.0654,9.492,353.2097,P08_V1,H1,130
2744,131,-0.0146,1.7184,-1.0585,5.159,9.3646,353.1132,P08_V1,H1,131
2745,132,-0.0136,1.7182,-1.0588,5.3351,9.2085,352.9529,P08_V1,H1,132
2746,133,-0.0125,1.7177,-1.059,5.7495,9.1215,352.8809,P08_V1,H1,133
2747,134,-0.0109,1.7165,-1.0591,6.6024,8.9578,352.5428,P08_V1,H1,134
2748,135,-0.0102,1.7159,-1.0588,6.8584,9.026,352.541,P08_V1,H1,135
2749,136,-0.0091,1.7156,-1.0583,7.1115,9.1558,352.3523,P08_V1,H1,136
2750,137,-0.0073,1.7155,-1.0572,7.5332,9.5386,352.1447,P08_V1,H1,137
2751,138,-0.0068,1.7155,-1.0568,7.5358,9.6613,352.1144,P08_V1,H1,138
2752,139,-0.005,1.7159,-1.0545,7.9104,10.2378,352.217,P08_V1,H1,139
2753,140,-0.0044,1.716,-1.0532,7.9854,10.4396,352.3545,P08_V1,H1,140
2754,141,-0.0028,1.7159,-1.0478,7.9763,10.769,353.0236,P08_V1,H1,141
