,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
9888,1,0.0654,1.7296,-1.1495,4.2548,348.4369,356.651,P26_V1,H2,1
9889,2,0.0655,1.7303,-1.1497,3.5766,348.3188,357.0928,P26_V1,H2,2
9890,3,0.0652,1.7308,-1.1498,3.0226,348.3589,357.3939,P26_V1,H2,3
9891,4,0.0649,1.7314,-1.1495,2.5245,348.1635,357.4202,P26_V1,H2,4
9892,5,0.0644,1.7314,-1.1492,2.3421,347.9413,357.4645,P26_V1,H2,5
9893,6,0.0636,1.7317,-1.1485,2.2395,348.028,357.5037,P26_V1,H2,6
9894,7,0.0632,1.7316,-1.1482,2.7117,348.6808,357.1463,P26_V1,H2,7
9895,8,0.0644,1.7301,-1.1481,4.1507,349.4596,357.9011,P26_V1,H2,8
9896,9,0.0644,1.7296,-1.1478,4.7144,350.1896,357.9443,P26_V1,H2,9
9897,10,0.0643,1.7298,-1.1474,4.5349,350.1646,357.9707,P26_V1,H2,10
9898,11,0.0637,1.7303,-1.1472,4.167,350.0327,357.9996,P26_V1,H2,11
9899,12,0.0632,1.7306,-1.1473,3.9787,350.0698,358.0138,P26_V1,H2,12
9900,13,0.063,1.7303,-1.1476,4.041,350.7692,357.3206,P26_V1,H2,13
9901,14,0.0621,1.7305,-1.148,3.6203,351.2261,357.9357,P26_V1,H2,14
9902,15,0.0611,1.7308,-1.1487,3.3711,351.3304,359.0219,P26_V1,H2,15
9903,16,0.0598,1.7306,-1.1487,3.3302,350.9224,359.6387,P26_V1,H2,16
9904,17,0.0592,1.7299,-1.1486,3.8316,350.3521,358.9836,P26_V1,H2,17
9905,18,0.059,1.7294,-1.1487,4.2774,350.0401,358.5495,P26_V1,H2,18
9906,19,0.0589,1.7284,-1.1484,4.969,350.0211,358.4465,P26_V1,H2,19
9907,20,0.0592,1.7271,-1.1475,5.9258,350.013,358.3018,P26_V1,H2,20
