,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
1853,1,0.0786,1.8751,-0.9466,14.907,358.2476,359.0745,P06_V1,H2,1
1854,2,0.0777,1.8742,-0.9458,15.5008,358.2048,359.3511,P06_V1,H2,2
1855,3,0.0769,1.8727,-0.9452,16.1482,358.0977,359.834,P06_V1,H2,3
1856,4,0.0768,1.8717,-0.9452,16.3794,357.9771,0.2098,P06_V1,H2,4
1857,5,0.077,1.8706,-0.9453,16.8629,357.6232,0.6629,P06_V1,H2,5
1858,6,0.0778,1.8695,-0.9457,17.2942,357.1375,1.0921,P06_V1,H2,6
1859,7,0.0794,1.8686,-0.9466,17.8051,356.5279,1.3489,P06_V1,H2,7
1860,8,0.0839,1.8674,-0.9487,18.4147,355.4861,1.6237,P06_V1,H2,8
1861,9,0.0895,1.8672,-0.9509,18.4716,354.6816,1.6022,P06_V1,H2,9
1862,10,0.0928,1.8672,-0.952,18.5037,354.3281,1.6411,P06_V1,H2,10
1863,11,0.1041,1.8675,-0.9553,18.5255,353.3524,1.5495,P06_V1,H2,11
1864,12,0.1087,1.8676,-0.9563,18.3566,353.1005,1.6225,P06_V1,H2,12
1865,13,0.1099,1.8681,-0.9562,18.3418,353.1042,1.461,P06_V1,H2,13
1866,14,0.1245,1.8689,-0.9588,18.3807,352.2909,1.2813,P06_V1,H2,14
1867,15,0.136,1.8701,-0.9603,18.1378,352.019,1.1096,P06_V1,H2,15
1868,16,0.1418,1.871,-0.961,18.0789,351.8903,1.0531,P06_V1,H2,16
1869,17,0.1535,1.8727,-0.9621,18.0749,351.7536,1.0436,P06_V1,H2,17
1870,18,0.1591,1.8732,-0.9625,18.0724,351.6548,0.9779,P06_V1,H2,18
1871,19,0.1719,1.8739,-0.9633,18.2432,351.6912,0.8079,P06_V1,H2,19
1872,20,0.1774,1.8738,-0.9637,18.2908,351.6894,0.7945,P06_V1,H2,20
1873,21,0.1924,1.8739,-0.9649,18.5195,351.6079,0.5479,P06_V1,H2,21
1874,22,0.1976,1.8737,-0.9654,18.502,351.5922,0.5468,P06_V1,H2,22
1875,23,0.2118,1.8729,-0.967,19.1028,351.5929,0.3595,P06_V1,H2,23
1876,24,0.2183,1.8723,-0.968,19.3551,351.5319,0.2552,P06_V1,H2,24
1877,25,0.2311,1.8714,-0.9703,19.725,351.4882,0.2007,P06_V1,H2,25
1878,26,0.244,1.8709,-0.9725,20.0333,351.2374,359.9586,P06_V1,H2,26
1879,27,0.2504,1.8702,-0.9738,20.0632,351.231,359.9475,P06_V1,H2,27
1880,28,0.2631,1.8692,-0.9764,20.3775,350.8851,359.7712,P06_V1,H2,28
1881,29,0.2692,1.8686,-0.9777,20.6087,350.7673,359.677,P06_V1,H2,29
1882,30,0.2752,1.8679,-0.979,20.8156,350.3774,359.3072,P06_V1,H2,30
1883,31,0.2868,1.8659,-0.9814,21.4741,350.0128,359.0809,P06_V1,H2,31
1884,32,0.2923,1.865,-0.9826,21.8918,349.7372,358.8139,P06_V1,H2,32
1885,33,0.3027,1.8633,-0.985,22.6798,349.4328,358.6135,P06_V1,H2,33
1886,34,0.3076,1.8624,-0.9861,22.9679,349.1534,358.5102,P06_V1,H2,34
1887,35,0.3169,1.8611,-0.9885,23.5508,348.7261,358.2909,P06_V1,H2,35
1888,36,0.325,1.8597,-0.9907,23.9646,348.2635,358.0551,P06_V1,H2,36
1889,37,0.3288,1.859,-0.9917,24.1371,348.0597,358.0355,P06_V1,H2,37
1890,38,0.3354,1.8572,-0.9936,24.5533,347.7191,358.041,P06_V1,H2,38
1891,39,0.3385,1.8562,-0.9945,24.8071,347.5675,358.0099,P06_V1,H2,39
1892,40,0.3438,1.8548,-0.9963,25.1444,347.2349,357.8562,P06_V1,H2,40
1893,41,0.3461,1.8541,-0.9972,25.3518,347.1745,357.8798,P06_V1,H2,41
1894,42,0.3496,1.853,-0.9985,25.7587,347.0039,357.7913,P06_V1,H2,42
1895,43,0.3505,1.8526,-0.9991,25.8528,347.1873,357.8987,P06_V1,H2,43
1896,44,0.353,1.8518,-1.0001,26.0441,347.1305,357.8916,P06_V1,H2,44
1897,45,0.3556,1.8508,-1.0014,26.3159,347.2572,357.9827,P06_V1,H2,45
1898,46,0.3562,1.8506,-1.0016,26.3133,347.2284,357.9775,P06_V1,H2,46
1899,47,0.3573,1.8503,-1.0022,26.3754,347.2364,358.0641,P06_V1,H2,47
1900,48,0.3585,1.8497,-1.0028,26.4536,347.2982,358.1589,P06_V1,H2,48
1901,49,0.3591,1.8494,-1.0031,26.49,347.2949,358.219,P06_V1,H2,49
1902,50,0.3598,1.849,-1.0033,26.5171,347.2606,358.3076,P06_V1,H2,50
