,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
2157,1,0.3946,1.8709,-0.7531,17.6947,339.4599,357.931,P06_V1,H3,1
2158,2,0.3924,1.8708,-0.7532,17.6479,339.2863,358.1713,P06_V1,H3,2
2159,3,0.391,1.8707,-0.7533,17.6671,339.2466,358.3085,P06_V1,H3,3
2160,4,0.39,1.8707,-0.7534,17.6525,339.2827,358.4386,P06_V1,H3,4
2161,5,0.389,1.8707,-0.7535,17.666,339.4347,358.5107,P06_V1,H3,5
2162,6,0.3877,1.8707,-0.7539,17.6124,339.6757,358.6014,P06_V1,H3,6
2163,7,0.3865,1.8708,-0.7543,17.5873,340.0371,358.7271,P06_V1,H3,7
2164,8,0.385,1.8713,-0.7549,17.6187,340.494,358.7895,P06_V1,H3,8
2165,9,0.3837,1.8717,-0.7552,17.5664,340.7593,358.8452,P06_V1,H3,9
2166,10,0.3824,1.872,-0.7554,17.5495,340.9019,358.8705,P06_V1,H3,10
2167,11,0.3806,1.872,-0.7561,17.6476,341.0965,358.8664,P06_V1,H3,11
2168,12,0.3783,1.8713,-0.7578,17.9154,341.3027,358.7829,P06_V1,H3,12
2169,13,0.376,1.8699,-0.76,18.2787,341.6149,358.5429,P06_V1,H3,13
2170,14,0.3735,1.8683,-0.763,18.7999,342.0757,358.3923,P06_V1,H3,14
2171,15,0.3705,1.8676,-0.7671,19.4261,342.6592,358.1614,P06_V1,H3,15
2172,16,0.3671,1.8678,-0.7719,19.7809,343.1944,357.918,P06_V1,H3,16
2173,17,0.3632,1.8682,-0.7776,20.0558,343.8329,357.6728,P06_V1,H3,17
2174,18,0.3585,1.8689,-0.7841,19.9456,344.5547,357.5759,P06_V1,H3,18
2175,19,0.3531,1.87,-0.7911,19.6207,345.1767,357.5224,P06_V1,H3,19
2176,20,0.347,1.8708,-0.7983,19.2714,345.6709,357.5066,P06_V1,H3,20
2177,21,0.3402,1.871,-0.8055,19.0504,346.1907,357.5243,P06_V1,H3,21
2178,22,0.3329,1.8712,-0.8123,19.1746,346.7045,357.4411,P06_V1,H3,22
2179,23,0.3221,1.8715,-0.8212,19.3711,347.1323,357.0119,P06_V1,H3,23
2180,24,0.3134,1.8719,-0.8276,19.5596,347.434,356.5466,P06_V1,H3,24
2181,25,0.3043,1.8725,-0.8339,19.9494,347.6399,355.8995,P06_V1,H3,25
2182,26,0.2946,1.873,-0.8402,20.3611,347.9145,355.1928,P06_V1,H3,26
2183,27,0.2844,1.8731,-0.8466,20.8887,348.3058,354.66,P06_V1,H3,27
2184,28,0.2704,1.8717,-0.8551,21.6961,348.7442,353.976,P06_V1,H3,28
2185,29,0.2632,1.8706,-0.8593,22.1948,349.0207,353.6959,P06_V1,H3,29
2186,30,0.2484,1.8679,-0.8677,23.4597,349.5202,353.1198,P06_V1,H3,30
