,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
3903,1,0.124,1.6355,-1.1637,3.3957,354.7975,356.173,P12_V1,H1,1
3904,2,0.1216,1.6357,-1.1624,3.5958,354.0384,357.1684,P12_V1,H1,2
3905,3,0.1198,1.6358,-1.1615,3.8031,353.5004,357.8863,P12_V1,H1,3
3906,4,0.1172,1.636,-1.1603,4.0296,352.8726,358.8906,P12_V1,H1,4
3907,5,0.116,1.636,-1.1596,4.1002,352.5168,359.3878,P12_V1,H1,5
3908,6,0.1134,1.6361,-1.1584,4.3471,351.9783,0.4362,P12_V1,H1,6
3909,7,0.1111,1.6361,-1.1572,4.514,351.7779,1.5613,P12_V1,H1,7
3910,8,0.1096,1.6362,-1.1564,4.67,351.5674,2.3244,P12_V1,H1,8
3911,9,0.107,1.636,-1.1544,4.7163,351.715,3.6154,P12_V1,H1,9
3912,10,0.1066,1.636,-1.1536,4.7994,351.7736,3.8765,P12_V1,H1,10
3913,11,0.1059,1.6358,-1.1529,4.7797,351.8004,4.1874,P12_V1,H1,11
3914,12,0.1051,1.6357,-1.1517,4.9029,351.8352,4.5678,P12_V1,H1,12
3915,13,0.1044,1.6354,-1.1501,5.1302,351.8677,4.9767,P12_V1,H1,13
3916,14,0.1043,1.6353,-1.1495,5.1879,351.866,4.9823,P12_V1,H1,14
3917,15,0.1039,1.6352,-1.148,5.3786,351.9583,5.1028,P12_V1,H1,15
3918,16,0.1037,1.635,-1.1472,5.4304,352.1723,5.2425,P12_V1,H1,16
3919,17,0.1036,1.635,-1.1455,5.494,352.4363,5.4082,P12_V1,H1,17
3920,18,0.1036,1.635,-1.1445,5.5498,352.6304,5.6068,P12_V1,H1,18
3921,19,0.1037,1.635,-1.1429,5.6715,352.8794,5.7602,P12_V1,H1,19
3922,20,0.1038,1.635,-1.142,5.7097,353.016,5.8776,P12_V1,H1,20
3923,21,0.1042,1.6351,-1.1406,5.711,353.0697,5.9317,P12_V1,H1,21
3924,22,0.1044,1.6351,-1.1399,5.7575,353.1244,5.9569,P12_V1,H1,22
3925,23,0.105,1.6351,-1.138,5.8495,353.232,5.9374,P12_V1,H1,23
3926,24,0.1052,1.6351,-1.1373,5.8711,353.2546,5.927,P12_V1,H1,24
3927,25,0.106,1.6349,-1.1351,5.9926,353.3902,5.8529,P12_V1,H1,25
3928,26,0.107,1.6347,-1.133,6.1366,353.4787,5.6733,P12_V1,H1,26
3929,27,0.1079,1.6345,-1.1313,6.2795,353.6706,5.4316,P12_V1,H1,27
3930,28,0.108,1.6345,-1.1311,6.3016,353.6938,5.4156,P12_V1,H1,28
3931,29,0.109,1.6345,-1.1293,6.4134,353.8406,5.2394,P12_V1,H1,29
3932,30,0.1091,1.6345,-1.1292,6.4341,353.8593,5.2123,P12_V1,H1,30
3933,31,0.1097,1.6345,-1.1282,6.5301,353.9439,5.0676,P12_V1,H1,31
3934,33,0.1108,1.6346,-1.1268,6.62,354.0448,4.8532,P12_V1,H1,32
3935,34,0.1114,1.6345,-1.1262,6.6474,354.1377,4.7212,P12_V1,H1,33
3936,35,0.1118,1.6345,-1.1258,6.6873,354.2147,4.6328,P12_V1,H1,34
3937,36,0.1123,1.6345,-1.1252,6.7109,354.2887,4.4756,P12_V1,H1,35
3938,37,0.1126,1.6346,-1.1249,6.7366,354.2908,4.3738,P12_V1,H1,36
3939,38,0.113,1.6346,-1.1244,6.7844,354.2718,4.2273,P12_V1,H1,37
3940,39,0.1132,1.6346,-1.1241,6.7823,354.2414,4.2066,P12_V1,H1,38
3941,40,0.1134,1.6347,-1.1237,6.8302,354.1251,4.1418,P12_V1,H1,39
3942,41,0.1135,1.6349,-1.1233,6.8672,353.9809,4.0809,P12_V1,H1,40
3943,42,0.1137,1.6349,-1.123,6.8721,353.8822,4.0446,P12_V1,H1,41
3944,43,0.1138,1.6349,-1.1229,6.9032,353.842,4.0176,P12_V1,H1,42
3945,44,0.114,1.635,-1.1227,6.9543,353.8298,3.9718,P12_V1,H1,43
3946,45,0.1142,1.6349,-1.1226,7.0006,353.8255,3.8947,P12_V1,H1,44
3947,46,0.1147,1.6348,-1.1225,7.1409,353.9,3.7944,P12_V1,H1,45
3948,47,0.1148,1.6348,-1.1225,7.1214,353.8861,3.7762,P12_V1,H1,46
3949,48,0.1151,1.6345,-1.1226,7.2407,353.9395,3.5903,P12_V1,H1,47
3950,49,0.1152,1.6344,-1.1227,7.3066,353.9683,3.4967,P12_V1,H1,48
3951,50,0.1155,1.6342,-1.1229,7.428,354.0289,3.3639,P12_V1,H1,49
3952,51,0.1157,1.6341,-1.1233,7.5644,354.1521,3.2696,P12_V1,H1,50
3953,52,0.1158,1.634,-1.1236,7.6147,354.2084,3.2382,P12_V1,H1,51
3954,53,0.1159,1.634,-1.1239,7.4851,354.3908,3.0794,P12_V1,H1,52
3955,54,0.1158,1.6341,-1.1241,7.4699,354.4392,3.0331,P12_V1,H1,53
3956,55,0.1156,1.6339,-1.1245,7.531,354.5973,2.8627,P12_V1,H1,54
3957,56,0.1155,1.6338,-1.1246,7.5618,354.5732,2.8355,P12_V1,H1,55
3958,57,0.1151,1.6335,-1.1249,7.6186,354.6013,2.6807,P12_V1,H1,56
3959,58,0.1148,1.6333,-1.1251,7.7104,354.6195,2.5879,P12_V1,H1,57
3960,59,0.1143,1.633,-1.1255,7.8405,354.6562,2.3609,P12_V1,H1,58
3961,61,0.1134,1.6322,-1.1265,8.2775,354.7945,1.797,P12_V1,H1,59
3962,62,0.1128,1.6312,-1.1274,8.7814,354.9651,1.2046,P12_V1,H1,60
3963,63,0.1126,1.6307,-1.1278,9.0117,354.9663,0.96,P12_V1,H1,61
3964,64,0.1123,1.629,-1.1291,10.2233,355.1582,0.2097,P12_V1,H1,62
3965,65,0.1122,1.6283,-1.1297,10.9359,355.284,0.1505,P12_V1,H1,63
3966,66,0.112,1.6268,-1.1304,12.0912,355.4721,-0.0006,P12_V1,H1,64
3967,67,0.1117,1.6262,-1.1308,12.7293,355.5274,359.8377,P12_V1,H1,65
3968,68,0.1116,1.6251,-1.1312,13.545,355.9555,359.8275,P12_V1,H1,66
3969,69,0.1115,1.6248,-1.1314,13.9635,356.1876,359.7047,P12_V1,H1,67
3970,70,0.1119,1.6243,-1.1318,14.673,356.775,359.6296,P12_V1,H1,68
3971,71,0.112,1.6238,-1.1319,14.81,357.0982,359.633,P12_V1,H1,69
3972,72,0.1123,1.6235,-1.1323,15.1407,357.6611,359.8293,P12_V1,H1,70
3973,73,0.1125,1.6234,-1.1323,15.1837,357.7163,359.8972,P12_V1,H1,71
3974,74,0.1128,1.6233,-1.1326,15.3124,358.0636,359.8806,P12_V1,H1,72
3975,75,0.1131,1.6232,-1.1327,15.2984,358.1989,359.9867,P12_V1,H1,73
3976,77,0.114,1.6233,-1.1331,15.2886,358.6274,359.8489,P12_V1,H1,74
3977,78,0.1151,1.6233,-1.1337,15.2559,359.0311,359.6746,P12_V1,H1,75
3978,79,0.1152,1.6232,-1.1337,15.1981,359.092,359.6565,P12_V1,H1,76
3979,80,0.1159,1.6231,-1.1339,15.2293,359.2299,359.5093,P12_V1,H1,77
3980,81,0.1163,1.623,-1.134,15.2383,359.3446,359.4386,P12_V1,H1,78
3981,82,0.1169,1.6229,-1.1343,15.2822,359.5002,359.2887,P12_V1,H1,79
3982,83,0.1173,1.6228,-1.1345,15.2645,359.6427,359.1716,P12_V1,H1,80
3983,84,0.1177,1.6227,-1.1348,15.2806,359.7181,359.0377,P12_V1,H1,81
3984,85,0.1181,1.6226,-1.1349,15.2812,359.7743,358.9101,P12_V1,H1,82
3985,86,0.1184,1.6226,-1.1351,15.2661,359.8039,358.8018,P12_V1,H1,83
3986,87,0.1186,1.6224,-1.1353,15.2363,359.7733,358.6884,P12_V1,H1,84
3987,88,0.1186,1.6224,-1.1356,15.2489,359.7649,358.6222,P12_V1,H1,85
3988,89,0.1186,1.6224,-1.1357,15.2457,359.7306,358.5686,P12_V1,H1,86
3989,90,0.1185,1.6224,-1.1359,15.2181,359.6821,358.5358,P12_V1,H1,87
3990,91,0.1183,1.6224,-1.1361,15.1673,359.6251,358.5264,P12_V1,H1,88
3991,92,0.118,1.6225,-1.1364,15.1039,359.5571,358.5238,P12_V1,H1,89
3992,93,0.1177,1.6226,-1.1366,15.0181,359.4895,358.5591,P12_V1,H1,90
3993,94,0.1173,1.6228,-1.137,14.8937,359.459,358.6062,P12_V1,H1,91
3994,95,0.1169,1.6229,-1.1374,14.8112,359.449,358.6528,P12_V1,H1,92
3995,96,0.1165,1.6231,-1.1379,14.7611,359.4943,358.7281,P12_V1,H1,93
3996,97,0.1162,1.6232,-1.1383,14.7123,359.5367,358.7728,P12_V1,H1,94
3997,98,0.1158,1.6233,-1.1388,14.6789,359.6305,358.8426,P12_V1,H1,95
3998,99,0.1151,1.6234,-1.1394,14.656,359.7782,358.9151,P12_V1,H1,96
3999,100,0.1149,1.6234,-1.1397,14.6476,359.7916,358.9415,P12_V1,H1,97
4000,101,0.1141,1.6235,-1.1403,14.5989,359.8495,359.0362,P12_V1,H1,98
4001,102,0.1138,1.6235,-1.1406,14.5682,359.8715,359.0883,P12_V1,H1,99
4002,103,0.113,1.6237,-1.1413,14.5187,359.887,359.1769,P12_V1,H1,100
