,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
8659,0,1.398,1.695,-0.0159,15.7968,289.423,359.7509,P24_V1,H4,0
8660,1,1.3984,1.695,-0.0161,15.8231,289.4642,359.6897,P24_V1,H4,1
8661,2,1.3986,1.6949,-0.0162,15.8167,289.5164,359.6693,P24_V1,H4,2
8662,3,1.399,1.6949,-0.0165,15.8178,289.6033,359.6804,P24_V1,H4,3
8663,4,1.3992,1.6948,-0.0167,15.8028,289.6588,359.6964,P24_V1,H4,4
8664,5,1.3998,1.6948,-0.0171,15.7722,289.7198,359.6957,P24_V1,H4,5
8665,6,1.3999,1.6947,-0.0172,15.7499,289.734,359.6826,P24_V1,H4,6
8666,7,1.4002,1.6948,-0.0174,15.7223,289.7365,359.6922,P24_V1,H4,7
8667,8,1.4008,1.6949,-0.0179,15.5948,289.7095,359.6676,P24_V1,H4,8
8668,9,1.4009,1.695,-0.018,15.5375,289.705,359.6519,P24_V1,H4,9
8669,10,1.4013,1.6951,-0.0184,15.4063,289.7032,359.6546,P24_V1,H4,10
8670,11,1.4014,1.6952,-0.0185,15.3739,289.7001,359.6614,P24_V1,H4,11
8671,12,1.4016,1.6953,-0.0189,15.2457,289.6764,359.6785,P24_V1,H4,12
8672,13,1.4017,1.6954,-0.019,15.2522,289.6708,359.6816,P24_V1,H4,13
8673,15,1.4017,1.6955,-0.0195,15.2079,289.6265,359.7284,P24_V1,H4,14
8674,17,1.4015,1.6955,-0.0201,15.2317,289.5526,359.8252,P24_V1,H4,15
8675,18,1.4013,1.6954,-0.0204,15.2601,289.5256,359.863,P24_V1,H4,16
8676,19,1.4012,1.6953,-0.0206,15.2826,289.509,359.8865,P24_V1,H4,17
8677,20,1.401,1.6953,-0.021,15.3181,289.4646,359.8957,P24_V1,H4,18
8678,21,1.4009,1.6952,-0.0212,15.3326,289.4479,359.9306,P24_V1,H4,19
8679,22,1.4007,1.6952,-0.0216,15.3774,289.4122,0.0021,P24_V1,H4,20
8680,23,1.4005,1.6951,-0.022,15.3982,289.3534,0.021,P24_V1,H4,21
8681,24,1.4003,1.6951,-0.0225,15.4064,289.3218,0.1361,P24_V1,H4,22
8682,25,1.4001,1.6951,-0.0228,15.4259,289.2813,0.1935,P24_V1,H4,23
8683,26,1.3998,1.6952,-0.0234,15.405,289.2131,0.2734,P24_V1,H4,24
8684,27,1.3991,1.6953,-0.0242,15.3798,289.1182,0.3679,P24_V1,H4,25
8685,28,1.3989,1.6954,-0.0245,15.3896,289.0831,0.3854,P24_V1,H4,26
8686,29,1.398,1.6954,-0.0255,15.4202,288.9061,0.5152,P24_V1,H4,27
8687,30,1.3976,1.6954,-0.0258,15.4547,288.8667,0.5719,P24_V1,H4,28
8688,31,1.3964,1.6954,-0.027,15.5298,288.6342,0.7437,P24_V1,H4,29
8689,32,1.3959,1.6955,-0.0274,15.5839,288.5695,0.8039,P24_V1,H4,30
8690,33,1.394,1.6956,-0.0289,15.6634,288.2877,1.0867,P24_V1,H4,31
8691,34,1.3933,1.6957,-0.0293,15.6881,288.1633,1.1771,P24_V1,H4,32
8692,36,1.3897,1.6962,-0.0317,15.9394,287.7183,1.6662,P24_V1,H4,33
8693,38,1.3856,1.6968,-0.0345,15.9965,287.1662,2.392,P24_V1,H4,34
8694,39,1.381,1.6981,-0.0381,15.671,286.3243,3.4805,P24_V1,H4,35
8695,40,1.3791,1.6986,-0.0399,15.3046,286.1043,4.0986,P24_V1,H4,36
8696,41,1.3753,1.6993,-0.0437,14.9195,285.6858,5.1456,P24_V1,H4,37
8697,42,1.3729,1.6995,-0.046,14.6363,285.5405,5.6791,P24_V1,H4,38
8698,43,1.3681,1.7002,-0.0508,14.3098,285.3506,6.8859,P24_V1,H4,39
8699,44,1.365,1.7004,-0.0537,14.2628,285.2381,7.5729,P24_V1,H4,40
8700,45,1.3582,1.7008,-0.06,14.2214,284.7535,8.7715,P24_V1,H4,41
8701,46,1.3541,1.7002,-0.064,14.9694,284.2755,9.6181,P24_V1,H4,42
8702,47,1.3453,1.6978,-0.0719,16.9732,283.0172,11.0728,P24_V1,H4,43
8703,48,1.3397,1.6955,-0.0768,18.6203,282.1622,11.2224,P24_V1,H4,44
8704,49,1.3289,1.6913,-0.0857,21.8508,280.579,11.1433,P24_V1,H4,45
8705,50,1.3169,1.6864,-0.0948,24.8675,279.4016,10.3485,P24_V1,H4,46
8706,51,1.3106,1.6842,-0.0995,26.0663,279.0393,10.0198,P24_V1,H4,47
8707,53,1.2963,1.6814,-0.1098,27.888,279.014,9.6875,P24_V1,H4,48
8708,54,1.2744,1.6779,-0.126,30.1198,278.7814,9.309,P24_V1,H4,49
8709,55,1.2664,1.6774,-0.1319,30.708,278.8058,9.2439,P24_V1,H4,50
8710,56,1.2498,1.6774,-0.1442,31.8011,279.0365,9.2864,P24_V1,H4,51
8711,57,1.2407,1.6775,-0.1508,31.8901,279.0505,9.2818,P24_V1,H4,52
8712,58,1.223,1.6774,-0.1638,32.3562,278.9755,9.2432,P24_V1,H4,53
8713,59,1.2139,1.6774,-0.1707,32.6288,278.9941,9.0801,P24_V1,H4,54
8714,60,1.1968,1.6775,-0.1839,33.213,278.8626,8.9689,P24_V1,H4,55
8715,61,1.1884,1.6779,-0.1904,33.4599,278.8021,8.8295,P24_V1,H4,56
8716,62,1.1724,1.6793,-0.2028,33.8058,278.5358,8.4584,P24_V1,H4,57
