,FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,Participant,Dataset,ViewFrame
6846,1,0.1302,1.8247,-0.3277,26.2352,350.6865,354.379,P20_V1,H4,1
6847,2,0.1294,1.8322,-0.3286,21.559,351.7397,355.8658,P20_V1,H4,2
6848,3,0.1284,1.841,-0.3301,16.1321,352.5101,357.1754,P20_V1,H4,3
6849,4,0.1273,1.8485,-0.3324,11.4408,352.7878,358.117,P20_V1,H4,4
6850,5,0.1259,1.8543,-0.3359,7.8136,352.6221,358.3615,P20_V1,H4,5
6851,6,0.1248,1.8575,-0.3399,5.8609,351.8874,358.046,P20_V1,H4,6
6852,7,0.1238,1.8587,-0.3442,4.7656,351.0175,357.5508,P20_V1,H4,7
6853,8,0.1233,1.8601,-0.3467,3.869,350.4058,357.2624,P20_V1,H4,8
6854,9,0.123,1.8607,-0.3489,2.8966,349.9291,357.0189,P20_V1,H4,9
6855,10,0.1232,1.8603,-0.3502,2.9947,349.6145,356.7959,P20_V1,H4,10
6856,11,0.1233,1.8594,-0.3499,3.7257,349.6731,356.8211,P20_V1,H4,11
6857,12,0.1233,1.8589,-0.3508,4.1692,349.3321,356.9073,P20_V1,H4,12
6858,14,0.1235,1.8576,-0.3518,4.9567,348.6987,357.0267,P20_V1,H4,13
6859,15,0.1238,1.8581,-0.3519,4.7188,348.4238,357.1182,P20_V1,H4,14
6860,16,0.124,1.8581,-0.3522,4.7378,348.2995,357.086,P20_V1,H4,15
6861,17,0.1244,1.858,-0.3525,4.8493,348.0284,357.04,P20_V1,H4,16
6862,18,0.1247,1.8577,-0.3527,5.0028,347.7906,356.9024,P20_V1,H4,17
6863,19,0.1253,1.8567,-0.3531,5.8739,347.3824,356.8102,P20_V1,H4,18
6864,20,0.1255,1.8564,-0.353,6.0427,347.2567,356.8539,P20_V1,H4,19
6865,21,0.1256,1.8561,-0.3529,6.1822,347.1426,356.6935,P20_V1,H4,20
6866,22,0.1259,1.8551,-0.353,6.9023,346.9881,356.5048,P20_V1,H4,21
6867,23,0.1261,1.8548,-0.3531,7.1481,346.9268,356.5925,P20_V1,H4,22
6868,24,0.1261,1.8537,-0.3531,7.8275,346.9278,356.5586,P20_V1,H4,23
6869,25,0.1261,1.8528,-0.3532,8.456,346.9372,356.4951,P20_V1,H4,24
6870,27,0.126,1.8522,-0.3529,8.8773,346.9087,356.6034,P20_V1,H4,25
6871,29,0.1259,1.8519,-0.3528,9.141,346.9643,356.6937,P20_V1,H4,26
6872,31,0.1255,1.8516,-0.3529,9.3182,347.009,356.7205,P20_V1,H4,27
6873,32,0.1252,1.8515,-0.3532,9.4523,346.9418,356.6998,P20_V1,H4,28
6874,33,0.125,1.8513,-0.3534,9.5416,346.9316,356.715,P20_V1,H4,29
6875,34,0.1246,1.8511,-0.3537,9.7277,346.8655,356.6713,P20_V1,H4,30
6876,35,0.1243,1.8508,-0.3541,10.0122,346.8238,356.6537,P20_V1,H4,31
6877,36,0.1237,1.8492,-0.3549,11.1697,346.796,356.4733,P20_V1,H4,32
6878,37,0.1234,1.8469,-0.3551,12.9915,346.8136,356.1216,P20_V1,H4,33
6879,38,0.1233,1.8417,-0.3549,16.8182,346.8934,355.1125,P20_V1,H4,34
6880,39,0.1235,1.8311,-0.3538,24.396,346.7591,354.0702,P20_V1,H4,35
6881,40,0.1232,1.826,-0.3533,28.1052,346.7344,353.6643,P20_V1,H4,36
6882,41,0.1227,1.8168,-0.3516,33.4147,346.7343,352.8562,P20_V1,H4,37
6883,42,0.1224,1.8147,-0.3501,34.318,346.7368,352.7902,P20_V1,H4,38
6884,43,0.1218,1.8126,-0.3479,34.9715,346.6355,352.8263,P20_V1,H4,39
6885,44,0.1214,1.8116,-0.3472,35.6844,346.5022,352.6676,P20_V1,H4,40
6886,46,0.1204,1.8122,-0.3439,34.6312,346.3318,352.7984,P20_V1,H4,41
6887,48,0.1192,1.8108,-0.3408,34.5534,345.9517,352.921,P20_V1,H4,42
6888,49,0.1181,1.8091,-0.3392,34.8174,345.5983,353.0594,P20_V1,H4,43
6889,50,0.1176,1.8085,-0.3387,35.1763,345.4815,353.2055,P20_V1,H4,44
6890,51,0.1175,1.8083,-0.3387,35.2442,345.3286,353.0547,P20_V1,H4,45
6891,52,0.1172,1.8082,-0.3387,35.3619,345.1517,352.9201,P20_V1,H4,46
6892,53,0.1171,1.8082,-0.3388,35.3826,345.1388,352.916,P20_V1,H4,47
6893,54,0.1168,1.808,-0.3391,35.4791,344.9934,352.7632,P20_V1,H4,48
6894,55,0.1167,1.808,-0.3392,35.5057,344.9947,352.7573,P20_V1,H4,49
6895,56,0.1166,1.808,-0.3394,35.4926,344.9875,352.7662,P20_V1,H4,50
6896,57,0.1165,1.808,-0.3394,35.4681,344.9954,352.7673,P20_V1,H4,51
6897,58,0.1164,1.8077,-0.3396,35.5681,345.0685,352.6937,P20_V1,H4,52
6898,59,0.1164,1.8075,-0.3397,35.6481,345.0872,352.6257,P20_V1,H4,53
6899,60,0.1163,1.8062,-0.3402,36.4593,345.2501,352.4662,P20_V1,H4,54
6900,61,0.1163,1.8059,-0.3403,36.5082,345.3688,352.5565,P20_V1,H4,55
6901,63,0.1164,1.8051,-0.3407,36.9281,345.7327,352.7598,P20_V1,H4,56
6902,65,0.1167,1.8047,-0.341,37.1278,346.3959,353.1801,P20_V1,H4,57
6903,66,0.117,1.8045,-0.3412,37.2779,346.6932,353.3249,P20_V1,H4,58
6904,67,0.1171,1.8044,-0.3413,37.3175,346.8826,353.3692,P20_V1,H4,59
6905,68,0.1172,1.8043,-0.3415,37.328,346.971,353.3732,P20_V1,H4,60
6906,69,0.1172,1.8042,-0.3416,37.3759,346.9925,353.371,P20_V1,H4,61
6907,70,0.1172,1.8039,-0.342,37.5052,346.9332,353.2831,P20_V1,H4,62
6908,71,0.1169,1.8036,-0.3423,37.6747,346.8856,353.2434,P20_V1,H4,63
6909,72,0.1165,1.8026,-0.3427,38.2221,346.6337,353.1081,P20_V1,H4,64
6910,73,0.1162,1.8018,-0.3427,38.6039,346.498,352.9772,P20_V1,H4,65
6911,74,0.116,1.8002,-0.3422,39.2756,346.4056,352.9096,P20_V1,H4,66
6912,75,0.1164,1.7977,-0.3403,39.7507,346.9044,353.2131,P20_V1,H4,67
6913,76,0.1169,1.7955,-0.3392,40.2625,346.983,353.0543,P20_V1,H4,68
6914,77,0.1194,1.788,-0.3362,42.5758,347.4019,352.0713,P20_V1,H4,69
