x,y,z,rx,ry,rz
0.76376,1.52,0.93021,125.18,-12.295,-1.1142
0.76368,1.5199,0.92986,125.46,-12.207,-1.0107
0.76365,1.5199,0.92979,125.51,-12.194,-0.99398
0.76366,1.5198,0.92973,125.61,-12.167,-0.95956
0.76361,1.5198,0.92959,125.71,-12.146,-0.92971
0.76354,1.5197,0.92943,125.85,-12.117,-0.88987
0.7633,1.5198,0.92913,125.97,-12.096,-0.85562
0.76325,1.5197,0.92901,126.09,-12.075,-0.82869
0.76305,1.5197,0.92893,126.2,-12.05,-0.80564
0.76301,1.5197,0.92884,126.33,-12.03,-0.78101
0.76317,1.5196,0.92895,126.45,-12.01,-0.76124
0.76313,1.5196,0.92888,126.58,-11.99,-0.74055
0.76305,1.5196,0.92875,126.71,-11.971,-0.71988
0.76303,1.5196,0.9287,126.84,-11.953,-0.70223
0.76291,1.5196,0.92857,126.98,-11.932,-0.6829
0.7629,1.5196,0.92854,127.12,-11.912,-0.66789
0.7629,1.5196,0.92849,127.25,-11.884,-0.65451
0.7629,1.5195,0.92847,127.4,-11.862,-0.64138
0.76316,1.5196,0.92869,127.55,-11.839,-0.63516
0.76317,1.5196,0.92869,127.7,-11.814,-0.6266
0.76313,1.5196,0.92863,127.85,-11.791,-0.61673
0.76315,1.5196,0.92864,128.01,-11.766,-0.61
0.7631,1.5197,0.9286,128.17,-11.742,-0.60103
0.76313,1.5197,0.92862,128.33,-11.717,-0.59526
0.76306,1.5197,0.92868,128.49,-11.687,-0.59193
0.7631,1.5198,0.92872,128.66,-11.659,-0.58531
0.76337,1.5198,0.92896,128.83,-11.63,-0.581
0.76341,1.5198,0.92901,128.98,-11.607,-0.57566
0.76347,1.5199,0.92908,129.15,-11.578,-0.57027
0.76352,1.5199,0.92912,129.33,-11.546,-0.56399
0.76352,1.52,0.92914,129.51,-11.515,-0.55587
0.76359,1.52,0.92922,129.69,-11.481,-0.55002
0.7637,1.5201,0.92927,129.88,-11.439,-0.54461
0.76379,1.5201,0.92935,130.06,-11.402,-0.53857
0.76388,1.5202,0.92944,130.26,-11.364,-0.53055
0.76418,1.5203,0.92973,130.45,-11.324,-0.52667
0.76428,1.5203,0.92983,130.64,-11.284,-0.51952
0.7645,1.5204,0.93005,130.88,-11.233,-0.51211
0.76461,1.5205,0.93015,131.08,-11.19,-0.5046
0.76479,1.5205,0.93033,131.28,-11.148,-0.49989
0.76491,1.5206,0.93045,131.48,-11.105,-0.49358
0.76494,1.5206,0.93057,131.68,-11.057,-0.49155
0.76506,1.5207,0.93068,131.89,-11.015,-0.48571
0.76523,1.5206,0.93084,132.09,-10.973,-0.4799
0.76536,1.5207,0.93095,132.3,-10.931,-0.4738
0.76548,1.5207,0.93107,132.48,-10.895,-0.47092
0.76561,1.5208,0.93118,132.69,-10.853,-0.46797
0.76572,1.5209,0.93129,132.91,-10.81,-0.46378
0.76587,1.521,0.9314,133.13,-10.766,-0.46126
0.76601,1.521,0.93151,133.35,-10.717,-0.46107
0.76616,1.5211,0.93164,133.57,-10.673,-0.46138
0.76641,1.5211,0.93185,133.79,-10.63,-0.46263
0.76656,1.5212,0.93197,134.02,-10.589,-0.46288
0.76671,1.5212,0.93209,134.25,-10.546,-0.46555
0.76667,1.5214,0.93199,134.48,-10.504,-0.46491
0.76682,1.5214,0.93211,134.72,-10.462,-0.46724
0.76684,1.5216,0.93211,134.95,-10.421,-0.46633
0.76699,1.5216,0.93222,135.18,-10.379,-0.46969
0.76711,1.5217,0.93237,135.42,-10.332,-0.47421
0.76726,1.5218,0.93249,135.66,-10.29,-0.47652
0.76763,1.5219,0.9328,135.9,-10.248,-0.48153
0.76779,1.5219,0.93292,136.14,-10.205,-0.48195
0.7679,1.522,0.93298,136.39,-10.161,-0.48268
0.76805,1.5221,0.9331,136.64,-10.115,-0.48218
0.76813,1.5222,0.93315,136.88,-10.071,-0.48058
0.76828,1.5223,0.93327,137.13,-10.027,-0.47975
0.76851,1.5223,0.93336,137.39,-9.9733,-0.4814
0.76866,1.5224,0.93347,137.64,-9.9259,-0.4806
0.76908,1.5225,0.93382,137.96,-9.8665,-0.48225
0.76923,1.5225,0.93393,138.22,-9.8195,-0.48163
0.76927,1.5226,0.9339,138.49,-9.7726,-0.47981
0.76942,1.5227,0.93402,138.76,-9.7248,-0.47813
0.76964,1.5227,0.93419,139.02,-9.677,-0.47618
0.76979,1.5228,0.9343,139.29,-9.6287,-0.47225
0.76997,1.5228,0.93441,139.56,-9.5728,-0.46954
0.77013,1.5229,0.93453,139.83,-9.5239,-0.46369
0.77046,1.5229,0.93481,140.11,-9.4741,-0.45861
0.77062,1.523,0.93493,140.39,-9.4246,-0.44891
0.7707,1.523,0.93495,140.67,-9.3744,-0.4384
0.77086,1.5231,0.93507,140.95,-9.3235,-0.42577
0.77107,1.5231,0.93524,141.24,-9.2716,-0.41414
0.77122,1.5232,0.93536,141.52,-9.2194,-0.3998
0.77145,1.5232,0.93547,141.81,-9.1584,-0.3849
0.77161,1.5233,0.93559,142.1,-9.1035,-0.36602
0.77193,1.5233,0.93586,142.39,-9.047,-0.34753
0.77209,1.5233,0.93599,142.69,-8.9901,-0.3243
0.77225,1.5234,0.93613,142.98,-8.9302,-0.29814
0.77231,1.5235,0.93615,143.28,-8.8683,-0.26964
0.77246,1.5236,0.93628,143.58,-8.803,-0.23959
0.77261,1.5236,0.93641,143.88,-8.7381,-0.20822
0.77276,1.5237,0.93655,144.18,-8.6659,-0.17424
0.77287,1.5238,0.93672,144.49,-8.5846,-0.14229
0.77301,1.5239,0.93687,144.79,-8.5057,-0.10572
0.77328,1.5239,0.93716,145.1,-8.4191,-0.067391
0.77342,1.5241,0.93732,145.41,-8.3297,-0.02734
0.77354,1.5242,0.93748,145.73,-8.2304,0.014808
0.77366,1.5243,0.93765,146.04,-8.129,0.058008
0.77387,1.5244,0.9379,146.36,-8.0211,0.10222
0.77399,1.5246,0.93809,146.68,-7.9082,0.1518
0.77406,1.5247,0.9383,147.0,-7.7877,0.19987
0.77418,1.5249,0.93849,147.32,-7.6659,0.25426
0.77439,1.525,0.9388,147.64,-7.54,0.3127
0.7745,1.5252,0.93899,147.96,-7.4108,0.3721
0.7746,1.5253,0.93919,148.28,-7.2784,0.4365
0.77463,1.5255,0.93931,148.6,-7.1439,0.50128
0.77473,1.5257,0.93952,148.92,-7.0004,0.57415
0.77487,1.5259,0.93977,149.24,-6.8555,0.64669
0.775,1.5261,0.93998,149.56,-6.7006,0.71911
0.77509,1.5263,0.9402,149.88,-6.5502,0.79814
0.77517,1.5265,0.94041,150.19,-6.4002,0.88107
0.77536,1.5267,0.94072,150.5,-6.25,0.96048
0.77544,1.5269,0.94093,150.81,-6.1005,1.0464
0.77557,1.5271,0.94122,151.12,-5.9508,1.1358
0.77565,1.5273,0.94143,151.43,-5.8045,1.2251
0.77576,1.5275,0.94166,151.72,-5.6636,1.3126
0.77583,1.5276,0.94188,152.02,-5.5223,1.4046
0.77595,1.5278,0.94205,152.31,-5.3786,1.4924
0.77602,1.528,0.94225,152.6,-5.2469,1.5879
0.77619,1.5281,0.94255,152.88,-5.1189,1.6833
0.77625,1.5283,0.94274,153.15,-4.9995,1.7795
0.77623,1.5284,0.94283,153.42,-4.8822,1.8733
0.77628,1.5286,0.943,153.68,-4.7731,1.9683
0.7763,1.5287,0.94317,153.94,-4.6692,2.0621
0.77634,1.5289,0.94334,154.19,-4.5706,2.1533
0.77638,1.529,0.94349,154.43,-4.4684,2.237
0.77641,1.5291,0.94366,154.66,-4.3769,2.3239
0.77651,1.5292,0.94391,154.89,-4.2884,2.408
0.77652,1.5293,0.94407,155.11,-4.2031,2.4905
0.77661,1.5294,0.94434,155.33,-4.1196,2.5687
0.77661,1.5295,0.9445,155.53,-4.0408,2.6431
0.77647,1.5297,0.94455,155.74,-3.961,2.719
0.77646,1.5298,0.94471,155.93,-3.8847,2.7861
0.77644,1.5299,0.94488,156.12,-3.8105,2.8487
0.77642,1.53,0.94505,156.31,-3.73,2.9023
0.7764,1.5302,0.94522,156.49,-3.6578,2.9562
0.77647,1.5302,0.9455,156.68,-3.5856,3.005
0.77644,1.5303,0.94568,156.85,-3.5162,3.0487
0.77646,1.5304,0.94593,157.02,-3.4476,3.089
0.77642,1.5306,0.94611,157.18,-3.3804,3.1237
0.77624,1.5307,0.94617,157.34,-3.313,3.1574
0.77618,1.5309,0.94636,157.5,-3.2472,3.1832
0.77615,1.531,0.94652,157.66,-3.1777,3.1981
0.77608,1.5311,0.94671,157.81,-3.1148,3.2131
0.77618,1.5312,0.94706,157.96,-3.0516,3.2232
0.77611,1.5314,0.94726,158.1,-2.9871,3.2308
0.77609,1.5315,0.94755,158.24,-2.9221,3.2348
0.77601,1.5316,0.94775,158.38,-2.857,3.2342
0.77599,1.5317,0.94804,158.52,-2.789,3.2296
0.77589,1.5319,0.94826,158.65,-2.724,3.223
0.77581,1.532,0.94846,158.78,-2.6481,3.2103
0.7757,1.5321,0.94868,158.91,-2.5798,3.1972
0.77559,1.5322,0.94892,159.03,-2.5106,3.1825
0.77561,1.5324,0.94928,159.16,-2.4414,3.1647
0.7755,1.5325,0.94953,159.27,-2.3732,3.1464
