x,y,z,rx,ry,rz
0.67099,1.5628,0.86614,51.548,17.212,-3.5958
0.671,1.5628,0.86491,51.047,17.192,-3.5484
0.671,1.5628,0.8649,51.044,17.192,-3.5482
0.67108,1.5628,0.86447,50.834,17.184,-3.5317
0.67146,1.5627,0.86427,50.608,17.181,-3.509
0.67152,1.5627,0.86391,50.434,17.173,-3.497
0.67159,1.5627,0.86354,50.262,17.166,-3.4857
0.67165,1.5627,0.86319,50.093,17.157,-3.4758
0.67171,1.5627,0.86283,49.925,17.149,-3.4674
0.67178,1.5627,0.86248,49.761,17.141,-3.4579
0.67159,1.5627,0.86195,49.598,17.129,-3.4497
0.67164,1.5627,0.86159,49.434,17.121,-3.4427
0.67195,1.5626,0.86148,49.27,17.118,-3.4307
0.672,1.5626,0.86114,49.109,17.108,-3.4251
0.67205,1.5626,0.8608,48.952,17.099,-3.42
0.6721,1.5626,0.86044,48.787,17.088,-3.416
0.67215,1.5626,0.86012,48.641,17.079,-3.4119
0.67219,1.5626,0.85979,48.49,17.07,-3.4097
0.67224,1.5626,0.85946,48.334,17.06,-3.4073
0.67203,1.5626,0.85896,48.189,17.047,-3.407
0.67207,1.5626,0.85864,48.042,17.037,-3.4042
0.67236,1.5625,0.85855,47.891,17.032,-3.3981
0.6724,1.5625,0.85823,47.747,17.021,-3.3977
0.67244,1.5625,0.85791,47.603,17.01,-3.3934
0.67247,1.5625,0.8576,47.461,16.997,-3.3912
0.6725,1.5625,0.85728,47.321,16.984,-3.3871
0.67231,1.5625,0.8568,47.184,16.97,-3.3849
0.67233,1.5625,0.85648,47.047,16.957,-3.3817
0.6726,1.5624,0.8564,46.909,16.951,-3.3729
0.67262,1.5624,0.8561,46.778,16.937,-3.3713
0.67264,1.5624,0.85579,46.645,16.924,-3.3671
0.67265,1.5624,0.85549,46.516,16.91,-3.3635
0.67266,1.5624,0.85519,46.389,16.898,-3.36
0.67287,1.5623,0.85507,46.257,16.889,-3.3554
0.67288,1.5623,0.85479,46.133,16.876,-3.3516
0.67263,1.5623,0.85434,46.014,16.859,-3.3495
0.67263,1.5623,0.85404,45.893,16.847,-3.3459
0.67282,1.5622,0.85393,45.771,16.836,-3.3395
0.67282,1.5622,0.85365,45.654,16.822,-3.3357
0.67292,1.5621,0.85348,45.535,16.81,-3.3304
0.67292,1.5621,0.85322,45.422,16.797,-3.3278
0.67292,1.5621,0.85295,45.309,16.781,-3.3247
0.67291,1.562,0.85268,45.198,16.766,-3.3214
0.6726,1.5621,0.85217,45.094,16.748,-3.3188
0.67259,1.562,0.85191,44.988,16.73,-3.3152
0.67276,1.562,0.85183,44.883,16.72,-3.3113
0.67275,1.562,0.85157,44.78,16.704,-3.3087
0.67273,1.5619,0.85134,44.681,16.688,-3.3057
0.67271,1.5619,0.8511,44.588,16.672,-3.3047
0.67279,1.5619,0.85096,44.491,16.66,-3.302
0.67276,1.5618,0.85073,44.399,16.645,-3.3003
0.67245,1.5619,0.85022,44.315,16.624,-3.2998
0.67242,1.5619,0.85,44.227,16.609,-3.2998
0.67259,1.5618,0.84997,44.145,16.602,-3.2975
0.67256,1.5618,0.84976,44.062,16.588,-3.2966
0.67252,1.5617,0.84955,43.982,16.576,-3.2978
0.67248,1.5617,0.84935,43.904,16.565,-3.2984
0.67243,1.5617,0.84915,43.828,16.553,-3.3
0.67238,1.5617,0.84896,43.756,16.541,-3.3016
0.67234,1.5617,0.84879,43.694,16.532,-3.3034
0.67198,1.5617,0.84829,43.611,16.513,-3.3059
0.67217,1.5617,0.84833,43.549,16.509,-3.3058
0.67211,1.5617,0.84815,43.483,16.499,-3.3082
0.67206,1.5617,0.84798,43.42,16.49,-3.3099
0.672,1.5617,0.84781,43.359,16.481,-3.3121
0.67194,1.5616,0.84764,43.297,16.474,-3.3146
0.67188,1.5616,0.84748,43.242,16.466,-3.3172
0.67182,1.5616,0.84733,43.184,16.459,-3.3193
0.67143,1.5617,0.84684,43.13,16.447,-3.3203
0.67136,1.5617,0.84669,43.078,16.442,-3.3228
0.67153,1.5617,0.84674,43.032,16.443,-3.324
0.67146,1.5617,0.84659,42.983,16.437,-3.3272
0.67139,1.5617,0.84644,42.935,16.433,-3.3306
0.67132,1.5616,0.84631,42.888,16.429,-3.3326
