x,y,z,rx,ry,rz
5.2866,1.5562,2.1407,87.709,-24.305,-1.0786
5.287,1.556,2.1397,87.018,-24.463,-0.97543
5.287,1.556,2.1395,86.906,-24.487,-0.9578
5.2871,1.5558,2.1391,86.647,-24.542,-0.9194
5.2872,1.5557,2.1387,86.395,-24.594,-0.87873
5.2873,1.5556,2.1384,86.143,-24.648,-0.83363
5.2874,1.5555,2.138,85.899,-24.696,-0.79343
5.2874,1.5554,2.1376,85.654,-24.748,-0.75014
5.2875,1.5553,2.1372,85.415,-24.795,-0.70902
5.2876,1.5551,2.1369,85.178,-24.842,-0.6691
5.2878,1.5551,2.1366,84.944,-24.889,-0.62815
5.288,1.555,2.1362,84.712,-24.934,-0.5873
5.288,1.5549,2.1359,84.483,-24.977,-0.54912
5.2881,1.5548,2.1356,84.252,-25.016,-0.50994
5.2882,1.5548,2.1352,84.02,-25.056,-0.46419
5.2884,1.5547,2.1349,83.791,-25.089,-0.42444
5.2885,1.5546,2.1347,83.559,-25.119,-0.38506
5.2887,1.5545,2.1344,83.362,-25.139,-0.3508
5.2889,1.5545,2.134,83.105,-25.166,-0.30564
5.2891,1.5544,2.1336,82.812,-25.187,-0.25834
5.2891,1.5543,2.1333,82.583,-25.204,-0.22677
5.2892,1.5543,2.133,82.349,-25.215,-0.19409
5.2894,1.5543,2.1327,82.117,-25.226,-0.16162
5.2896,1.5542,2.1323,81.887,-25.232,-0.13606
5.2897,1.5542,2.132,81.655,-25.239,-0.11425
5.2899,1.5542,2.1316,81.429,-25.243,-0.094673
5.2901,1.5541,2.1313,81.203,-25.246,-0.079321
5.2903,1.5541,2.131,80.98,-25.248,-0.067248
5.2905,1.5541,2.1307,80.756,-25.251,-0.057501
5.2906,1.554,2.1304,80.54,-25.253,-0.050271
5.291,1.554,2.1301,80.32,-25.255,-0.038985
5.2912,1.5539,2.1298,80.107,-25.259,-0.032887
5.2914,1.5539,2.1295,79.894,-25.264,-0.029674
5.2916,1.5538,2.1292,79.684,-25.27,-0.024969
5.2918,1.5538,2.1289,79.477,-25.278,-0.020558
5.292,1.5537,2.1287,79.273,-25.287,-0.01663
5.2921,1.5537,2.1284,79.071,-25.3,-0.01456
5.2923,1.5536,2.1281,78.873,-25.311,-0.011001
5.2925,1.5536,2.1279,78.678,-25.326,-0.0055846
5.2928,1.5535,2.1276,78.483,-25.34,0.0012149
5.293,1.5535,2.1274,78.293,-25.357,0.0054068
5.293,1.5534,2.1269,78.107,-25.377,0.014414
5.2932,1.5533,2.1266,77.926,-25.396,0.017755
5.2933,1.5532,2.1264,77.745,-25.415,0.021446
5.2935,1.5531,2.1262,77.571,-25.435,0.024748
5.2935,1.553,2.126,77.403,-25.459,0.026439
5.2937,1.5529,2.1257,77.236,-25.483,0.031698
5.2939,1.5529,2.1255,77.075,-25.507,0.039192
5.294,1.5528,2.1253,76.92,-25.534,0.046394
5.2941,1.5527,2.125,76.767,-25.564,0.057842
5.2942,1.5525,2.1248,76.625,-25.595,0.067705
5.2946,1.5525,2.1246,76.481,-25.626,0.07717
5.2947,1.5524,2.1245,76.35,-25.661,0.089147
5.2949,1.5523,2.1243,76.218,-25.698,0.10054
5.2951,1.5521,2.1242,76.094,-25.738,0.11494
5.2952,1.552,2.1241,75.99,-25.777,0.13072
5.2952,1.5519,2.1239,75.874,-25.823,0.14846
5.2954,1.5518,2.1238,75.767,-25.872,0.16585
5.2954,1.5516,2.1236,75.66,-25.923,0.1884
5.2956,1.5514,2.1235,75.565,-25.978,0.20827
5.2959,1.5513,2.1234,75.471,-26.033,0.22869
5.2961,1.5511,2.1233,75.386,-26.093,0.25081
5.296,1.551,2.1233,75.303,-26.155,0.27142
5.2962,1.5507,2.1232,75.21,-26.235,0.30375
5.2962,1.5505,2.1231,75.136,-26.301,0.33056
5.2964,1.5503,2.1231,75.068,-26.368,0.3594
5.2965,1.5501,2.123,75.004,-26.436,0.39018
5.2966,1.5499,2.123,74.943,-26.506,0.4233
5.2968,1.5497,2.1229,74.885,-26.578,0.45798
5.297,1.5494,2.1229,74.831,-26.65,0.4953
5.297,1.5492,2.1229,74.779,-26.724,0.53467
5.2971,1.5489,2.1229,74.731,-26.798,0.57567
5.2971,1.5487,2.1228,74.683,-26.876,0.61923
5.2972,1.5485,2.1228,74.64,-26.954,0.66406
5.2973,1.5482,2.1228,74.601,-27.033,0.71014
5.2974,1.5479,2.1228,74.564,-27.112,0.75761
5.2974,1.5476,2.1228,74.527,-27.194,0.80546
5.2975,1.5473,2.1228,74.495,-27.276,0.85345
5.2973,1.547,2.1228,74.465,-27.361,0.90358
5.2975,1.5467,2.1229,74.438,-27.447,0.95422
5.2974,1.5465,2.1229,74.412,-27.536,1.0057
5.2975,1.5462,2.1229,74.39,-27.623,1.0567
5.2977,1.546,2.123,74.37,-27.712,1.1095
5.2978,1.5457,2.123,74.351,-27.801,1.1616
5.298,1.5454,2.1231,74.336,-27.89,1.2165
5.2981,1.5451,2.1231,74.322,-27.98,1.2711
5.2982,1.5448,2.1232,74.311,-28.068,1.3262
5.298,1.5446,2.1232,74.3,-28.158,1.3797
5.2981,1.5443,2.1233,74.293,-28.245,1.436
5.2979,1.5441,2.1233,74.285,-28.336,1.4895
5.2981,1.5439,2.1234,74.282,-28.422,1.5444
5.2981,1.5436,2.1233,74.279,-28.51,1.6007
5.2982,1.5433,2.1234,74.278,-28.595,1.655
5.2984,1.5431,2.1234,74.28,-28.678,1.7085
5.2985,1.5429,2.1235,74.281,-28.762,1.7617
5.2984,1.5426,2.1235,74.283,-28.847,1.8157
5.2985,1.5424,2.1236,74.288,-28.925,1.8664
5.2985,1.5422,2.1237,74.293,-29.006,1.9187
5.2986,1.542,2.1237,74.3,-29.084,1.9681
5.2987,1.5417,2.1236,74.307,-29.165,2.0241
5.2988,1.5415,2.1236,74.315,-29.241,2.0722
5.2991,1.5414,2.1237,74.324,-29.313,2.1198
5.2993,1.5412,2.1238,74.334,-29.385,2.1675
5.2991,1.541,2.1238,74.343,-29.454,2.2151
5.2992,1.5408,2.1239,74.352,-29.521,2.2612
5.2991,1.5406,2.1239,74.361,-29.586,2.3067
5.2992,1.5404,2.124,74.371,-29.646,2.3516
5.2995,1.5403,2.1241,74.38,-29.701,2.3939
5.2996,1.5401,2.1241,74.389,-29.753,2.4367
5.2999,1.54,2.1242,74.398,-29.801,2.4781
5.3,1.5398,2.1242,74.405,-29.846,2.5194
5.3002,1.5396,2.1243,74.411,-29.886,2.5595
5.3002,1.5395,2.1243,74.416,-29.924,2.6001
5.2997,1.5395,2.1242,74.419,-29.964,2.6331
5.2998,1.5394,2.1242,74.421,-29.993,2.6686
5.3,1.5392,2.1242,74.421,-30.02,2.7037
5.3001,1.5391,2.1242,74.417,-30.042,2.7384
5.3001,1.5389,2.1242,74.412,-30.062,2.7711
5.3003,1.5388,2.1242,74.406,-30.077,2.8026
5.3004,1.5387,2.1242,74.395,-30.09,2.8317
5.3005,1.5386,2.1241,74.384,-30.1,2.8611
5.3006,1.5385,2.1241,74.367,-30.109,2.8889
5.3003,1.5385,2.124,74.349,-30.121,2.9138
5.3004,1.5384,2.124,74.327,-30.126,2.939
5.3005,1.5384,2.1238,74.301,-30.133,2.9682
5.3006,1.5383,2.1238,74.274,-30.134,2.9915
5.3007,1.5382,2.1237,74.241,-30.133,3.0113
5.3009,1.5381,2.1237,74.204,-30.13,3.0315
5.301,1.538,2.1236,74.163,-30.125,3.0518
5.3012,1.538,2.1235,74.118,-30.119,3.0696
5.3011,1.538,2.1234,74.065,-30.111,3.0837
5.3012,1.5379,2.1233,74.011,-30.099,3.0993
5.3012,1.5379,2.1229,73.948,-30.086,3.1181
5.3014,1.5378,2.1228,73.882,-30.07,3.1308
5.3019,1.5379,2.1227,73.811,-30.048,3.1432
5.3021,1.5379,2.1226,73.734,-30.026,3.1508
5.3021,1.5379,2.1225,73.651,-30.004,3.1582
5.3023,1.5379,2.1223,73.562,-29.98,3.1614
5.3025,1.5378,2.1222,73.466,-29.953,3.1635
5.3026,1.5379,2.122,73.369,-29.928,3.1644
5.3028,1.5378,2.1218,73.264,-29.899,3.1615
5.303,1.5378,2.1215,73.155,-29.869,3.1602
5.3032,1.5378,2.1213,73.041,-29.836,3.1535
5.3035,1.5378,2.1211,72.921,-29.8,3.1438
5.3037,1.5378,2.1209,72.792,-29.759,3.1337
5.3039,1.5378,2.1207,72.681,-29.723,3.1232
5.3042,1.5378,2.1204,72.508,-29.666,3.1062
5.3044,1.5379,2.1201,72.362,-29.617,3.09
5.3047,1.5379,2.1199,72.21,-29.562,3.0727
5.3048,1.538,2.1194,72.047,-29.506,3.0565
5.3051,1.538,2.1191,71.882,-29.446,3.0356
5.3054,1.5381,2.1188,71.702,-29.378,3.012
5.3059,1.5383,2.1185,71.521,-29.308,2.9872
5.3062,1.5383,2.1181,71.322,-29.234,2.9602
5.3064,1.5384,2.1178,71.128,-29.162,2.9326
5.3065,1.5386,2.1173,70.916,-29.089,2.9007
5.3068,1.5387,2.1169,70.704,-29.012,2.8699
5.3071,1.5387,2.1165,70.474,-28.934,2.8337
5.3073,1.5388,2.116,70.245,-28.856,2.7993
5.3077,1.539,2.1156,70.008,-28.779,2.7632
5.308,1.539,2.1151,69.759,-28.698,2.729
5.3083,1.5391,2.1147,69.524,-28.621,2.6959
5.3085,1.5393,2.1142,69.233,-28.53,2.6555
5.3089,1.5394,2.1137,68.963,-28.445,2.6195
5.309,1.5397,2.1131,68.677,-28.355,2.5816
5.3094,1.5398,2.1126,68.384,-28.262,2.544
5.3094,1.54,2.1116,68.083,-28.171,2.51
5.3098,1.5402,2.1111,67.775,-28.071,2.4722
5.3104,1.5406,2.1105,67.457,-27.966,2.4324
5.3109,1.5408,2.1099,67.122,-27.857,2.3935
5.3111,1.541,2.1093,66.788,-27.749,2.3551
5.3116,1.5413,2.1086,66.437,-27.634,2.3151
5.3119,1.5415,2.108,66.085,-27.518,2.2738
