x,y,z,rx,ry,rz
0.45463,1.6388,1.6194,-15.838,-16.26,-0.95837
0.45604,1.6396,1.621,-16.658,-15.768,-0.91901
0.45517,1.6398,1.6211,-16.86,-15.648,-0.90968
0.45525,1.64,1.6215,-17.143,-15.477,-0.89449
0.45533,1.6403,1.6221,-17.542,-15.236,-0.87172
0.45539,1.6406,1.6225,-17.856,-15.048,-0.85352
0.45544,1.6409,1.6229,-18.168,-14.864,-0.83368
0.45548,1.6411,1.6234,-18.473,-14.685,-0.81561
0.45442,1.6413,1.6235,-18.783,-14.511,-0.79942
0.45444,1.6415,1.6239,-19.081,-14.344,-0.7818
0.45476,1.6414,1.6244,-19.376,-14.178,-0.77008
0.45477,1.6416,1.6247,-19.666,-14.023,-0.75427
0.45476,1.6417,1.6251,-19.952,-13.879,-0.74104
0.45475,1.6419,1.6255,-20.237,-13.736,-0.72708
0.45474,1.642,1.6258,-20.516,-13.607,-0.71655
0.45472,1.6421,1.6262,-20.793,-13.48,-0.70623
0.45408,1.6422,1.6269,-21.026,-13.344,-0.69073
0.45405,1.6423,1.6273,-21.299,-13.235,-0.68249
0.45402,1.6424,1.6276,-21.567,-13.132,-0.67632
0.45382,1.6423,1.6279,-21.835,-13.033,-0.67195
0.45378,1.6424,1.6282,-22.098,-12.946,-0.66604
0.45374,1.6424,1.6285,-22.363,-12.861,-0.65998
0.4537,1.6424,1.6288,-22.624,-12.783,-0.65186
0.45366,1.6425,1.6291,-22.886,-12.709,-0.64462
0.45362,1.6425,1.6294,-23.15,-12.639,-0.63621
0.45178,1.6425,1.6293,-23.412,-12.567,-0.62692
0.45174,1.6425,1.6296,-23.673,-12.506,-0.61681
0.45061,1.6424,1.6297,-23.933,-12.448,-0.61037
0.45056,1.6424,1.6299,-24.201,-12.396,-0.60023
0.45052,1.6424,1.6302,-24.456,-12.351,-0.59022
0.45048,1.6424,1.6304,-24.715,-12.31,-0.58131
0.45044,1.6424,1.6307,-24.97,-12.274,-0.57374
0.45041,1.6424,1.6309,-25.228,-12.242,-0.56661
0.44966,1.6423,1.6312,-25.471,-12.206,-0.55955
0.44963,1.6423,1.6314,-25.724,-12.182,-0.5581
0.45006,1.6423,1.6317,-25.978,-12.161,-0.55408
0.45004,1.6423,1.632,-26.229,-12.143,-0.55387
0.45003,1.6422,1.6322,-26.479,-12.128,-0.55678
0.45003,1.6422,1.6324,-26.727,-12.114,-0.56132
0.45002,1.6421,1.6327,-26.969,-12.101,-0.56777
0.45003,1.642,1.6329,-27.211,-12.09,-0.57467
0.45004,1.642,1.6331,-27.449,-12.077,-0.58207
0.44931,1.6419,1.6334,-27.661,-12.059,-0.58856
0.44933,1.6418,1.6337,-27.893,-12.046,-0.5968
0.44768,1.6418,1.6336,-28.123,-12.032,-0.60603
0.44771,1.6417,1.6338,-28.347,-12.018,-0.61823
0.44774,1.6416,1.634,-28.569,-12.001,-0.63187
0.44779,1.6415,1.6342,-28.786,-11.984,-0.64608
0.44784,1.6414,1.6345,-28.999,-11.966,-0.66134
0.4479,1.6413,1.6347,-29.211,-11.946,-0.67912
0.44747,1.6412,1.6349,-29.411,-11.919,-0.69645
0.44755,1.6412,1.6351,-29.607,-11.895,-0.71837
0.44695,1.641,1.6352,-29.8,-11.87,-0.74906
0.44706,1.6409,1.6354,-29.99,-11.844,-0.77662
0.44717,1.6409,1.6356,-30.174,-11.817,-0.80934
0.4473,1.6408,1.6358,-30.352,-11.79,-0.84634
0.44743,1.6407,1.636,-30.523,-11.762,-0.88618
0.44758,1.6406,1.6362,-30.692,-11.736,-0.93007
0.44775,1.6406,1.6364,-30.855,-11.711,-0.97665
0.44736,1.6405,1.6368,-30.991,-11.681,-1.0177
0.44754,1.6405,1.637,-31.145,-11.659,-1.0709
0.44738,1.6403,1.6371,-31.298,-11.64,-1.1272
0.44759,1.6403,1.6373,-31.443,-11.624,-1.1838
0.44782,1.6402,1.6376,-31.585,-11.611,-1.2415
0.44806,1.6402,1.6378,-31.723,-11.6,-1.3007
0.44832,1.6402,1.638,-31.858,-11.592,-1.3621
0.44859,1.6402,1.6382,-31.987,-11.588,-1.4254
0.44729,1.6402,1.6385,-32.095,-11.577,-1.4826
0.44759,1.6402,1.6387,-32.218,-11.576,-1.5478
0.44365,1.6403,1.6381,-32.342,-11.572,-1.6094
0.44398,1.6404,1.6383,-32.457,-11.573,-1.676
0.44432,1.6404,1.6385,-32.567,-11.574,-1.7448
0.44468,1.6404,1.6387,-32.676,-11.576,-1.8135
0.44505,1.6404,1.6389,-32.782,-11.579,-1.8804
0.44545,1.6405,1.6391,-32.886,-11.581,-1.9483
0.44617,1.6405,1.6394,-32.994,-11.584,-2.0101
0.4466,1.6405,1.6396,-33.09,-11.588,-2.0736
0.44617,1.6406,1.6397,-33.188,-11.595,-2.137
0.44663,1.6406,1.6399,-33.28,-11.605,-2.1933
0.44711,1.6407,1.6402,-33.372,-11.616,-2.2505
0.44758,1.6407,1.6404,-33.461,-11.627,-2.3025
0.44809,1.6408,1.6406,-33.547,-11.637,-2.3505
0.44861,1.6409,1.6408,-33.633,-11.649,-2.3936
0.44915,1.6409,1.6411,-33.718,-11.661,-2.4323
0.4473,1.641,1.6412,-33.802,-11.658,-2.4594
0.44787,1.641,1.6415,-33.887,-11.669,-2.4864
0.44625,1.6411,1.6413,-33.974,-11.677,-2.511
0.44684,1.6412,1.6415,-34.06,-11.684,-2.5256
0.44745,1.6413,1.6418,-34.148,-11.693,-2.5333
0.44807,1.6413,1.642,-34.236,-11.699,-2.5356
0.4487,1.6414,1.6423,-34.326,-11.708,-2.5343
0.44936,1.6415,1.6426,-34.423,-11.714,-2.5222
0.44881,1.6416,1.6428,-34.531,-11.708,-2.5011
0.44966,1.6417,1.6432,-34.658,-11.718,-2.4739
0.44958,1.6419,1.6433,-34.764,-11.726,-2.4439
0.4501,1.6419,1.6436,-34.843,-11.734,-2.4207
0.45101,1.642,1.6439,-34.981,-11.746,-2.3759
0.45176,1.6421,1.6443,-35.096,-11.758,-2.3326
0.45252,1.6422,1.6446,-35.216,-11.773,-2.2853
0.4533,1.6423,1.6449,-35.34,-11.787,-2.233
0.45438,1.6424,1.6457,-35.49,-11.788,-2.1681
0.45518,1.6425,1.646,-35.622,-11.805,-2.1054
0.45354,1.6426,1.6459,-35.758,-11.82,-2.0425
0.45435,1.6427,1.6463,-35.897,-11.837,-1.9718
0.45518,1.6428,1.6466,-36.041,-11.857,-1.8973
0.45605,1.6429,1.647,-36.188,-11.877,-1.8183
0.4569,1.6429,1.6474,-36.338,-11.897,-1.7372
0.45776,1.643,1.6478,-36.491,-11.915,-1.6555
0.45865,1.6431,1.6482,-36.652,-11.935,-1.5691
0.45898,1.6432,1.649,-36.842,-11.934,-1.4735
0.45991,1.6432,1.6494,-37.009,-11.952,-1.385
0.45861,1.6431,1.6494,-37.182,-11.97,-1.3006
0.45954,1.6432,1.6498,-37.359,-11.987,-1.2121
0.4605,1.6433,1.6502,-37.544,-12.003,-1.1221
0.46145,1.6434,1.6507,-37.731,-12.016,-1.0359
0.46244,1.6435,1.6511,-37.926,-12.027,-0.94792
0.46343,1.6436,1.6516,-38.125,-12.034,-0.86375
0.46351,1.6436,1.6519,-38.332,-12.034,-0.78041
0.46453,1.6437,1.6524,-38.54,-12.035,-0.69957
0.46483,1.6438,1.6527,-38.752,-12.034,-0.62374
0.46588,1.6439,1.6532,-38.968,-12.031,-0.54767
0.46696,1.644,1.6537,-39.188,-12.025,-0.47446
0.46804,1.6441,1.6541,-39.411,-12.017,-0.40516
0.46913,1.6442,1.6546,-39.638,-12.004,-0.33787
0.47024,1.6443,1.6551,-39.868,-11.989,-0.27437
0.47275,1.6445,1.656,-40.111,-11.97,-0.20483
0.47389,1.6446,1.6564,-40.346,-11.946,-0.14652
0.47305,1.6446,1.6565,-40.585,-11.917,-0.09453
0.4742,1.6448,1.657,-40.825,-11.888,-0.040142
0.47522,1.6449,1.6574,-41.036,-11.86,0.0040467
0.4764,1.645,1.6579,-41.281,-11.827,0.055631
0.47759,1.6451,1.6584,-41.526,-11.796,0.10514
0.47881,1.6453,1.6589,-41.775,-11.764,0.15429
0.48231,1.6456,1.66,-42.116,-11.723,0.22622
0.48356,1.6458,1.6605,-42.371,-11.693,0.27157
0.48606,1.646,1.6612,-42.63,-11.667,0.32513
0.48736,1.6462,1.6617,-42.894,-11.635,0.37077
0.48867,1.6465,1.6621,-43.159,-11.602,0.41502
0.49002,1.6468,1.6626,-43.431,-11.567,0.45797
0.49136,1.6471,1.663,-43.703,-11.529,0.49833
0.49275,1.6475,1.6634,-43.98,-11.486,0.53733
0.49348,1.6478,1.6639,-44.277,-11.431,0.581
0.49489,1.6482,1.6644,-44.56,-11.38,0.61548
0.49573,1.6485,1.6647,-44.848,-11.326,0.65158
0.49718,1.6488,1.6651,-45.142,-11.265,0.68316
0.49864,1.6492,1.6656,-45.441,-11.202,0.71147
0.50011,1.6496,1.6661,-45.746,-11.135,0.74078
0.5016,1.6499,1.6665,-46.056,-11.068,0.76812
0.5031,1.6503,1.667,-46.372,-11.0,0.79469
0.50461,1.6506,1.6675,-46.696,-10.932,0.82078
0.50872,1.651,1.6686,-47.039,-10.867,0.85486
