x,y,z,rx,ry,rz
2.8517,1.5558,3.1093,49.68,4.5112,-3.0343
2.8514,1.5558,3.1091,49.661,4.4599,-3.0586
2.8514,1.5558,3.109,49.659,4.4514,-3.0631
2.8514,1.5558,3.109,49.654,4.4306,-3.0735
2.8513,1.5557,3.109,49.649,4.4121,-3.0861
2.8513,1.5557,3.1089,49.642,4.3941,-3.0958
2.8514,1.5556,3.109,49.634,4.3786,-3.1058
2.8513,1.5556,3.1089,49.627,4.3597,-3.1175
2.8511,1.5556,3.1086,49.61,4.3438,-3.124
2.8511,1.5556,3.1086,49.6,4.3259,-3.1354
2.8511,1.5556,3.1086,49.589,4.3087,-3.1485
2.8511,1.5555,3.1085,49.578,4.2903,-3.1604
2.8511,1.5555,3.1085,49.566,4.2731,-3.1726
2.8511,1.5555,3.1085,49.553,4.2554,-3.1833
2.8511,1.5554,3.1084,49.539,4.2371,-3.1948
2.851,1.5554,3.1084,49.526,4.2206,-3.2049
2.8508,1.5554,3.108,49.503,4.2056,-3.2095
2.8507,1.5554,3.108,49.488,4.1885,-3.2199
2.8508,1.5554,3.108,49.472,4.1716,-3.2315
2.8507,1.5553,3.1079,49.456,4.1542,-3.2411
2.8508,1.5553,3.1079,49.438,4.1378,-3.2515
2.8507,1.5553,3.1079,49.422,4.1199,-3.2597
2.8507,1.5552,3.1078,49.398,4.0961,-3.2709
2.8507,1.5552,3.1077,49.379,4.0744,-3.2786
2.8506,1.5552,3.1077,49.359,4.0526,-3.2865
2.8503,1.5552,3.1073,49.333,4.0304,-3.291
2.8503,1.5551,3.1073,49.31,4.0048,-3.2977
2.8503,1.555,3.1073,49.287,3.98,-3.3041
2.8503,1.555,3.1072,49.262,3.9542,-3.3081
2.8502,1.5549,3.1071,49.236,3.9268,-3.3108
2.8502,1.5549,3.107,49.209,3.8978,-3.3138
2.8502,1.5548,3.107,49.179,3.8688,-3.3133
2.8502,1.5547,3.107,49.148,3.8373,-3.3131
2.8501,1.5547,3.1067,49.109,3.8065,-3.3125
2.85,1.5546,3.1066,49.075,3.7735,-3.3087
2.85,1.5544,3.1065,49.038,3.7365,-3.3061
2.85,1.5543,3.1064,48.997,3.7024,-3.2998
2.8502,1.5543,3.1065,48.953,3.6706,-3.2934
2.8501,1.5542,3.1064,48.906,3.6341,-3.2839
2.8502,1.5541,3.1064,48.855,3.5976,-3.2737
2.8502,1.554,3.1063,48.801,3.5605,-3.2616
2.8501,1.554,3.106,48.74,3.5242,-3.247
2.8501,1.5539,3.1059,48.677,3.4856,-3.2318
2.8502,1.5538,3.1059,48.612,3.4457,-3.2174
2.8502,1.5537,3.1057,48.542,3.4054,-3.2
2.8502,1.5537,3.1056,48.468,3.3622,-3.183
2.8503,1.5536,3.1054,48.388,3.3195,-3.1643
2.8504,1.5535,3.1054,48.305,3.2771,-3.1458
2.8504,1.5534,3.1052,48.215,3.2328,-3.1278
2.8503,1.5533,3.1049,48.118,3.1866,-3.1049
2.8503,1.5532,3.1047,48.021,3.1404,-3.0866
2.8504,1.5531,3.1046,47.918,3.092,-3.0659
2.8505,1.553,3.1045,47.812,3.0447,-3.045
2.8506,1.553,3.1043,47.697,2.9935,-3.0239
2.8506,1.5529,3.104,47.582,2.9425,-3.0032
2.8507,1.5528,3.1039,47.461,2.8935,-2.9805
2.8508,1.5527,3.1037,47.337,2.847,-2.959
2.8509,1.5526,3.1035,47.208,2.801,-2.9398
2.851,1.5525,3.1032,47.075,2.7586,-2.9196
2.8511,1.5524,3.103,46.944,2.712,-2.904
2.8513,1.5523,3.1029,46.812,2.6679,-2.8917
2.8514,1.5522,3.1027,46.679,2.625,-2.8787
2.8516,1.5522,3.1026,46.548,2.5861,-2.8668
2.8517,1.5521,3.1024,46.415,2.5463,-2.854
2.8518,1.552,3.1022,46.282,2.5081,-2.8399
2.8519,1.552,3.102,46.152,2.4735,-2.8276
2.852,1.5519,3.1016,46.018,2.4434,-2.8105
2.8521,1.5519,3.1014,45.888,2.4137,-2.7973
2.8523,1.5519,3.1014,45.761,2.3845,-2.7876
2.8524,1.5518,3.1012,45.635,2.3581,-2.7744
2.8525,1.5518,3.101,45.509,2.3335,-2.7627
2.8526,1.5517,3.1009,45.385,2.3129,-2.7534
2.8527,1.5517,3.1007,45.263,2.2898,-2.7446
2.8528,1.5517,3.1006,45.144,2.266,-2.7358
2.8529,1.5516,3.1004,45.026,2.2442,-2.7282
2.8525,1.5516,3.1,44.91,2.2176,-2.7216
2.8526,1.5516,3.0998,44.798,2.1942,-2.7155
2.8527,1.5516,3.0997,44.689,2.1693,-2.7109
2.8527,1.5515,3.0996,44.583,2.1462,-2.7071
2.8527,1.5515,3.0994,44.481,2.1222,-2.7026
2.8528,1.5515,3.0993,44.382,2.0981,-2.7014
2.8528,1.5515,3.0992,44.288,2.0752,-2.7011
2.8528,1.5515,3.099,44.201,2.0523,-2.7036
2.8527,1.5515,3.0987,44.117,2.0316,-2.7023
2.8527,1.5514,3.0986,44.041,2.0093,-2.7075
2.8527,1.5513,3.0985,43.972,1.9838,-2.7158
2.8526,1.5513,3.0984,43.91,1.9635,-2.7247
2.8526,1.5512,3.0984,43.852,1.9453,-2.7344
2.8526,1.5512,3.0983,43.802,1.925,-2.7452
2.8525,1.5512,3.0982,43.758,1.9046,-2.7565
2.8525,1.5512,3.0982,43.72,1.8827,-2.7686
2.852,1.5512,3.098,43.69,1.8537,-2.786
2.8519,1.5511,3.098,43.664,1.8305,-2.7978
2.852,1.5512,3.0981,43.642,1.8077,-2.8111
2.8519,1.5512,3.0981,43.624,1.7838,-2.8247
2.8518,1.5511,3.0982,43.611,1.7604,-2.8386
2.8517,1.5511,3.0981,43.603,1.7344,-2.8526
2.8515,1.5511,3.0981,43.598,1.7065,-2.8675
2.8514,1.551,3.0982,43.593,1.6808,-2.8814
2.8513,1.551,3.0982,43.593,1.6534,-2.8969
2.8511,1.5509,3.0981,43.592,1.625,-2.9106
2.8509,1.5509,3.0981,43.594,1.5979,-2.9264
2.8508,1.5509,3.0982,43.597,1.5686,-2.9444
2.8506,1.5508,3.0982,43.601,1.5395,-2.9611
2.8504,1.5508,3.0981,43.605,1.5081,-2.9786
2.8503,1.5507,3.0981,43.611,1.477,-2.9959
2.85,1.5507,3.0981,43.616,1.4443,-3.0141
2.8498,1.5506,3.0981,43.62,1.409,-3.0334
2.8495,1.5506,3.098,43.625,1.3719,-3.0542
2.8493,1.5505,3.098,43.629,1.335,-3.0738
2.8492,1.5504,3.0981,43.631,1.2944,-3.0967
2.849,1.5503,3.0981,43.633,1.2565,-3.1172
2.8488,1.5503,3.0981,43.633,1.2169,-3.1352
2.8486,1.5502,3.0981,43.636,1.1753,-3.1534
2.8484,1.5501,3.0982,43.636,1.135,-3.1672
2.8482,1.55,3.0982,43.637,1.0914,-3.1808
2.8477,1.55,3.098,43.642,1.045,-3.1926
2.8475,1.5499,3.098,43.643,1.0028,-3.2019
2.8473,1.5497,3.098,43.647,0.95752,-3.2105
2.8471,1.5496,3.098,43.654,0.9061,-3.2186
2.8469,1.5496,3.098,43.659,0.87905,-3.2215
2.8465,1.5495,3.098,43.672,0.82891,-3.2244
2.8464,1.5494,3.098,43.68,0.80146,-3.2268
2.8462,1.5493,3.0981,43.702,0.75971,-3.2278
2.8461,1.5493,3.098,43.721,0.73161,-3.2187
2.8459,1.5492,3.098,43.746,0.70247,-3.2149
2.8457,1.5492,3.0981,43.773,0.67283,-3.211
2.8455,1.5491,3.0982,43.803,0.64494,-3.2034
2.8453,1.5491,3.0982,43.84,0.61956,-3.1938
2.8451,1.549,3.0984,43.88,0.59879,-3.1791
2.8449,1.549,3.0984,43.923,0.57533,-3.1632
2.8447,1.549,3.0985,43.971,0.55376,-3.1466
2.8444,1.5489,3.0986,44.018,0.5321,-3.1265
2.8443,1.5489,3.0985,44.073,0.51233,-3.1044
2.844,1.5489,3.0986,44.129,0.4926,-3.0827
2.8439,1.5489,3.0988,44.188,0.47168,-3.0594
2.8436,1.5488,3.0989,44.253,0.45163,-3.0346
2.8432,1.5488,3.0988,44.316,0.4274,-3.0117
2.8429,1.5488,3.0989,44.384,0.4067,-2.9869
2.8426,1.5488,3.099,44.459,0.38688,-2.9661
2.8424,1.5488,3.0991,44.536,0.3694,-2.9442
2.8416,1.5488,3.0989,44.622,0.34655,-2.9275
2.8413,1.5488,3.099,44.707,0.33058,-2.9068
2.841,1.5487,3.0992,44.795,0.31428,-2.8876
2.8407,1.5487,3.0993,44.892,0.29995,-2.8679
2.8404,1.5487,3.0994,44.989,0.28586,-2.8471
2.84,1.5487,3.0995,45.096,0.27323,-2.8277
2.8397,1.5487,3.0997,45.208,0.26272,-2.8098
2.8394,1.5487,3.0998,45.319,0.25257,-2.79
2.839,1.5487,3.1,45.441,0.24248,-2.7727
2.8385,1.5487,3.0999,45.563,0.23437,-2.7534
2.8381,1.5487,3.1,45.691,0.22154,-2.7358
2.8379,1.5487,3.1003,45.822,0.21048,-2.719
2.8375,1.5487,3.1004,45.957,0.19814,-2.7033
2.8369,1.5487,3.1004,46.091,0.18044,-2.6858
2.8365,1.5487,3.1005,46.233,0.16536,-2.67
2.8361,1.5486,3.1008,46.373,0.15023,-2.6555
2.8357,1.5486,3.101,46.519,0.13293,-2.6435
2.8348,1.5486,3.1009,46.667,0.10937,-2.6319
2.8344,1.5486,3.101,46.817,0.088068,-2.6218
2.834,1.5485,3.1013,46.969,0.064196,-2.6155
2.8335,1.5485,3.1014,47.125,0.042535,-2.6094
2.833,1.5484,3.1015,47.283,0.017791,-2.6035
2.8325,1.5484,3.1017,47.446,-0.0054483,-2.6013
2.832,1.5484,3.1019,47.609,-0.031354,-2.6024
2.8315,1.5483,3.1021,47.776,-0.054157,-2.6059
2.8309,1.5483,3.1021,47.944,-0.077722,-2.6106
2.8304,1.5483,3.1023,48.119,-0.1022,-2.6209
2.8299,1.5481,3.1025,48.297,-0.13077,-2.6345
2.8294,1.5481,3.1028,48.48,-0.1569,-2.6504
2.8289,1.548,3.1031,48.666,-0.18244,-2.6684
2.8284,1.548,3.1033,48.856,-0.2094,-2.6892
2.8279,1.5479,3.1035,49.048,-0.23944,-2.7113
2.8273,1.5479,3.1038,49.241,-0.26791,-2.7346
2.8266,1.5478,3.1039,49.441,-0.29815,-2.7609
2.826,1.5478,3.1042,49.645,-0.327,-2.7899
2.8255,1.5477,3.1045,49.846,-0.35723,-2.8194
2.8249,1.5476,3.1048,50.054,-0.38405,-2.8508
2.8244,1.5476,3.1051,50.263,-0.40949,-2.8817
2.8239,1.5475,3.1055,50.475,-0.43253,-2.9146
2.8233,1.5475,3.1058,50.686,-0.4572,-2.9482
2.8228,1.5474,3.1062,50.902,-0.48173,-2.9821
2.8222,1.5473,3.1065,51.12,-0.50609,-3.0189
2.8218,1.5473,3.1067,51.338,-0.52659,-3.0527
2.8212,1.5472,3.107,51.557,-0.55217,-3.0904
2.8207,1.5472,3.1074,51.778,-0.57856,-3.1312
2.82,1.5472,3.1077,52.006,-0.60543,-3.17
2.8195,1.5471,3.1081,52.23,-0.63247,-3.2091
2.8189,1.547,3.1084,52.46,-0.66087,-3.2482
2.8184,1.5469,3.1089,52.69,-0.68786,-3.2876
2.8177,1.5468,3.1092,52.927,-0.71478,-3.3264
2.8166,1.5468,3.1093,53.15,-0.74539,-3.368
2.816,1.5467,3.1097,53.39,-0.77389,-3.4082
2.8154,1.5467,3.1101,53.629,-0.80158,-3.4499
2.8148,1.5466,3.1105,53.875,-0.83223,-3.4909
2.8142,1.5466,3.111,54.122,-0.86118,-3.5323
2.8135,1.5465,3.1114,54.375,-0.89308,-3.5729
2.8129,1.5464,3.1117,54.627,-0.92492,-3.6144
2.8122,1.5463,3.1122,54.88,-0.95837,-3.6542
2.8116,1.5461,3.1126,55.14,-0.9926,-3.693
2.8105,1.5461,3.1128,55.385,-1.0278,-3.7274
2.8099,1.5459,3.1132,55.645,-1.0636,-3.7627
2.8092,1.5458,3.1136,55.905,-1.1022,-3.7977
2.8085,1.5457,3.114,56.17,-1.1403,-3.8296
2.808,1.5455,3.1146,56.435,-1.1753,-3.8622
2.8073,1.5454,3.115,56.701,-1.2148,-3.8904
2.8066,1.5452,3.1155,56.965,-1.2565,-3.918
2.806,1.5451,3.1159,57.231,-1.2981,-3.9433
2.805,1.5449,3.1164,57.556,-1.3508,-3.9707
2.8045,1.5448,3.1167,57.754,-1.3832,-3.9855
2.8037,1.5447,3.1173,58.087,-1.4399,-4.0092
2.803,1.5446,3.1178,58.355,-1.4843,-4.0251
2.8019,1.5445,3.1177,58.612,-1.5383,-4.0351
2.8013,1.5443,3.1181,58.847,-1.5769,-4.0456
2.8006,1.5442,3.1186,59.113,-1.6176,-4.0565
2.7999,1.544,3.119,59.38,-1.6591,-4.0657
2.7989,1.5439,3.1192,59.63,-1.6991,-4.072
2.7982,1.5437,3.1197,59.897,-1.7382,-4.0772
2.7976,1.5436,3.1202,60.163,-1.7751,-4.0852
2.7969,1.5434,3.1207,60.433,-1.8106,-4.0882
2.7961,1.5433,3.1212,60.704,-1.844,-4.0895
2.7955,1.5431,3.1217,60.975,-1.8733,-4.0925
2.7948,1.543,3.1222,61.248,-1.9037,-4.0938
2.7941,1.5428,3.1227,61.521,-1.9292,-4.0922
2.7934,1.5427,3.1232,61.795,-1.9536,-4.0903
