x,y,z,rx,ry,rz
2.5981,1.6032,0.93551,-35.357,-23.881,-2.5297
2.6009,1.6029,0.937,-36.876,-23.959,-2.6394
2.6017,1.6027,0.93746,-37.357,-23.982,-2.6763
2.6028,1.6026,0.93809,-37.988,-24.007,-2.7226
2.6042,1.6024,0.93867,-38.63,-24.033,-2.7658
2.6053,1.6023,0.93933,-39.261,-24.049,-2.8101
2.6064,1.6022,0.93999,-39.893,-24.063,-2.8523
2.6074,1.6022,0.94065,-40.523,-24.077,-2.9031
2.6084,1.6022,0.94133,-41.146,-24.083,-2.945
2.6096,1.6021,0.94209,-41.77,-24.086,-2.9869
2.6107,1.602,0.94279,-42.389,-24.086,-3.0289
2.6117,1.602,0.94349,-42.999,-24.086,-3.069
2.6129,1.602,0.94419,-43.617,-24.084,-3.1081
2.614,1.6019,0.94492,-44.227,-24.08,-3.1467
2.615,1.6019,0.94565,-44.827,-24.073,-3.1823
2.616,1.6019,0.94639,-45.428,-24.07,-3.224
2.617,1.6019,0.94714,-46.025,-24.059,-3.2572
2.6181,1.6019,0.94798,-46.613,-24.048,-3.2862
2.6191,1.6019,0.94875,-47.201,-24.032,-3.3165
2.62,1.602,0.94953,-47.789,-24.014,-3.3429
2.6211,1.602,0.9504,-48.436,-23.993,-3.3716
2.6223,1.602,0.95098,-48.922,-23.982,-3.3948
2.6232,1.602,0.95176,-49.488,-23.959,-3.4189
2.6245,1.602,0.95276,-50.196,-23.925,-3.4482
2.6254,1.6021,0.95357,-50.761,-23.895,-3.4719
2.6263,1.6021,0.95431,-51.316,-23.865,-3.5003
2.6272,1.6022,0.95513,-51.867,-23.831,-3.5229
2.6281,1.6022,0.95595,-52.417,-23.798,-3.5458
2.6291,1.6023,0.95678,-52.961,-23.759,-3.5681
2.6298,1.6023,0.95746,-53.41,-23.728,-3.5857
2.6311,1.6024,0.95821,-53.953,-23.692,-3.6048
2.632,1.6025,0.95906,-54.482,-23.647,-3.6221
2.6329,1.6026,0.95989,-55.005,-23.601,-3.6339
2.6338,1.6027,0.96072,-55.525,-23.551,-3.6492
2.6347,1.6028,0.96155,-56.054,-23.499,-3.6604
2.6356,1.6029,0.96238,-56.555,-23.446,-3.6684
2.6365,1.6031,0.96322,-57.064,-23.39,-3.6766
2.6374,1.6032,0.96408,-57.569,-23.329,-3.6823
2.6386,1.6033,0.96485,-58.081,-23.272,-3.6888
2.6394,1.6034,0.9657,-58.576,-23.208,-3.6925
2.6403,1.6036,0.96656,-59.071,-23.147,-3.7023
2.6411,1.6038,0.96741,-59.556,-23.082,-3.7066
2.642,1.6039,0.96828,-60.048,-23.016,-3.7123
2.6428,1.604,0.96914,-60.522,-22.951,-3.7135
2.6437,1.6042,0.97001,-60.999,-22.886,-3.716
2.6445,1.6043,0.97086,-61.468,-22.82,-3.7172
2.6456,1.6044,0.97167,-61.944,-22.762,-3.7202
2.6465,1.6046,0.97254,-62.407,-22.696,-3.7202
2.6472,1.6047,0.9734,-62.865,-22.634,-3.7204
2.648,1.6048,0.97428,-63.317,-22.571,-3.7187
2.6488,1.6049,0.97515,-63.761,-22.508,-3.7163
2.6496,1.605,0.97604,-64.214,-22.445,-3.7122
2.6504,1.6051,0.9769,-64.648,-22.385,-3.7051
2.6511,1.6052,0.97777,-65.082,-22.325,-3.6982
2.6519,1.6053,0.97864,-65.508,-22.266,-3.6917
2.6532,1.6054,0.97964,-66.049,-22.193,-3.6813
2.6537,1.6055,0.98028,-66.363,-22.149,-3.6768
2.6545,1.6057,0.98136,-66.886,-22.084,-3.6711
2.6552,1.6058,0.9822,-67.297,-22.03,-3.6675
2.656,1.6059,0.98309,-67.719,-21.976,-3.6623
2.6565,1.6059,0.9837,-68.009,-21.939,-3.6598
2.6574,1.606,0.98476,-68.508,-21.878,-3.654
2.6583,1.6061,0.98556,-68.915,-21.833,-3.6497
2.659,1.6062,0.98639,-69.3,-21.79,-3.6465
2.6596,1.6062,0.98723,-69.689,-21.747,-3.6435
2.6602,1.6063,0.98807,-70.073,-21.707,-3.6405
2.6609,1.6064,0.9889,-70.452,-21.668,-3.6373
2.6616,1.6064,0.98976,-70.827,-21.63,-3.6338
2.6622,1.6065,0.99058,-71.198,-21.592,-3.631
2.6628,1.6065,0.9914,-71.572,-21.554,-3.6273
2.6634,1.6065,0.99222,-71.936,-21.517,-3.6237
